PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Highbridge Gardens,Bronx,Children's Aid Society/East Harlem Center,(718) 542-0006,Seniors,"1145 University Avenue
Bronx, NEW YORK 10452
(40.837511653670184, -73.92789536068916)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Morrisania Air Rights Housing Development,Bronx,MIDDLE SCHOOL 322 (M322),(718) 542-0006,Seniors,"3135 Park Avenue
Bronx, NEW YORK 10451
(40.82412876930059, -73.91722758822324)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Concourse Gardens,Bronx,"East New York Learning Center, Inc.",(718) 542-0006,Seniors,"245 Echo Place
Bronx, NEW YORK 10457
(40.849696042918474, -73.90433764541396)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Jonas Bronck Housing for Seniors,Bronx,"The Friends of Crown Heights Educational Centers, Inc.",(718) 542-0006,Seniors,"230 179th Street
Bronx, NEW YORK 10457
(40.850932139823, -73.90396112056916)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Sedgwick Houses,Bronx,"The Friends of Crown Heights Educational Centers, Inc.",(718) 542-0006,Seniors,"1553 University Avenue
Bronx, NEW YORK 10453
(40.846198715707054, -73.9216904224817)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,SEBCO St Barnabas Senior Housing,Bronx,Tolentine-Zeiser Community Center/St. Ritas,(718) 542-0006,Seniors,"535 182nd Street
Bronx, NEW YORK 10457
(40.85324152032098, -73.89297277673356)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,SEBCO Father Banome Senior Housing,Bronx,Turning Point HDFC (Main Office),(718) 542-0006,Seniors,"1876 Belmont Avenue
Bronx, NEW YORK 10457
(40.84437955848369, -73.89321056070584)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Father David Cassella Plaza,Bronx,U.C.C. Immigration Program,(718) 542-0006,Seniors,"961 180 Street
Bronx, NEW YORK 10460
(40.84387567217008, -73.88035054041468)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Aquinas Housing for Seniors,Bronx,United Jewish Orgnization of Williamsburg,(718) 542-0006,Seniors,"975 Tremont Avenue
Bronx, NEW YORK 10460
(40.84107597858368, -73.88228012287159)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Clinton Senior Housing,Bronx,Project Home,(718) 542-0006,Seniors,"2070 Clinton Avenue
Bronx, NEW YORK 10457
(40.84726877920528, -73.8880563494758)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Lafayette Estates,Bronx,Mothers on the Move,(718) 542-0006,Seniors,"825 Morrison Avenue
Bronx, NEW YORK 10473
(40.82073649926795, -73.87266210628528)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,San Andres Church,Bronx,Mirabal Sisters Cultural and Community Center Office Space,(718) 542-0006,Seniors,"351 Soundview Avenue
Bronx, NEW YORK 10473
(40.8130069544523, -73.85738998185833)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Carol Gardens,Bronx,Mirabal Sisters Cultural and Community Center Office Space,(718) 542-0006,Seniors,"880 Thieriot Avenue
Bronx, NEW YORK 10473
(40.82327888267286, -73.86241277558031)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Jaime Towers,Bronx,David Ruggles I.S. 258,(718) 542-0006,Seniors,"2050 Seward Avenue
Bronx, NEW YORK 10473
(40.82049015838661, -73.85308993692624)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,St. Andrews Senior Housing,Bronx,"Vannguard Urban Improvement Association, Inc.",(718) 542-0006,Seniors,"2155 Virgil Place
Bronx, NEW YORK 10473
(40.8223487885949, -73.85023957560342)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,St. Luke's,Bronx,Variety Boys & Girls Club of Queens,(718) 542-0006,Seniors,"3911 Barnes Avenue
Bronx, NEW YORK 10466
(40.885144265015896, -73.85860615419493)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Filomena Gardens,Bronx,WHIC,(718) 542-0006,Seniors,"641 225th Street
Bronx, NEW YORK 10466
(40.888362327283964, -73.86213681347961)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Mercy House,Bronx,Tompkins Park Senior Center,(718) 542-0006,Seniors,"4170 Carpenter Avenue
Bronx, NEW YORK 10466
(40.89360386428615, -73.86061453248679)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Mercy House,Bronx,Boulevard Houses Senior Center,(718) 542-0006,Seniors,"644 232nd Street
Bronx, NEW YORK 10466
(40.89323716441264, -73.8593315590994)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,R.A.I.N. Eastchester Senior Center,Bronx,Mt. Ararat Presentation Senior Center,(718) 829-5520,Seniors,"1236 Burke Avenue
Bronx, NEW YORK 10469
(40.87112164287507, -73.85141711468704)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,RAIN Boston Secor Senior Center,Bronx,WEME/Mainstream Meals-on-Wheels,(718) 829-5520,Seniors,"3450 Bivona Street
Bronx, NEW YORK 10475
(40.882386465793324, -73.8329260272584)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Riverdale Senior Services,Bronx,Columbus -Amsterdam Business Improvement District,(718) 884-5900,Seniors,"2600 Netherland Avenue
Bronx, NEW YORK 10463
(40.878840739419545, -73.91675947741456)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Riverstone Senior Life Services, Inc.",New York,Yeled V Yalda Community Center,(212) 927-5600,Seniors,"99 Fort Washington Avenue
New York, NEW YORK 10032
(40.8390432578193, -73.94352276206791)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,United Jewish Orgnization of Williamsburg,Brooklyn,BROOKLYN EXCELSIOR CHARTER (K731),(718) 643-9700,Seniors,"32 Penn Street
Brooklyn, NEW YORK 11211
(40.700237529080596, -73.96128945870423)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Tompkins Park Senior Center,Brooklyn,Queens Gateway to Health and Sciences Secondary School,(718) 345-5665,Seniors,"550 Greene Avenue
Brooklyn, NEW YORK 11216
(40.688662422549285, -73.94865379650403)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Boulevard Houses Senior Center,Brooklyn,YMPJ,(718) 345-5665,Seniors,"726 Stanley Avenue
Brooklyn, NEW YORK 11207
(40.66016058397117, -73.88202347082921)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Mt. Ararat Presentation Senior Center,Brooklyn,YWCA of Queens,(718) 345-5665,Seniors,"1630 St Marks Avenue
Brooklyn, NEW YORK 11233
(40.67315630349029, -73.9128289342227)"
"Family Support,NDA Programs",Fatherhood Initiative,Fortune Society,Queens,"The Fortune Society, Inc.",347.510.3619,16 to 24,"29 76 Northern Blvd
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"Family Support,NDA Programs",Fatherhood Initiative,The Fathers Center ,New York ,Legal Information for Families Today (LIFT),646.613.9633 ext. 202,16 to 24,"350 Broadway
New York, NEW YORK 10013
(40.71696029234187, -74.00392122955571)"
"Family Support,NDA Programs",Fatherhood Initiative,Friends of the Island Academy ,New York ,Friends of Island Academy,212.760.0755,16 to 24,"330 38th Street
New York, NEW YORK 10018
(40.755442281975604, -73.99338117537229)"
"Family Support,NDA Programs",Fatherhood Initiative,Midtown Community Court,New York ,Fund for the City of New York/Center for Court Innovation,646.264.1329,16 to 24,"314 54 Street
New York, NEW YORK 10019
(40.76519093277318, -73.98524231100714)"
"Family Support,NDA Programs",Fatherhood Initiative,Neighborhood Defender Service of Harlem,New York ,Neighborhood Defender Service of Harlem,212.876.5500,16 to 24,"317 Lenox Avenue
New York, NEW YORK 10027
(40.8084771781372, -73.94510035450739)"
"Family Support,NDA Programs",Fatherhood Initiative,Oberia Dempsey Center ,New York ,The Northern Manhattan Perinatal Partnership Inc.,212.665.2600,16 to 24,"127 127th
New York, NEW YORK 10027
(40.80943881923591, -73.94534192638868)"
"Family Support,NDA Programs",Fatherhood Initiative,Washington Houses Community Center ,New York ,Union Settlement Association,212.828.6113,16 to 24,"237 104th Street
New York, NEW YORK 10029
(40.78992458809426, -73.94476913120286)"
"Family Support,NDA Programs",Fatherhood Initiative,"Strive/East Harlem Employment Service, Inc. ",New York ,"East Harlem Employment Services, Inc.",212.360.1100,16 to 24,"240 123rd Street
New York, NEW YORK 10035
(40.801631007365245, -73.9350355660456)"
"Family Support,NDA Programs",Fatherhood Initiative,The New York Society for the Prevention of Cruelty to Children,New York ,The New York Society for the Prevention of Cruelty to Children,212.233.5500,16 to 24,"161 William Street
New York, NEW YORK 10038
(40.70999953983505, -74.00601664988397)"
"Family Support,NDA Programs",Fatherhood Initiative,Parkside Houses,Bronx,Friends of Island Academy,718.653.5301,16 to 24,"2910 Bronx Park
Bronx, NEW YORK 10467
(40.86817216465264, -73.87044025446647)"
"Family Support,NDA Programs",Fatherhood Initiative,FRIENDS Program,Bronx,Visiting Nurse Service of New York,212.794.9200,16 to 24,"389 391 East 153rd Street
Bronx, NEW YORK 10455
(40.813535754971156, -73.9053552520432)"
"Family Support,NDA Programs",Fatherhood Initiative,"Claremont Neighborhood Centers, Inc. ",Bronx,"Claremont Neighborhood Centers, Inc.",718.588.1000,16 to 24,"489 169th Street
Bronx, NEW YORK 10456
(40.83300943887456, -73.90573521731622)"
"Family Support,NDA Programs",Fatherhood Initiative,Nursing Family Partnership ,Bronx,Visiting Nurse Service of New York,718.402.3900 ,16 to 24,"489 491 East 153 Street
Bronx, NEW YORK 10454
(40.805846930091775, -73.91628504651766)"
"Family Support,NDA Programs",Fatherhood Initiative,Family and Community Support Services,Brooklyn,Family and Community Support Services,347.879.3367,16 to 24,"124 Utica
Brooklyn, NEW YORK 11233
(40.67752593238575, -73.93033516817815)"
"Family Support,NDA Programs",Fatherhood Initiative,Ralph Lincoln Service Center ,Brooklyn,"Ralph Lincoln Service Center, Inc.",718.604.1358,16 to 24,"261 Buffalo Avenue
Brooklyn, NEW YORK 11213
(40.67003864096985, -73.92540014432034)"
"Family Support,NDA Programs",Fatherhood Initiative,Project Bridge ,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718.628.1905,16 to 24,"52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.70259055255882, -73.9290890577379)"
"Family Support,NDA Programs",Fatherhood Initiative,Coalition for Hispanic Family Services ,Brooklyn,Coalition for Hispanic Family Services,718.497.6090,16 to 24,"315 Wyckoff Avenue
Brooklyn, NEW YORK 11237
(40.700089964438455, -73.91203291222284)"
"Family Support,NDA Programs",Fatherhood Initiative,Forestdale at Forest Hills Campus,Queens,"Forestdale, Inc",718.263.0740,16 to 24,"67 35 112 Street
Queens, NEW YORK 11375
(40.720707263029794, -73.84628429608335)"
"Family Support,NDA Programs",Fatherhood Initiative,Allen AME Multi-Center (Annex),Queens,"Forestdale, Inc",718.263.0740,16 to 24,"1114 02
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
"Family Support,NDA Programs",Health Stat Initiative,The Children's Aid Society,Bronx,The Children's Aid Society,718.617.8595,All Ages,"1338 Southern Blvd
Bronx, NEW YORK 10460
(40.83246290693709, -73.89070580726401)"
"Family Support,NDA Programs",Health Stat Initiative,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.756.7200,All Ages,"1958 Fulton&#65533; St
Brooklyn, NEW YORK 11233
(40.67813043816926, -73.91977647550391)"
"Family Support,NDA Programs",Health Stat Initiative,Make the Road New York,Brooklyn,Make the Road New York,718.418.7690,All Ages,"301 Grove St
Brooklyn, NEW YORK 11237
(40.698428502523264, -73.91562347499381)"
"Family Support,NDA Programs",Health Stat Initiative,The Children's Aid Society,New York,The Children's Aid Society,212.503.6820,All Ages,"150 45th St
New York, NEW YORK 10017
(40.75294216673416, -73.9736410568292)"
"Family Support,NDA Programs",Health Stat Initiative,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,212.822.8344,All Ages,"76 Wadsworth Ave
New York, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
"Family Support,NDA Programs",Health Stat Initiative,Asian Americans for Equality,Queens,Asian Americans for Equality,718.961.0888,All Ages,"133 04 39th Ave
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Family Support,NDA Programs",Health Stat Initiative,Asian Americans for Equality,Queens,Asian Americans for Equality,718.961.0888,All Ages,"95 05 Roosevelt Ave
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Family Support,NDA Programs",Health Stat Initiative,Make the Road New York,Staten Island,Make the Road New York,347.547.5133,All Ages,"479 Port Richmond Ave
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,New York Legal Assistance Group (NYLAG),Manhattan,New York Legal Assistance Group (NYLAG),212.613.5000,All Ages,"450 33rd St
Manhattan, NEW YORK 10001
(40.75347794565972, -73.99864692871675)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services (JBFCS)-Genesis,Manhattan,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"594 Manhattan
NEW YORK 10018
(40.756840774582145, -73.99669149981281)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training,Bronx,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"750 Astor Avenue
Bronx, NEW YORK 10467
(40.859547368357966, -73.86555918636485)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services - Horizons,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"060280 Brooklyn
NEW YORK 11206
(40.70191201682616, -73.94237919854112)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,All Ages,"7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326705934, -73.98919274272059)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services  - Transition Center,Queens,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"629 Far
Queens, NEW YORK 11691
(40.600614338480966, -73.76256777468302)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,CONNECT,Manhattan,Safe Space,212.206.3440 ext. 237,All Ages,"3 29th Street
Manhattan, NEW YORK 10001
(40.74552271604756, -73.987242979944)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,The Child Center of NY � WIA Office,Jamaica,Safe Space,212.206.3440 ext. 237,All Ages,"163 18 Jamaica Av
Jamaica, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Safe Space - Family Resource Center (Jamaica),Queens,Safe Space,718.785.9062,All Ages,"90 25 161st Street
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Sanctuary for Families,Manhattan,Sanctuary for Families,212.349.6009          ,All Ages,"1406 Wall Street Station
Manhattan, NEW YORK 10268
(40.70545300025583, -74.00695600011926)"
"Immigration Services,Immigrant Support Services",Legal Services,"Sanctuary for Families, Inc. (Manhattan) ","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.",212.349.6009           ext. 264,All Ages,
"Immigration Services,Immigrant Support Services",Legal Services,Family Justice Centers in Queens and Brooklyn ,"Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.",212.349.6009           ext. 264,All Ages,
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront Y                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,Adult,"3300 Coney Island Av
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront YM-YWHA                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),718-646-1444,All Ages,"3300 Coney Island Av
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Kensington Self-Help ,Brooklyn,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"419 Church Ave
Brooklyn, NEW YORK 11218
(40.64409707953028, -73.97640972645803)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Queens Jewish Community Council,Forest Hills,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"119 45 Union Turnpike
Forest Hills, NEW YORK 11375
(40.720707263029794, -73.84628429608335)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Mercy Center,Bronx,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"377 145th St
Bronx, NEW YORK 10454
(40.81385583017525, -73.92035529273)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,"Bronx Neighborhood Office, Legal Aid Society",Bronx,The Legal Aid Society,718.991.4758,Adult,"953 Southern Blvd
Bronx, NEW YORK 10459
(40.82138697876596, -73.89168233735057)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,"Brooklyn Neighborhood Office, Legal Aid Society ",Brooklyn,The Legal Aid Society,718.422.2765,Adult,"111 Livingston St
Brooklyn, NEW YORK 11201
(40.69109687573092, -73.98955322065659)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,CAMBA,Brooklyn,"CAMBA, Inc.",718-940-6311 ,All Ages,"2211 Church Av
Brooklyn, NEW YORK 11226
(40.65044686678422, -73.95854532388019)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,"Catholic Charities Community Service, Archdiocese of N Y",Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-419-3700,All Ages,"1011 First Avenue
Manhattan, NEW YORK 10022
(40.7572783324888, -73.96371387829234)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,"Tolentine -Zeiser Community Life Center/ St, Rita",Bronx,"Catholic Charities Community Service, Archdiocese of N Y",718-365-4360 ,Adult,"2342 Andrews Av (near Fordham Rd
Bronx, NEW YORK 10468
(40.869693003729196, -73.89892699248668)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,St.Cecilia's Community Center ,Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-348-0488,All Ages,"125 105th Street
Manhattan, NEW YORK 10029
(40.79190439287778, -73.9475075400997)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Washington Heights Ecumenical Food Pantry (WHEFP),Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-419-3700,All Ages,"4111 Broadway
Manhattan, NEW YORK 10033
(40.845160338750205, -73.93878884162382)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,El Centro de Hospitalidad ,Staten Island,"Catholic Charities Community Service, Archdiocese of N Y",718-420-6466 646-772-0096,All Ages,"1546 Castleton Avenue
Staten Island, NEW YORK 10302
(40.63589249589933, -74.13449607767508)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Citizens Advice Bureau - Immigration Assistance Center,Bronx,Citizens Advice Bureau,718- 293-0727,All Ages,"2070 Grand Concourse
Bronx, NEW YORK 10457
(40.85309059209145, -73.90280877587541)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Citizens Advice Bureau - Immigration Assistance Center,Bronx,Citizens Advice Bureau,718-365-0910,All Ages,"1477 Townsend Ave
Bronx, NEW YORK 10452
(40.841513488175195, -73.9156620372896)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Northern Manhattan Improvement Corporation (NMIC),Manhattan,Northern Manhattan              Improvement Corporation,212-822-8319,All Ages,"76 Wadsworth Avenue
Manhattan, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Chinese Consolidated Benevolent Asociation of New York,Manhattan,Northern Manhattan   Improvement Corporation,212-822-8319,All Ages,"62 Mott St
Manhattan, NEW YORK 10013
(40.71607633471377, -73.9981586658295)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,York College Immigration     Center � CUNY ,Queens,Research Foundation of CUNY,718-262-2983,All Ages,"20 Guy R Brewer Blvd
Queens, NEW YORK 11451
(40.70259499975947, -73.79562300040112)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Flushing Immigration Center - CUNY,Queens,Research Foundation of CUNY,718-640-9223,All Ages,"39 07 Prince St
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,LaGuardia Community College Immigration Center - CUNY,Queens,Research Foundation of CUNY,718-482-5139,All Ages,"166 Queens
NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Safe Horizon - Immigration Law Project,"Manhattan,Bronx,Queens,Staten Island, Brooklyn","Safe Horizon, Inc.",,All Ages,
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Center for Battered Women,Manhattan,Sanctuary for Families,212-349-6009,All Ages,"1406 Wall Street Station
Manhattan, NEW YORK 10268
(40.70545300025583, -74.00695600011926)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Queens Family Justice Center,Kew Gardens,Sanctuary for Families,212-349-6009 ,All Ages,"126 02 82nd Ave
Kew Gardens, NEW YORK 11415
(40.708286075142325, -73.82855612156771)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Family Justice Center,Brooklyn,Sanctuary for Families,212-349-6009,All Ages,"350 Jay Street
Brooklyn, NEW YORK 11201
(40.69351957615995, -73.98726442001791)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,The Lower Manhattan Neighborhood Office,Manhattan,The Legal Aid Society,212-577-3292 ,All Ages,"199 Water Street
Manhattan, NEW YORK 10038
(40.70708573646016, -74.00463169395886)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Crown Heights Community Mediation,Brooklyn,The Legal Aid Society,212-577-3292 ,All Ages,"256 Kingston Avenue
Brooklyn, NEW YORK 11213
(40.67079925857397, -73.94209318254946)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Queens Community House,Queens,The Legal Aid Society,212-577-3292 ,All Ages,"108 25 62nd Drive
Queens, NEW YORK 11375
(40.720707263029794, -73.84628429608335)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,The Door,Manhattan,The Door - A Center of Alternatives,212-941-9090 ext. 3280,5-20,"121 6th Avenue
Manhattan, NEW YORK 10013
(40.72398399739069, -74.00464968039944)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Legal Aid - Juvenile Rights Division,Manhattan,The Legal Aid Society,212.577.3328,5-20,"199 Water Street
Manhattan, NEW YORK 10038
(40.70708573646016, -74.00463169395886)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Hetrick Martin Institute ,Manhattan,Urban Justice Center,646.602.5633,5-20,"2 Astor Place
Manhattan, NEW YORK 10003
(40.73004972130843, -73.99278994498403)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Ali Forney Center,Manhattan,Urban Justice Center,646-602-5633,5-20,"527 22nd Street
Manhattan, NEW YORK 10011
(40.74739972392154, -74.00552562193494)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Streetwork Project,Manhattan,Urban Justice Center,646-602-5633,5-20,"209 125 Street
Manhattan, NEW YORK 10027
(40.809154206198805, -73.94868347483566)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Peter Cicchino Youth Project (PCYP),Manhattan,Urban Justice Center,646-602-5633,5-20,"123 William Street
Manhattan, NEW YORK 10038
(40.70909122458545, -74.006906978693)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Alianza Dominicana, Inc. (Admin & Activity site)",Bronx,"Alianza Dominicana, Inc.",212.740.1960,18+,"1257 Ogden Avenue
Bronx, NEW YORK 10452
(40.83927054580515, -73.92578827979769)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Admin Site)",Manhattan,"Big Brothers/Big Sisters, Inc.",212.994.7742,11-14,"223 30th Street
Manhattan, NEW YORK 10033
(40.85621992920642, -73.94585900019268)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Bronx,"Big Brothers/Big Sisters, Inc.",212.994.7742,11-14,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.81594441525443, -73.91641591148277)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Brooklyn,"Big Brothers/Big Sisters, Inc.",212.994.7742,11-14,"280 Shepherd Avenue
Brooklyn, NEW YORK 11208
(40.67773088441804, -73.88173831485612)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Jamaica,"Big Brothers/Big Sisters, Inc.",212.994.7742,11-14,"89 56 162nd Street
Jamaica, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Cabrini Immigrant Services (Admin & Activity site),Manhattan,Cabrini Center for Nursing & Rehabilitation,212.791.4590,18+,"139 Henry Street
Manhattan, NEW YORK 10002
(40.713327031343454, -73.99078213470762)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,JFK High School - Children's Arts & Science,Bronx,"Children's Arts & Science Workshops, Inc.",212-923-7766,All Ages,"99 Terrace View Avenue
Bronx, NEW YORK 10463
(40.877210772673564, -73.91213621128965)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Children's Arts & Sciences Workshops (Admin & Activity site),Manhattan,Children's Arts & Sciences Workshops,212-923-7766,11+,"686 204th Street
Manhattan, NEW YORK 10034
(40.867820783175965, -73.92367507747998)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Harbor Heights Middle School - Children's Arts & Science,Manhattan,"Children's Arts & Science Workshops, Inc.",212-923-7766,All Ages,"549 Audubon Avenue
Manhattan, NEW YORK 10040
(40.856389753646916, -73.92672451121956)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Goodwill Industries Greater NY-NJ (Admin & Activity site),Brooklyn,Goodwill Industries of Greater New York,718.339.0937,11+,"1416 Avenue
Brooklyn, NEW YORK 11230
(40.62192951023877, -73.96551106018723)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Make the Road New York (Admin & Activity site),Staten Island,Make the Road New York,718.565.8500 718.727.1222,18+,"479 Port Richmond Av
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Center for Integration and Advancement of New Americans (CIANA),Queens,New Immigrant Community Empowerment (NICE),718.545.4040,All Ages,"31 09 Newtown Avenue
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,New Immigrant Community Empowerment (NICE) (Admin & Activity site),Queens,New Immigrant Community Empowerment (NICE),718.205.8796,18+,"37 41 77th Street
Queens, NEW YORK 10302
(40.63083331110846, -74.13773429869889)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Asian Americans for Equality - Queens,Queens,Asian Americans for Equality - Queens,718.961.0888 or 212.979.8381,Adult,"133 04 39th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
