Publication,Category,Format,Date,Category 2,Description,Category 3,URL
City Planning Commission Report (N 100223 HKM),City Planning,311 Broadway Landmark  - N 100223 HKM  ,10-Mar-10,Housing and Buildings,City Planning Commission Report (N 100223 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100223.pdf
City Planning Commission Report (N 100226 HKX),City Planning,Dollar Savings Bank Landmark  - N 100226 HKX  ,10-Mar-10,Housing and Buildings,City Planning Commission Report (N 100226 HKX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100226.pdf
City Planning Commission Report (N 100225 HKR),City Planning,Mary and David Burgher House Landmark  - N 100225 HKR  ,10-Mar-10,Housing and Buildings,City Planning Commission Report (N 100225 HKR),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100225.pdf
City Planning Commission Report (N 100221 HKQ),City Planning,PS 66 Landmark  - N 100221 HKQ  ,10-Mar-10,Housing and Buildings,City Planning Commission Report (N 100221 HKQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100221.pdf
City Planning Commission Report (N 100222 HKQ),City Planning,Ridegewood Theater Building Landmark  -  N 100222 HKQ  ,10-Mar-10,Housing and Buildings,City Planning Commission Report (N 100222 HKQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100222.pdf
City Planning Commission Report (N 100224 HKM),City Planning,West Park Presbyterian Church Landmark  - N 100224 HKM  ,10-Mar-10,Housing and Buildings,City Planning Commission Report (N 100224 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100224.pdf
Executive Summary,Transportation,"The Sustainable Streets Index provides data on recent trends in traffic, parking, travel and safety. It also includes a section on ""project indicators"", an assessment of 12 major DOT projects completed by the end of 2008. This assessment covers the impact",23-Mar-10,Transportation,Sustainable Streets Index ,Report,http://www.nyc.gov/html/dot/downloads/pdf/ssi09_projects/ssi09_execsummary.pdf
Full Report,Transportation,"The Sustainable Streets Index provides data on recent trends in traffic, parking, travel and safety. It also includes a section on ""project indicators"", an assessment of 12 major DOT projects completed by the end of 2008. This assessment covers the impact",23-Mar-10,Transportation,Sustainable Streets Index ,Report,http://www.nyc.gov/html/dot/downloads/pdf/sustainable_streets_index_09.pdf
Audit Report on the New York County District Attorney’s Administration of Deferred Prosecution and Non-Prosecution Agreements,Comptroller,Audit Report on the New York County District Attorney’s Administration of Deferred Prosecution and Non-Prosecution Agreements,24-Mar-10,Finance and Budget,Audit Report on the New York County District Attorney’s Administration of Deferred Prosecution and Non-Prosecution Agreements,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FM10_111A.pdf
Audit Report on the Compliance of Vanguard High School With Department of Education Procurement Guidelines For Small Dollar Purchases,Comptroller,Audit Report on the Compliance of Vanguard High School With Department of Education Procurement Guidelines For Small Dollar Purchases,18-Mar-10,Finance and Budget,Audit Report on the Compliance of Vanguard High School With Department of Education Procurement Guidelines For Small Dollar Purchases,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FM08_113A.pdf
Audit Report on the Compliance of South Beach Restaurant Corporation With Its License Agreement,Comptroller,Audit Report on the Compliance of South Beach Restaurant Corporation With Its License Agreement,18-Mar-10,Finance and Budget,Audit Report on the Compliance of South Beach Restaurant Corporation With Its License Agreement,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FM09_091A.pdf
Audit Report on the Program Compliance of the Harlem Dowling-West Side Center for Children and Family Services with Its Administration for Children’s ,Comptroller,Audit Report on the Program Compliance of the Harlem Dowling-West Side Center for Children and Family Services with Its Administration for Children’s Services Preventive Service Agreement,18-Mar-10,Finance and Budget,Audit Report on the Program Compliance of the Harlem Dowling-West Side Center for Children and Family Services with Its Administration for Children’s ,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/MH09_093A.pdf
The Department of Homeless Services With City Procurement Rules and Controls Over Payments to Non-Contracted Providers,Comptroller,Audit Report on the Compliance o Department of Homeless Services With City Procurement Rules and Controls Over Payments to Non-Contracted Providers,25-Mar-10,Finance and Budget,Audit Report on the Compliance o Department of Homeless Services With City Procurement Rules and Controls Over Payments to Non-Contracted Providers,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FK09_069A.pdf
Audit Report On the Financial and Operating Practices of the Financial Information Services Agency,Comptroller,Audit Report On the Financial and Operating Practices of the Financial Information Services Agency,25-Mar-10,Finance and Budget,Audit Report On the Financial and Operating Practices of the Financial Information Services Agency,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FP10_054A.pdf
Analysis of the Mayor's Preliminary Budget for 2011,Independent Budget,"Mandated report, pdf format, 68 pages",26-Mar-10,Finance and Budget,Analysis of the Mayor's Preliminary Budget for 2011,Budget Report,http://www.ibo.nyc.ny.us/iboreports/march2010final.pdf
Business Tax Final/Adopted Rules,Finance,Amendment to the Rules Relating to the Banking Corporation Tax (Missing Allocation Factor),26-Mar-10,Finance and Budget,Business Tax Final/Adopted Rules,Legislative Document,http://www.nyc.gov/html/dof/html/pdf/final%20rules/banking_corp_tax.pdf
Business Tax Final/Adopted Rules,Finance,Amendment to the Rules Relating to the General Corporation Tax (Missing Allocation Factor),26-Mar-10,Finance and Budget,Business Tax Final/Adopted Rules,Legislative Document,http://www.nyc.gov/html/dof/html/pdf/final%20rules/general_corp_tax.pdf
Business Tax Final/Adopted Rules,Finance,Amendment to the Rules Relating to the Unincorporated Business Tax (Missing Allocation Factor),26-Mar-10,Finance and Budget,Business Tax Final/Adopted Rules,Legislative Document,http://www.nyc.gov/html/dof/html/pdf/final%20rules/unincorporated_business_tax1.pdf
Business Tax Final/Adopted Rules,Finance,Amendment to the Rules Relating to the Unincorporated Business Tax (Simplified Return),26-Mar-90,Finance and Budget,Business Tax Final/Adopted Rules,Legislative Document,http://www.nyc.gov/html/dof/html/pdf/final%20rules/unincorporated_business_tax2.pdf
City Planning Commission Report (C 100173 HAM),City Planning,Houston Dee - (C 100173 HAM),24-Mar-10,Housing and Buildings,City Planning Commission Report (C 100173 HAM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100173.pdf
City Planning Commission Report (C 100162 HAK),City Planning,Knickerbocker Commons - (C 100162 HAK),24-Mar-10,Housing and Buildings,City Planning Commission Report (C 100162 HAK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100162.pdf
City Planning Commission Report (C 060550 ZMQ),City Planning,Queens Boulevard Rezoning - (C 060550 ZMQ),24-Mar-10,Housing and Buildings,City Planning Commission Report (C 060550 ZMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060550.pdf
TLC's 2009 Annual Report,Taxi and Limousine,"The agency’s performance, projects and initiatives that occurred throughout 2009.     
",16-Mar-10,Technology,TLC's 2009 Annual Report,Annual Report,http://www.nyc.gov/html/tlc/downloads/pdf/tlc_annual_report_2009.pdf
"REFORMED CHURCH ON STATEN ISLAND, SUNDAY SCHOOL BUILDING AND CEMETERY",Landmarks,"54 Port Richmond Avenue, Staten Island.  Designated a New York City Landmark on March 23, 2010.",23-Mar-10,Housing and Buildings,"REFORMED CHURCH ON STATEN ISLAND, SUNDAY SCHOOL BUILDING AND CEMETERY",Staff Report,http://www.nyc.gov/html/lpc/downloads/pdf/reports/reformedchurchSI.pdf
UPPER EAST SIDE HISTORIC DISTRICT EXTENSION,Landmarks,"Upper Esat Side Historic District Extension, Borough of Manhattan was designated a New York City Historic District on March 23, 2010",23-Mar-10,Housing and Buildings,UPPER EAST SIDE HISTORIC DISTRICT EXTENSION,Staff Report,http://www.nyc.gov/html/lpc/downloads/pdf/reports/UESext.pdf
New York City Bridge Traffic Volumes 2008 Report,Transportation,"Since 1948, the New York City Department of Transportation has monitored traffic flow on 47 bridges operated by the City of New York. This report summarizes vehicular volumes, classification data, and trends for the 47 bridges that cross over water, as we",01-Apr-10,Transportation,New York City Bridge Traffic Volumes 2008 Report,Annual Report,http://www.nyc.gov/html/dot/downloads/pdf/bridgetrafrpt08.pdf
Financial Plan Statements for New York City - November 2009,Management and Budget,"In accordance with the requirements of the New York State Municipal Assistance Corporation Act and the New York State Financial Emergency Act, the City of New York is required to submit monthly financial reports.",30-Dec-09,Finance and Budget,Financial Plan Statements for New York City - November 2009,Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/fps_nov_2009.pdf
Financial Plan Statements for New York City - December 2009,Management and Budget,"In accordance with the requirements of the New York State Municipal Assistance Corporation Act and the New York State Financial Emergency Act, the City of New York is required to submit monthly financial reports.",18-Feb-10,Finance and Budget,Financial Plan Statements for New York City - December 2009,Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/fps_dec_2009.pdf
Financial Plan Statements for New York City - January 2010,Management and Budget,"In accordance with the requirements of the New York State Municipal Assistance Corporation Act and the New York State Financial Emergency Act, the City of New York is required to submit monthly financial reports.",10-Mar-10,Finance and Budget,Financial Plan Statements for New York City - January 2010,Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/fps_jan_2010.pdf
Financial Plan Statements for New York City - February 2010,Management and Budget,"In accordance with the requirements of the New York State Municipal Assistance Corporation Act and the New York State Financial Emergency Act, the City of New York is required to submit monthly financial reports.",26-Mar-10,Finance and Budget,Financial Plan Statements for New York City - February 2010,Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/fps_feb_2010.pdf
Bridge Strike Mitigation in the New York City Region,Transportation,"The issue of bridge strikes has a significant safety and economic impact throughout the State of New York. Although identifying the problem is simple, trucks hitting bridges; the solution is more complex and involves a more deliberate solution. There is a",12-Jan-10,Transportation,Bridge Strike Mitigation in the New York City Region,Staff Report,http://www.nyc.gov/html/dot/downloads/pdf/hodge_bridgestrikemitigation_trb2010.pdf
High Pedestrian Crash Locations,Transportation,"This report, in response to Local Law 11, addresses DOT’s ongoing commitment to improve safety at high pedestrian crash locations. The law requires DOT to identify the twenty highest crash locations based upon a ranking of the total number of crashes invo",30-Mar-10,Transportation,High Pedestrian Crash Locations,Staff Report,http://www.nyc.gov/html/dot/downloads/pdf/top20pedcrashsites_2007.pdf
Property Final/Adopted Rules,Finance,Amendments to the Rules Relating to Refunds of Real Property Taxes,08-Apr-10,Finance and Budget,Property Final/Adopted Rules,Legislative Document,http://www.nyc.gov/html/dof/html/pdf/final%20rules/final_real_property_refunds.pdf
Law Department Annual Report 2009,Law Department,The Law Department presents its 2009 Annual Report.,26-Mar-10,Government Policy,Law Department Annual Report 2009,Annual Report,http://www.nyc.gov/html/law/downloads/pdf/AR09.pdf
Issuer's Allocation Percentage Reports,Finance,2009 Bankingl Corporation Tax (BCT),12-Apr-10,Finance and Budget,Issuer's Allocation Percentage Reports,Annual Report,http://www.nyc.gov/html/dof/html/pdf/10pdf/banking2009.pdf
City Planning Commission Report (C 100083 HAX),City Planning,Bronx River Art Center - (C 100083 HAX),14-Apr-10,Housing and Buildings,City Planning Commission Report (C 100083 HAX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100083.pdf
City Planning Commission Report (N 100247 HKM),City Planning,Former Yale Club - (N 100247 HKM),14-Apr-10,Housing and Buildings,City Planning Commission Report (N 100247 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100247.pdf
City Planning Commission Report (N 100248 HKM),City Planning,143 Allen Street House - (N 100248 HKM),14-Apr-10,Housing and Buildings,City Planning Commission Report (N 100248 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100248.pdf
New York City’s Green Dividend,Transportation,"Because New Yorkers drive substantially less than the average American, they realize a staggering $19 billion in savings each year — money that their counterparts in other metro areas spend on auto-related expenses. And because they spend so much less on ",20-Apr-10,Transportation,New York City’s Green Dividend,Consultant Report,http://www.nyc.gov/html/dot/downloads/pdf/nyc_greendividend_april2010.pdf
Civil List,Citywide Admin Svcs,"The Civil List is the annual report of all City of New York employees listed by name, title, agency and salary. ",01-Apr-10,Labor Relations,Civil List,Annual Report,http://www.nyc.gov/html/records/pdf/govpub/civil_list_2009.pdf
Audit Report on the Financial and Operating Practices of the New York City Economic Development Corporation and Compliance with Its Master and Maritim,Comptroller,"Audit Report on the Financial and Operating Practices of the New York City Economic Development Corporation and Compliance with Its Master and Maritime Contracts July 1, 2005–June 30, 2008
",27-Apr-10,Finance and Budget,Audit Report on the Financial and Operating Practices of the New York City Economic Development Corporation and Compliance with Its Master and Maritim,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FN09_104A.pdf
Follow-Up Audit Report on the Development and Implementation of the Paperless Office System by the Human Resources Administration,Comptroller,Follow-Up Audit Report on the Development and Implementation of the Paperless Office System by the Human Resources Administration,21-Apr-10,Finance and Budget,Follow-Up Audit Report on the Development and Implementation of the Paperless Office System by the Human Resources Administration,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FS10_057F.pdf
City Planning Commission Report (C 070109 MMQ),City Planning,55th Road  - C 070109 MMQ  ,28-Apr-10,Housing and Buildings,City Planning Commission Report (C 070109 MMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070109.pdf
City Planning Commission Report (C 070520 ZMK),City Planning,18th Avenue Rezoning  - C 070520 ZMK  ,26-Apr-10,Housing and Buildings,City Planning Commission Report (C 070520 ZMK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070520.pdf
City Planning Commission Report (N 100276 PXK),City Planning,9 Bond Street Office Space  - N 100276 PXK  ,28-Apr-10,Housing and Buildings,City Planning Commission Report (N 100276 PXK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100276.pdf
City Planning Commission Report (N 100200 ZRQ),City Planning,Astoria Rezoning and Text Amendment  - N 100200 ZRQ  ,28-Apr-10,Housing and Buildings,City Planning Commission Report (N 100200 ZRQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100200.pdf
City Planning Commission Report (C 100199 ZMQ),City Planning,Astoria Rezoning and Text Amendment - C 100199 ZMQ  ,28-Apr-10,Housing and Buildings,City Planning Commission Report (C 100199 ZMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100199.pdf
2009 Sanitation Annual Report ,Sanitation,The NYC Department of Sanitation Fiscal Year 2009 Annual Report,05-May-10,Sanitation,2009 Sanitation Annual Report ,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/pubinfo/annual/ar2009.pdf
Financial Plan Statements for New York City - March 2010,Management and Budget,"In accordance with the requirements of the New York State Municipal Assistance Corporation Act and the New York State Financial Emergency Act, the City of New York is required to submit monthly financial reports.",29-Apr-10,Finance and Budget,Financial Plan Statements for New York City - March 2010,Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/fps_mar_2010.pdf
Sanitation News Spring 2010,Sanitation,Sanitation News Spring 2010 Vol. 6 No. 4,07-May-10,Sanitation,Sanitation News Spring 2010,Serial Publication,http://www.nyc.gov/html/dsny/downloads/pdf/pubinfo/newslttr/News0110.pdf
Sanitation News September 2009,Sanitation,Sanitation News September 2009 Vol. 6 No. 3,01-Sep-09,Sanitation,Sanitation News September 2009,Serial Publication,http://www.nyc.gov/html/dsny/downloads/pdf/pubinfo/newslttr/news0409.pdf
Notice of Interest Rate,Finance,"Notice of Interest Rates on New York City Income and Excise Taxes and Annual Vault Charge (for the period July 1, 2010 through September 30, 2010)",14-May-10,Finance and Budget,Notice of Interest Rate,Legislative Document,http://www.nyc.gov/html/dof/html/pdf/interest_rates/interest_rate_notice_july_sep2010.pdf
City Planning Commission Report (C 090471 ZSK),City Planning,Baku Palace  - C 090471 ZSK  ,12-May-10,Housing and Buildings,City Planning Commission Report (C 090471 ZSK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/090471.pdf
City Planning Commission Report (N 100281 HKM),City Planning,Bissell House Landmark  - N 100281 HKM  ,12-May-10,Housing and Buildings,City Planning Commission Report (N 100281 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100281.pdf
City Planning Commission Report (N 100280 HKM),City Planning,Brill Building Landmark   -  N 100280 HKM  ,12-May-10,Housing and Buildings,City Planning Commission Report (N 100280 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100280.pdf
City Planning Commission Report (N 080157 ZMX),City Planning,Crotona Terrace Rezoning  - N 080157 ZMX  ,12-May-10,Housing and Buildings,City Planning Commission Report (N 080157 ZMX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/080157.pdf
City Planning Commission Report (C 100156 ZSK),City Planning,Providence House II  - C 100156 ZSK  ,12-May-10,Housing and Buildings,City Planning Commission Report (C 100156 ZSK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100156.pdf
City Planning Commission Report (C 100155 HAK),City Planning,Providence House II - C 100155 HAK  ,12-May-10,Housing and Buildings,City Planning Commission Report (C 100155 HAK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100155.pdf
City Planning Commission Report (N 100278 HKR),City Planning,Reformed Church Landmark  - N 100278 HKR  ,12-May-10,Housing and Buildings,City Planning Commission Report (N 100278 HKR),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100278.pdf
City Planning Commission Report (N 100282 HKM),City Planning,Upper East Side Historic District Extension  - N 100282 HKM  ,12-May-10,Housing and Buildings,City Planning Commission Report (N 100282 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100282.pdf
Statement of Debt Affordability,Management and Budget,The Statement of Debt Affordability describes the City’s capital financing needs and sources of funding for its four-year capital program.,17-May-10,Finance and Budget,Statement of Debt Affordability,Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/sda5_10.pdf
Agency Gap Closing Program   ,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications ",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/peg5_10.pdf
Mayor’s Message,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications ",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/mm5_10.pdf
Budget Summary,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications ",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/sum5_10.pdf
Capital Commitment Plan - Volume 3,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/com5_10c.pdf
Community Boards Geographic Report for Expense Budget,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/cbgeo5_10.pdf
Community Board Register by Borough,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/cbrboro5_10.pdf
Capital Commitment Plan - Volume 1,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/com5_10a.pdf
Capital Budget,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/cb5_10.pdf
Expense Revenue Contract ,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/erc5_10.pdf
Supporting Schedule,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/ss5_10.pdf
Budget Function Analysis,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/bfa5_10.pdf
Capital Commitment Plan - Volume 2,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Capital and Expense)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/com5_10b.pdf
Full-Time and Full-Time Equivalent Staffing Levels,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Financial Plan Supplemental Data Publications)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/exec10_stafflevels.pdf
Financial Plan,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Financial Plan Supplemental Data Publications)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/exec10_fpmod.pdf
Financial Plan Expense,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Financial Plan Supplemental Data Publications)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/exec10_fp.pdf
Revenue Financial Plan Detail,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Financial Plan Supplemental Data Publications)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/exec10_rfpd.pdf
Federal Stimulus Funding,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Financial Plan Supplemental Data Publications)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/exec10_fed_stim.pdf
Financial Plan Reconciliation,Management and Budget,"May 2010 Executive Budget, Fiscal Year 2011 Publications (Financial Plan Supplemental Data Publications)",06-May-10,Finance and Budget,"May 2010 Executive Budget, Fiscal Year 2011",Budget Report,http://www.nyc.gov/html/omb/downloads/pdf/exec10_fprecon.pdf
A Compilation of Systems Development Audits and an Assessment of Citywide Systems-Development Strategy,Comptroller,A Compilation of Systems Development Audits and an Assessment of Citywide Systems-Development Strategy,13-May-10,Finance and Budget,A Compilation of Systems Development Audits and an Assessment of Citywide Systems-Development Strategy,Annual Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FS10_136S.pdf
Follow-Up Audit Report On User Access Controls Of The New York City Housing Authority’s Tenant Selection System And Tenant Selection And Assignment Pl,Comptroller,Follow-Up Audit Report On User Access Controls Of The New York City Housing Authority’s Tenant Selection System And Tenant Selection And Assignment Plan System ,19-May-10,Finance and Budget,Follow-Up Audit Report On User Access Controls Of The New York City Housing Authority’s Tenant Selection System And Tenant Selection And Assignment Pl,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FS10_056F.pdf
Analysis of Mayor Bloomberg's Executive Budget for 2011,Independent Budget,"Mandated Report, 7 pages plus tables, pdf format",21-May-10,Finance and Budget,Analysis of Mayor Bloomberg's Executive Budget for 2011,Budget Report,http://www.ibo.nyc.ny.us/iboreports/mayreport2010.pdf
Property Final/Adopted Rules ,Finance,Amendment to the Rules Relating to the Filing of Income and Expense Statements,27-May-10,Finance and Budget,Property Final/Adopted Rules ,Legislative Document,http://www.nyc.gov/html/dof/html/pdf/final%20rules/filing_income_expense_statements.pdf
City Planning Commission Report (C 090356 ZSQ),City Planning,72-25 Woodhaven Boulevard  - C 090356 ZSQ  ,26-May-10,Housing and Buildings,City Planning Commission Report (C 090356 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/090356.pdf
City Planning Commission Report (C 090143 ZMX),City Planning,East Fordham Road Rezoning  - C 090143 ZMX  ,26-May-10,Housing and Buildings,City Planning Commission Report (C 090143 ZMX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/090143.pdf
City Planning Commission Report (N 100262 ZRM),City Planning,Elliot Chelsea Housing  - N 100262 ZRM  ,26-May-10,Housing and Buildings,City Planning Commission Report (N 100262 ZRM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100262.pdf
City Planning Commission Report (N 100279 HKM),City Planning,Germania Fire Insurance Company Landmark  - N 100279 HKM  ,26-May-10,Housing and Buildings,City Planning Commission Report (N 100279 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100279.pdf
City Planning Commission Report (N 100217 ZRM),City Planning,Hudson Yards Garment Center Text  - N 100217 ZRM  ,26-May-10,Housing and Buildings,City Planning Commission Report (N 100217 ZRM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100217.pdf
City Planning Commission Report (C 050001 MMX),City Planning,West 169th Street  - C 050001 MMX  ,26-May-10,Housing and Buildings,City Planning Commission Report (C 050001 MMX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/050001.pdf
Audit On The Payment By Empire City Subway Of License Fees Due The City And Compliance With Certain Provisions Of Its License Agreement,Comptroller,Audit On The Payment By Empire City Subway Of License Fees Due The City And Compliance With Certain Provisions Of Its License Agreement,02-Jun-10,Finance and Budget,Audit On The Payment By Empire City Subway Of License Fees Due The City And Compliance With Certain Provisions Of Its License Agreement,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FP08_103A.pdf
FDNY Medal Day 2010,Fire,Medal Day Booklet 2010,01-Jun-10,Public Safety,FDNY Medal Day 2010,Annual Report,http://www.nyc.gov/html/fdny/html/medal_day/2010/pdf/FDNY%20Medal%20Day%20Book%202010.pdf
City Planning Commission Report (C 100185 ZMK),City Planning,The New Domino - (C 100185 ZMK),07-Jun-10,Housing and Buildings,City Planning Commission Report (C 100185 ZMK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100185.pdf
City Planning Commission Report (N 100186 ZRK),City Planning,The New Domino - (N 100186 ZRK),07-Jun-10,Housing and Buildings,City Planning Commission Report (N 100186 ZRK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100186.pdf
City Planning Commission Report (C 100187 ZSK),City Planning,The New Domino* - (C 100187 ZSK),07-Jun-10,Housing and Buildings,City Planning Commission Report (C 100187 ZSK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100187.pdf
City Planning Commission Report (C 100188 ZSK),City Planning,The New Domino - (C 100188 ZSK),07-Jun-10,Housing and Buildings,City Planning Commission Report (C 100188 ZSK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100188.pdf
City Planning Commission Report (N 100190 ZAK),City Planning,The New Domino - (N 100190 ZAK),07-Jun-10,Housing and Buildings,City Planning Commission Report (N 100190 ZAK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100190.pdf
Comments on New York City’s,Comptroller,"Comments on New York City’s
Fiscal Year 2011 Executive Budget
June 7, 2010",07-Jun-10,Finance and Budget,"Comments on New York City’s Fiscal Year 2011 Executive Budget  June 7, 2010",Annual Report,http://www.comptroller.nyc.gov/bureaus/bud/10reports/June2010_FY2011CommentsExecBudget.pdf
