Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
"Piper Theatre Productions, Inc.",PO Box 156013,Brooklyn,NY,11215,(718) 768-3195,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
Place in History,"1205 Manhattan Avenue, Unit 1212",Brooklyn,NY,11222,(917) 981-5481,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Play Production Company, Inc.","321 West 44th Street, Suite 802",New York,NY,10036,(212) 398-2977,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Plays for Living, Inc.","505 Eighth Avenue, Suite 1202",New York,NY,10018,(212) 760-2751,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Playwrights Horizons, Inc.",416 West 42nd Street,New York,NY,10036,(212) 564-1235,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Playwrights Realm, Inc.",48 W. 25th Street,New York,NY,10010,(212) 255-3089,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Playwrights' Preview Productions,"555 Eighth Avenue, Ste. 1800",New York,NY,10018,(212) 421-1380,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Poetry Outreach Center,160 Convent Avenue,New York,NY,10031,(212) 650-6356,Literature,Manhattan Council District #7,Manhattan Community Board #7,Manhattan
"Poetry Project, Ltd.",131 East 10th Street,New York,NY,10003,(212) 674-0910,Literature,,Manhattan Community Board #3,Manhattan
Poetry Society of America,15 Gramercy Park,New York,NY,10003,(212) 254-9628,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Poets & Writers, Inc.","90 Broad Street, Suite 2100",New York,NY,10004,(212) 226-3586 x222,Literature,Manhattan Council District #2,Manhattan Community Board #1,Manhattan
"Poets House, Inc.",10 River Terrace,New York,NY,10282,(212) 431-7920,Literature,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Point Community Development Corp.,940 Garrison Avenue,Bronx,NY,10474,(718) 542-4139 x21,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #16,Bronx Community Board #2,Bronx
"Police Athletic League, Inc.",34 1/2 East 12th Street,New York,NY,10003,(212) 477-9450 x324,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Polish Theatre Institute in the USA, Inc.",112 West 72nd St,New York,NY,10023,(212) 724-9323,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #7,Manhattan
Polyhymnia Music Foundation Inc.,The Church of St. Ignatius of Antioch,New York,NY,10024,(917) 838-4636,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
PortSide NewYork,P.O. Box 195,Brooklyn,NY,11231,(917) 414-0565,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
Porverty Elimination And Community Education Foundation,"35-28, 30th Street",Astoria,NY,11106,(347) 418-6438,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #1,Queens
Pratt Institute,200 Willoughby Avenue,Brooklyn,NY,11205,(718) 399-4212,"Multi-Discipline, Non-Perform",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Pregones Touring Puerto Rican Theatre Collection, Inc.",571-575 Walton Avenue,Bronx,NY,10451,(718) 585-1202,Theater,Bronx Council District #17,Bronx Community Board #4,Bronx
Present Theatre Company,"520 Eighth Avenue, Ste. 311",New York,NY,10018,(212) 279-4455,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Primary Information, Inc.",41 Grand Street,New York,NY,10013,(646) 894-5547,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Primary Stages Company, Inc.","307 West 38th Street, Ste. 1510",New York,NY,10018,(212) 840-9705 x201,Theater,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
"Printed Matter, Inc.",195 Tenth Avenue,New York,NY,10011,(212) 925-0325,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Pro Musica Corp.,"1000 Richmond Terrace, Building G",Staten Island,NY,10301,(718) 720-5354,Music,,Manhattan Community Board #1,Manhattan
"Project City Kids, Inc.","385 South End Avenue, Apt. 7G",New York,NY,10280,(212) 786-0400,Other,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Project Rebirth, Inc",163 William Street,New York,NY,10038,(212) 346-1482,,Manhattan Council District #1,,Manhattan
"Project Y Theatre, Inc.",447 Ft. Washington Avenue,New York,NY,10033,(646) 717-2094,Theater,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Promote Art Works, Inc.",123 Smith Street,Brooklyn,NY,11201,(718) 797-3116,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Prospect Park Alliance, Inc.",95 Prospect Park West,Brooklyn,NY,11215,(718) 965-8951,Museum,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Prospect Theater Company, Inc.","520 Eighth Avenue, Ste. 307, Third Floor",New York,NY,10018,(212) 594-4476,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Proteus Gowanus Interdisciplinary Gallery, Inc.",543 UNION ST STE 1C,BROOKLYN,NY,11215,(718) 243-1572,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"Providence Productions International, Inc.","115 Montague Street, Apt. 8c",Brooklyn,NY,11201,(212) 420-5965,"Multi-Discipline, Performing",,Brooklyn Community Board #2,Brooklyn
"Public Art Fund, Inc.","1 East 53rd Street, 11th Floor",New York,NY,10022,(212) 980-4575,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Publicolor, Inc.","149 Madison Avenue, Ste. 1201",New York,NY,10016,(212) 213-6121,Architecture/Design,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Puerto Rican Traveling Theatre Company Inc.,141 West 94th Street,New York,NY,10025,(212) 354-1293,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Puerto Rican Workshop, Inc.",1680 Lexington Avenue,New York,NY,10029,(212) 831-4333,Visual Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Pulse Ensemble Theatre, Inc.","248 West 35th Street, 15th Floor",New York,NY,10001,(212) 695-1596,Theater,Manhattan Council District #5,Manhattan Community Board #3,Manhattan
"Puppet Works, Inc.",338 6th Avenue,Brooklyn,NY,11215,(718) 965-3391,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Puppetry Arts Theatre, Inc.","339 2nd Street, Apt. 1R",Brooklyn,NY,11215,(718) 768-3703,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
Puppetry in Practice Inc.,Brooklyn College,New York,NY,11210,(718) 951-4240,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #45,Brooklyn Community Board #14,Brooklyn
Purelements: An Evolution in Dance,1958 Fulton Street,NY,NY,11233,(347) 533-8933,Dance,Brooklyn Council District #42,Brooklyn Community Board #3,Brooklyn
QMAD Queens Media Arts Development,"35-05 94th Street, Ste. 5A",Jackson Heights,NY,11372,(646) 338-6301,"Multi-Discipline, Non-Perform",Queens Council District #21,Queens Community Board #3,Queens
QTP_GV_9132010111442AM,60 Main Street,NewBronx,NY,10088,(212) 222-7755,Crafts,Queens Council District #23,Queens Community Board #8,Manhattan
Qi Shu Fang Peking Opera Association,80-31 88 Road,Queens,NY,11421,(608) 363-2081,Folk Arts,Queens Council District #32,Queens Community Board #9,Queens
"Queen's Theatre Company, Inc.",Times Square Station,New York,NY,10108,(917) 648-4167,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Queens Botanical Garden Society, Inc.",43-50 Main Street,Flushing,NY,11355,(718) 886-3800,Botanical,Queens Council District #20,Queens Community Board #7,Queens
Queens Community Civic Corporation,68-01 A 136 Street,Flushing,NY,11367,(718) 261-8015,"Multi-Discipl, Perf & Non-Perf",Queens Council District #24,Queens Community Board #8,Queens
Queens Council on the Arts,"One Forest Park at Oak Ridge, 2nd Floor",Woodhaven,NY,11421,(347) 505-3018,"Multi-Discipline, Non-Perform",Queens Council District #32,Queens Community Board #1,Queens
Queens Historical Society,143-35 37th Avenue,Flushing,NY,11354,(718) 939-0647 x18,Museum,Queens Council District #20,Queens Community Board #7,Queens
"Queens Jewish Community Council, Inc.",119-45 Union Turnpike,Forest Hills,NY,11375,(718) 544-9033,"Multi-Discipline, Performing",Queens Council District #29,Queens Community Board #6,Queens
"Queens Lesbian & Gay Pride Committee, Inc.",P.O. Box 720464,Queens,NY,11372,(917) 587-4241,"Multi-Discipline, Performing",Queens Council District #25,Queens Community Board #3,Queens
Queens Lesbian and Gay Community Center Inc.,"76-11 37 Avenue, 2nd floor",Jackson Heights,NY,11372,(917) 848-2630,"Multi-Discipl, Perf & Non-Perf",Queens Council District #25,Queens Community Board #3,Queens
Queens Museum of Art,New York City Building / Flushing Meadows Park,Corona,NY,11368,(718) 592-9700,Visual Arts,Queens Council District #21,Queens Community Board #7,Queens
Queens Symphony Orchestra,c/o Queens College,Flushing,NY,11367,(718) 326-4455 x18,Music,Queens Council District #30,Queens Community Board #5,Queens
"Queens Theatre in the Park, Inc.",14 United Nations Avenue South,Queens,NY,11368,(718) 760-0064,Theater,Queens Council District #21,Queens Community Board #7,Queens
"Queensborough Community College Fund, Inc.",22205 56th Avenue,Bayside,NY,11364,(718) 281-5770,"Multi-Discipl, Perf & Non-Perf",Queens Council District #23,Queens Community Board #11,Queens
"Quest Youth Organization, Inc.",PO Box 26724,Brooklyn,NY,11202,(718) 928-7058,Music,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"Quintet of the Americas, Inc.",15 Circle Road,Douglaston,NY,11363,(718) 230-5189,Music,Queens Council District #19,Queens Community Board #11,Queens
RED BULL THEATER INC.,P.O. Box 250863,New York,NY,10025,(212) 414-5168 x3,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"RX Art, Inc.",208 Forsyth Street,New York,NY,10002,(212) 260-8797,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Rabbit Hole Ensemble,415 Ocean Parkway,Brooklyn,NY,11218,(718) 686-6624,Theater,Brooklyn Council District #39,Brooklyn Community Board #12,Brooklyn
"Racing Thoughts, Inc.","55 North Moore Street, #3",New York,NY,10013,(212) 226-5109,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Radio Foundation, Inc.",1 West 89th Street,New York,NY,10024,(212) 595-1837,Other,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"RadioHole, Inc.",294 Macon Street,Brooklyn,NY,11216,(718) 218-6996,"Multi-Discipline, Performing",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
Rajkumari Cultural Center,"83-84 116th Street, Suite 2K",New York,NY,11418,(718) 846-5431,"Multi-Discipline, Performing",Queens Council District #29,Queens Community Board #9,Queens
"Random Access Music, Ltd.",22-13 37th Street,Astoria,NY,11105,(718) 721-8311,Music,Queens Council District #22,Queens Community Board #1,Queens
"Rattapallax, Incorporated","532 La Guardia Place, Ste. 353",New York,NY,10012,(646) 416-4702,Literature,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Rattlestick Productions, Inc.",224 Waverly Place,New York,NY,10014,(212) 627-2556,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"ReLIT NY, Inc.",PO Box 1833,New York,NY,10016,(917) 573-0034,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Reach Into Cultural Heights, Inc.","90-04 161st Street, Ste. 201",Jamaica,NY,11432,(718) 523-4099,Film/Video/Audio,Queens Council District #27,Queens Community Board #12,Queens
"Recess Activities, Inc.",41 Grand Street,New York,NY,10013,(646) 863-3765,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Recording Artists' Development, Inc.",17 Gay Street #8,New York,NY,10014,(212) 727-2625,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Rector, Church Wardens, Vestrymembers of the Church of St. Luke in the Field",487 Hudson Street,New York,NY,10014,(212) 924-0562,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Red Fern Theatre Company, Inc.","32 West 40th Street, Apt. 3B",New York,NY,10018,(646) 554-3791,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Red Light Contemporary Music,171 Clermont Ave,Brooklyn,NY,11205,(718) 968-5317,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Manhattan
Redhawk Indian Arts Council,726 42nd Street,Brooklyn,NY,11232,(718) 686-9297,Folk Arts,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
"Reel Lives, Inc.","136 Metropolitan Avenue, 4C",Brooklyn,NY,11249,(646) 488-2991,Film/Video/Audio,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
"Reel Stories Teen Filmmaking, Inc.",c/o Center For The Urban Environment,Brooklyn,NY,11215,(718) 768-9000,Film/Video/Audio,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Regina Opera Company, Inc.",1251 Tabor Court,Brooklyn,NY,11219-5345,(718) 232-3555,Music,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn
Regional Plan Association,4 Irving Place,New York,NY,10003,(917) 546-4304,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Rejoicensemble, Inc.",1877 Ocean Avenue Suite 1E,Brooklyn,NY,11230,(212) 368-7117,Music,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn
"Relationship Performance and Art Group, Inc.","100 Saint Mark's Place, Apt. 7",New York,NY,10009,(212) 533-9169,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Renaisance-EMS,3485 Third Ave,Bronx,NY,10456,(718) 450-3466,Music,Bronx Council District #16,Bronx Community Board #3,Bronx
"Repast Ensemble, Inc.",61 Eastern Pkwy,Brooklyn,NY,11238,(347) 453-9137,Music,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn
"Residency Unlimited, Inc.",360 Court St. unit #4,Brooklyn,NY,11231,(646) 327-8511,Visual Arts,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
Reverend Linnette C. Williamson Memorial Park Association,"141 West 139th Street, Apt. C44",New York,NY,10030,(212) 566-0828,"Multi-Discipline, Non-Perform",Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Reverie Productions, Inc.","520 Eighth Avenue, Ste. 317",New York,NY,10018,(212) 244-7803,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Reversing The Projections. Inc,113-35 Farmers Boulevard,Saint Albans,NY,11412,(718) 217-5117,Dance,Queens Council District #27,Queens Community Board #12,Queens
Rhizome,235 Bowery,New York,NY,10002,(212) 219-1222 x208,New Media,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Richard Allen Center for Culture and Art,40 Peck Slip,New York,NY,10038,(917) 605-4014,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Richmond Choral Society,P. O. Box 141002,Staten Island,NY,10314,(718) 720-6422,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
Richmond County Orchestra,P.O. Box 140626,Staten Island 10314,NY,10314,(718) 390-4306,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Rincon Criollo Cultural Center, Inc.","1580 Monroe Avenue, #2",Bronx,NY,10457,(347) 679-6802,Folk Arts,,Bronx Community Board #1,Bronx
"Ringside, Inc.",51 North 1st Street,Brooklyn,NY,11211,(718) 384-6491,Dance,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Rio Grande Union, Inc.","541 Broadway, Third Floor",New York,NY,10012,(212) 966-6999,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Ripe Time, Inc.","138 South Oxford Street, Ste. 4D",Brooklyn,NY,11217,(718) 622-3650,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Rising Circle Theater Collective, Inc.",212 South Oxford Street,Brooklyn,NY,11217,(646) 245-5050,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Riverdale Choral Society,P.O. Box 436,Bronx,NY,10471,(718) 543-9091,Music,Bronx Council District #11,Bronx Community Board #8,Bronx
"Riverdale Community Center, Inc.",660 West 237th Street,Bronx,NY,10463,(718) 796-4724,Theater,Bronx Council District #11,Bronx Community Board #8,Bronx
"Riverside Opera Company, Inc.","1000 Richmond Terrace, Box 2-8",Staten Island,NY,10301,(718) 390-4306,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Riverside Symphony, Inc.",225 West 99th Street,New York,NY,10025,(212) 864-4197,Music,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
Riverside Theatre Inc.,490 Riverside Drive,New York,NY,10027,(212) 870-6877,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #9,Manhattan
"Robert H. Clampitt Foundation, Inc.","163 Amsterdam Avenue, #149",New York,NY,10023,(202) 316-3917,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Roberta Wells Conservatory of Arts & Learning, Inc.",P.O. Box 690075,East Elmhurst,NY,11369,(718) 565-0399,"Multi-Discipl, Perf & Non-Perf",Queens Council District #21,Queens Community Board #3,Queens
"Rockaway Artists Alliance, Inc.",260 Beach 116th Street,Rockaway Park,NY,11694,(718) 474-0861,"Multi-Discipl, Perf & Non-Perf",Queens Council District #32,Queens Community Board #14,Queens
Rockaway Theatre Company,P.O. Box 950398,Far Rockaway,NY,11695,(917) 817-5594,Theater,Queens Council District #32,Queens Community Board #14,Queens
"Rocking the Boat, Inc.",812 Edgewater Road,Bronx,NY,10474,(718) 466-5799,"Multi-Discipline, Non-Perform",Bronx Council District #17,Bronx Community Board #2,Bronx
"Rod Rodgers Dance Company, Inc.",62 East 4th Street,New York,NY,10003,(212) 674-9066,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Romare Bearden Foundation,"2090 Adam Clayton Powell, Jr. Blvd",New York,NY,10027,(212) 924-0455 x105,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Rooftop Films,"232 3rd Street, Apt. D101",Brooklyn,NY,11215,(212) 277-8021,Film/Video/Audio,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
Roosevelt Island Historical Society,P.O. Box 5,Roosevelt Island,NY,10044,(212) 688-4836,Humanities,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
Roosevelt Island Theatre Corporation,548 Main Street,New York,NY,10044,(212) 371-4449,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan
Rosie's Theater Kids,445 West 45th Street,New York,NY,10036,(646) 434-2745,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Roulette Intermedium, Inc.",30 Third Avenue,New York,NY,11217,(212) 219-8242,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Roundabout Theatre Company, Inc.","231 West 39th Street, Ste. 1200",New York,NY,10018,(212) 719-9393,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Roundtable Ensemble, Ltd.",P.O. Box 6272,New York,NY,10128,(212) 223-2619,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Roust Theatre Company, Inc.","211 West 107th Street, Apt. 5W",New York,NY,10025,(212) 666-3813,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
"Royal Family Productions, Inc.",66 Pinehurst Ave.,New York,NY,10033,(646) 244-8207,Theater,Manhattan Council District #10,Manhattan Community Board #12,Manhattan
Rubin Museum of Art,150 West 17th Street,New York,NY,10011,(212) 620-0628 x312,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Rush Philanthropic Arts Foundation,"512 Seventh Avenue, 43rd Floor",New York,NY,10018,(212) 997-3034,Visual Arts,Manhattan Council District #5,Manhattan Community Board #3,Manhattan
Russian American Cultural Center,"520 East 76th Street, Apt. 7 E",New York,NY,10021,(212) 744-5168,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #5,Manhattan
Russian American Cultural Heritage Center,"34 Hillside Avenue, Apt. 4C",New York,NY,10040,(212) 567-5834,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Russian Musical Arts Society of America, Inc.","731 West 183rd Street, Apt. 3I",New York,NY,10033,(212) 928-1402,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Russian-American Foundation, Inc.","70 West 36th Street, Ste. 701",New York,NY,10018,(212) 687-6132,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Ruth Williams Dance Foundation, Inc.",2090 Adam Clayton Powell Jr. Boulevard,New York,NY,10027,(212) 662-6403,Dance,,Manhattan Community Board #10,Manhattan
"Ryan Repertory Company, Inc.",2445 Bath Avenue,Brooklyn,NY,11214,(718) 996-4800,Theater,Brooklyn Council District #47,Brooklyn Community Board #11,Brooklyn
"S.E.M. Ensemble, Inc.",25 Columbia Place,Brooklyn,NY,11201,(718) 488-7659,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"S.I.T.U., Inc.","127 Second Avenue, #19",New York,NY,10003,(212) 260-3546,Dance,,Manhattan Community Board #2,Manhattan
"SENS Production, Inc.",148 Classon Avenue,Brooklyn,NY,11205,(718) 302-5024,Dance,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
SMARTSPACES-DOT-ORG,61 7th Avenue South,New York,NY,10014,(646) 823-6993,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
SOHO20 Artists Inc.,547 West 27th Street,New York,NY,10001,(212) 367-8994,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"SYREN Modern Dance, Inc.",70-02 66th Place,Glendale,NY,11385,(917) 650-5134,Dance,Queens Council District #26,Queens Community Board #1,Queens
"Sachiyo Ito and Company, Inc.","405 West 23rd Street, Ste. 4G",New York,NY,10011,(212) 627-0265,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Sacred Music Chorale of Richmond Hill,86-20 114th Street,Richmond Hill,NY,11418,(917) 837-5783,Music,Queens Council District #30,Queens Community Board #9,Queens
"Saeko Ichinohe and Company, Inc.","159 West 53rd Street, Suite 22-H",New York,NY,10019,(212) 757-2531,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Saint Alban's Episcopal Church,76 Saint Alban's Place,Staten Island,NY,10312,(718) 984-7756,Music,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island
Salmagundi Club,47 Fifth Avenue,New York,NY,10003,(212) 255-7740 x210,Visual Arts,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
Salvadori Center,"475 Riverside Drive, Suite 1370",New York,NY,10115,(212) 870-3970,Architecture/Design,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
Salvation Army,86-07 35th Avenue,Jackson Heights,NY,11372,(212) 337-7201,"Multi-Discipline, Performing",Queens Council District #25,Queens Community Board #3,Queens
Salvatore LaRussa Dance Co.,66-79 73 Place,Middle Village,NY,11379,(917) 686-7429,Dance,Queens Council District #30,Queens Community Board #5,Queens
Sandy Ground Historical Society,1538 Woodrow Road,Staten Island,NY,10309,(718) 317-5796,Museum,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island
"Saratoga International Theater Institute, Inc.","520 Eighth Avenue, Ste. 310",New York,NY,10018,(212) 868-0860,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Scandinavian East Coast Museum,440 Ovington Avenue,Brooklyn,NY,11209,(718) 567-9620,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn
"School News Nationwide, Inc.",1068 Fulton Street,Brooklyn,NY,11238,(718) 753-9920,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #13,Brooklyn
"School of American Ballet, Inc.","70 Lincoln Center Plaza, Fifth Floor",New York,NY,10023,(212) 769-6600,Dance,Manhattan Council District #6,Manhattan Community Board #4,Manhattan
Science Festival Foundation,475 Riverside Drive,New York,NY,10115,(646) 200-8818,Science,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Sculptors Alliance Inc.,"305 East 11th Street, Apt. 5D",New York,NY,10003,(212) 982-4135,Visual Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Sculpture Center, Inc.",44-19 Purves Street,Long Island City,NY,11101,(718) 361-1750,Visual Arts,Queens Council District #26,Queens Community Board #2,Queens
"Search and Restore, Inc.","332 Gates Avenue, Apt 1",New York City,NY,11216,(617) 548-3961,Music,Brooklyn Council District #36,Brooklyn Community Board #3,Manhattan
"Seaside Summer Concert Series, Inc.","32 Court Street, Ste. 607",Brooklyn,NY,11201,(212) 297-4888,Music,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
"Second Generation Productions, Inc.",80-17 Bell Blvd.,Hollis Hillls,NY,11427,(212) 334-4777,Theater,Queens Council District #23,Queens Community Board #11,Manhattan
Second Stage Theatre,305 West 43rd Street,New York,NY,10036,(212) 787-8302 x106,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Seedco Financial Services,"915 Broadway, 17th Floor",New York,NY,10010,(212) 204-1300,Other,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
September 11th Widows and Victim Families Association,"22 Cortlandt Street, Suite 801",New York,NY,10007,(212) 422-3520 x111,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
September Concert Foundation,601 West 57th St #37D,New York,NY,10019,(212) 333-3399,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan
"Serenade at Historic Christ Church, Inc.",228 Bard Avenue,Staten Island,NY,10310,(718) 727-6100,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Sesame Flyers International, Inc.",3510 Church Avenue,Brooklyn,NY,11203,(718) 693-0500,Music,Brooklyn Council District #45,Brooklyn Community Board #17,Brooklyn
"Seventh Regiment Armory Conservancy, Inc.",643 Park Avenue,New York,NY,10065,(212) 616-3951,Visual Arts,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Shadow Box Theatre, Inc.","325 West End Avenue, Apt. 12B",New York,NY,10023,(212) 724-0677,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Shakespeare Society,45 East 78th Street,New York,NY,10075,(212) 967-6802,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Shen Wei Dance Arts, Inc.","135 West 29th Street, Suite 1100",New York,NY,10001,(212) 962-1113,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Shorefront YM-YWHA of Brighton Manhattan Beach Inc,3300 Coney Island Avenue,Brooklyn,NY,11235,(347) 689-1880,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #48,Brooklyn Community Board #13,Brooklyn
"Shotgun Productions, Inc.","165 East 35th Street, Suite 7J",New York,NY,10016,(917) 371-7612,Theater,,Manhattan Community Board #6,Manhattan
"Showpaper, Inc",915 Wyckoff Ave.,Ridgewood,NY,11385,(347) 746-5512,Music,Queens Council District #32,Queens Community Board #5,Queens
"Sign of the Times Theater Company, Inc.","80 East 11th Street, Suite 301C",New York,NY,10003,(917) 334-2897,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Signature Theatre Company, Inc.","630 Ninth Avenue, Ste. 1106",New York,NY,10036,(212) 967-1913 x11,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
