SITE_NAME,SITE_NUMBER,VOTER_ENTRANCE,HANDICAP_ENTRANCE,STREET_NUMBER,STREET_NAME,STREET_SUFFIX,SITE_STATUS,CITY,STATE,ZIP_CODE,LOCATION,BOROUGH
PS 12,Q0175,42-00 72 Street,42-00 72 Street,42-00,72 Street,,A,Woodside,,11377,"(40.742633, -73.892805)",Queens
PS 105,Q0176,420 Beach 51 Street,Elizabeth Street,420,Beach 51 Street,,A,Far Rockaway,,11691,"(40.595795, -73.781876)",Queens
Goodwill Apartments,Q0177,4-21 27 Avenue,4-21 27 Avenue,21-Apr,27 Avenue,,A,Astoria,,11102,"(40.774637, -73.933137)",Queens
Beach 41st Street Community Center,Q0178,426 Beach 40 Street,426 Beach 40 Street,426,Beach 40 Street,,A,Far Rockaway,,11691,"(40.596249, -73.772408)",Queens
Queen of Angels Parish Center,Q0180,43-18 SKILLMAN AVENUE,43-18 SKILLMAN AVENUE,43-18,Skillman Avenue,,A,Sunnyside,,11104,"(40.746855, -73.920552)",Queens
Queens Botanical Gardens,Q0181,43-50 Main Street,43-50 Main Street,43-50,Main Street,,A,Flushing,,11355,"(40.751486, -73.826085)",Queens
Rosenthal Senior Center,Q0182,45-25 Kissena Boulevard,45-25 Kissena Boulevard,45-25,Kissena Boulevard,,A,Flushing,,11355,"(40.751556, -73.820108)",Queens
PS 125 JHS,Q0184,46-02 47 Avenue,46-02 47 Avenue,46-02,47 Avenue,,A,Woodside,,11377,"(40.741131, -73.91896)",Queens
IS 237,Q0185,46-21 Colden Street,Juniper Avenue,46-21,Colden Street,,A,Flushing,,11355,"(40.749575, -73.822102)",Queens
PS 158 JHS,Q0186,46-35 Oceania Street,46-35 Oceania Street,46-35,Oceania Street,,A,Bayside,,11361,"(40.756108, -73.772847)",Queens
Newtown HS,Q0188,48-01 90 Street,48-01 90 Street,48-01,90 Street,,A,Elmhurst,,11373,"(40.741122, -73.874721)",Queens
PS 151,Q0190,50-05 31 Avenue,50-05 31 Avenue,50-05,31 Avenue,,A,Woodside,,11377,"(40.757515, -73.908938)",Queens
IS 61,Q0191,98-50 50 Avenue,98-50 50 Avenue,98-50,50 Avenue,,A,Corona,,11368,"(40.742665, -73.863322)",Queens
Phipps Houses,Q0192,51-01 39 Avenue,51-01 39 Avenue,51-01,39 Avenue,,A,LIC,,11104,"(40.748809, -73.912671)",Queens
PS 67 JHS,Q0193,51-60 Marathon Parkway,51-60 Marathon Parkway,51-60,Marathon Parkway,,A,Little Neck,,11362,"(40.762656, -73.733651)",Queens
PS 203,Q0196,53-11 Springfield Boulevard,53-11 Springfield Boulevard,53-11,Springfield Boulevard,,A,Flushing,,11364,"(40.754201, -73.760636)",Queens
PS 215,Q0197,5-35 Briar Place,Brookhaven Boulevard,May-35,Briar Place,,A,Far Rockaway,,11691,"(40.599299, -73.75821)",Queens
PS 11,Q0198,54-25 Skillman Avenue,54 Street Entrance,54-25,Skillman Avenue,,A,Woodside,,11377,"(40.745265, -73.908756)",Queens
PS 13,Q0199,55-01 94 Street,55-01 94 Street,55-01,94 Street,,A,Elmhurst,,11373,"(40.737612, -73.86851)",Queens
PS 102,Q0200,55-24 Van Horn Street,55-24 Van Horn Street,55-24,Van Horn Street,,A,Elmhurst,,11373,"(40.733486, -73.877824)",Queens
PS 177,Q0201,56-37 188 Street,56-37 188 Street,56-37,188 Street,,A,Fresh Meadows,,11365,"(40.743912, -73.788133)",Queens
Benjamin Cardozo HS,Q0202,58 Ave. bet. 223 St. & Springfield Blvd.,58 Ave. bet. 223 St. & Springfield Blvd.,57-00,223 Street,,A,Oakland Gardens,,11364,"(40.752333, -73.75599)",Queens
Ocean Village,Q0203,57-07 Shore Front Parkway,57-07 Shore Front Parkway,57-07,Shore Front Parkway,,A,Arverne,,11692,"(40.589592, -73.786376)",Queens
PS 221,Q0204,57-40 Marathon Parkway,Marathon Parkway/60 Avenue,57-40,Marathon Parkway,,A,Little Neck,,11362,"(40.759403, -73.731299)",Queens
PS 120,Q0205,58-01 136 Street,58-01 136 Street,58-01,136 Street,,A,Flushing,,11355,"(40.745526, -73.829309)",Queens
Francis Lewis HS,Q0206,58-20 Utopia Parkway,58-20 Utopia Parkway,58-20,Utopia Parkway,,A,Fresh Meadows,,11365,"(40.740841, -73.792823)",Queens
Big Six Towers,Q0209,59-15 47 Avenue,59-15 47 Avenue,59-15,47 Avenue,,A,Woodside,,11377,"(40.740218, -73.905609)",Queens
PS 81,Q0210,599 Cypress Avenue,Bleeker Street /Cypress Avenue,599,Cypress Avenue,,A,Ridgewood,,11385,"(40.703069, -73.911173)",Queens
PS 153,Q0211,60-02 60 Lane,60-02 60 Lane,60-02,60 Lane,,A,Maspeth,,11378,"(40.716644, -73.90368)",Queens
PS 88,Q0213,60-85 Catalpa Avenue,60-85 Catalpa Avenue,60-85,Catalpa Avenue,,A,Ridgewood,,11385,"(40.703757, -73.896446)",Queens
IS 74,Q0214,61-15 Oceania Street,61-15 Oceania Street,61-15,Oceania Street,,A,Oakland Gardens,,11364,"(40.745179, -73.767435)",Queens
Fairview Apartments,Q0215,61-20 Grand Central Parkway,61-20 Grand Central Parkway,61-20,Grand Central Parkway,,A,Forest Hills,,11375,"(40.738376, -73.846706)",Queens
PS 206,Q0216,61-21 97 Place,61-21 97 Place,61-21,97 Place,,A,Rego Park,,11374,"(40.734245, -73.861538)",Queens
PS 187/811Q,Q0217,61-25 Marathon Parkway,61-25 Marathon Parkway,61-25,Marathon Parkway,,A,Little Neck,,11362,"(40.756772, -73.729484)",Queens
PS 220,Q0219,62-10 108 Street,62-28 108 Street,62-10,108 Street,,A,Forest Hills,,11375,"(40.736571, -73.85148)",Queens
PS 157 JHS,Q0222,63-55 102 Street,63-55 102 Street,63-55,102 Street,,A,Rego Park,,11374,"(40.732327, -73.853843)",Queens
Trinity Lutheran Church,Q0223,63-70 Dry Harbor Road,Penelope Avenue,63-70,Dry Harbor Road,,A,Flushing,,11379,"(40.720408, -73.873566)",Queens
PS 175,Q0225,64-35 102 Street,65 AVE,64-35,102 Street,,A,Rego Park,,11374,"(40.730899, -73.853142)",Queens
PS 46,Q0226,64-45 218 Street,64-45 218 Street,64-45,218 Street,,A,Oakland Gardens,,11364,"(40.74621, -73.758756)",Queens
PS 174,Q0227,65-10 Dieterle Crescent,Ellwell Crescent,65-10,Dieterle Crescent,,A,Rego Park,,11374,"(40.720924, -73.86135)",Queens
PS 201,Q0228,65-11 155 Street,65-11 155 Street,65-11,155 Street,,A,Flushing,,11367,"(40.736652, -73.813346)",Queens
PS 93 JHS,Q0229,Fairview Ave entrance,Fairview Ave entrance,66-56,Forest Avenue,,A,Ridgewood,,11385,"(40.705922, -73.902516)",Queens
Little Meadow Early Childhood Center,Q0231,67-25 188 Street,67-25 188 Street,67-25,188 Street,,A,Flushing,,11365,"(40.736473, -73.784598)",Queens
PS 229,Q0232,67-25 51 Road,67-25 51 Road,67-25,51 Road,,A,Woodside,,11377,"(40.734293, -73.897549)",Queens
PS 87,Q0233,67-54 80 Street,68 Avenue,67-54,80 Street,,A,Middle Village,,11379,"(40.711815, -73.871238)",Queens
PS 190 JHS,Q0234,68-17 Austin Street,68-17 Austin Street,68-17,Austin Street,,A,Forest Hills,,11375,"(40.722795, -73.851951)",Queens
PS 128,Q0237,69-26 65 Drive,69-26 65 Drive,69-10,65 Drive,,A,Middle Village,,11379,"(40.71533, -73.885974)",Queens
PS 73 JHS,Q0238,70-02 54 Avenue,70-02 54 Avenue,70-02,54 Avenue,,A,Maspeth,,11378,"(40.729215, -73.893628)",Queens
PS 200,Q0239,70-10 164 Street,70-10 164 Street,70-10,164 Street,,A,Fresh Meadows,,11365,"(40.731506, -73.805105)",Queens
PS 165,Q0240,70-35 150 Street,70-35 150 Street,70-35,150 Street,,A,Flushing,,11367,"(40.729974, -73.818568)",Queens
Sand Castle,Q0243,711 Seagirt Avenue,711 Seagirt Avenue,11-Jul,Seagirt Avenue,,A,Far Rockaway,,11691,"(40.596008, -73.742659)",Queens
Immaculate Conception Center,Q0245,72-00 Douglaston Parkway,72-00 Douglaston Parkway,72-00,Douglaston Parkway,,A,Little Neck,,11362,"(40.74685, -73.735266)",Queens
Dayton Towers East 7400,Q0246,74-00 Shore Front Parkway,74-00 Shore Front Parkway,7400,Shore Front Parkway,,A,Arverne,,11692,"(40.586721, -73.802043)",Queens
PS 119 JHS,Q0247,74-01 78 Avenue,74-01 78 Avenue,74-01,78 Avenue,,A,Ridgewood,,11385,"(40.704411, -73.875115)",Queens
PS 154,Q0248,75-02 162 Street,75-02 162 Street,75-02,162 Street,,A,Fresh Meadows,,11366,"(40.726807, -73.806905)",Queens
PS 2,Q0249,75-10 21 Avenue,,75-10,21 Avenue,,A,East Elmhurst,,11370,"(40.77034, -73.894432)",Queens
PS 205,Q0250,75-25 Bell Boulevard,75-25 Bell Boulevard,75-25,Bell Boulevard,,A,Oakland Gardens,,11364,"(40.738458, -73.757156)",Queens
PS 69,Q0251,77-02 37 Avenue,77-02 37 Avenue,77-02,37 Avenue,,A,Jackson Heights,,11372,"(40.749263, -73.888832)",Queens
Meadowbrook Apartments,Q0252,77-15 113 Street,77-15 113 Street,77-15,113 Street,,A,Forest Hills,,11375,"(40.716522, -73.832367)",Queens
Woodhaven Ambulance Corporation,Q0253,78-15 Jamaica Avenue,78-15 Jamaica Avenue,78-15,Jamaica Avenue,,A,Woodhaven,,11421,"(40.69189, -73.863761)",Queens
PS 49,Q0254,79-15 Penelope Avenue,79 Street/Penelope Avenue,79-15,Penelope Avenue,,A,Middle Village,,11379,"(40.719123, -73.875322)",Queens
Dayton Towers East,Q0255,78-00 Shore Front Parkway,78-00 Shore Front Parkway,7800,Shore Front Parkway,,A,Far Rockaway,,11693,"(40.586476, -73.804394)",Queens
Creedmoor Hospital,Q0256,80-45 Winchester Boulevard,BLdg 40 Side Entrance,79-25,Winchester Boulevard,,A,Queens Village,,11427,"(40.740061, -73.73351)",Queens
PS 115,Q0257,80-51 261 Street,80-51 261 Street,80-51,261 Street,,A,Glen Oaks,,11004,"(40.744112, -73.709852)",Queens
Dayton Beach Park 8200,Q0258,82-00 Shore Front Parkway,82-00 Shore Front Parkway,8200,Shore Front Parkway,,A,Far Rockaway,,11693,"(40.585851, -73.808087)",Queens
PS 172 JHS,Q0259,81-14 257 Street,81-14 257 Street,81-14,257 Street,,A,Glen Oaks,,11004,"(40.741913, -73.712958)",Queens
Hammel Comm Center,Q0260,81-14 Rockaway Beach Boulevard,81-14 Rockaway Beach Boulevard,81-14,Rockaway Beach Boulevard,,A,Far Rockaway,,11693,"(40.587969, -73.807688)",Queens
PS 64,Q0261,82-01 101 Avenue,82-01 101 Avenue,82-01,101 Avenue,,A,Ozone Park,,11416,"(40.681172, -73.856918)",Queens
PS 99,Q0262,82-37 Kew Gardens Road,82-37 Kew Gardens Road,82-37,Kew Gardens Road,,A,Kew Gardens,,11415,"(40.711454, -73.828664)",Queens
Forest Park Coop,Q0264,83-55 Woodhaven Boulevard,98 Street,83-55,Woodhaven Boulevard,,A,Woodhaven,,11421,"(40.700574, -73.854532)",Queens
VFW Post 551,Q0265,84-02 60 Avenue,84-02 60 Avenue,84-02,60 Avenue,,A,Middle Village,,11379,"(40.728552, -73.876376)",Queens
PS 217 JHS,Q0266,85-05 144 Street,85-05 144 Street,85-05,144 Street,,A,Jamaica,,11435,"(40.710104, -73.812515)",Queens
Briarwood Library,Q0269,85-12 Main Street,85-12 Main Street,85-12,Main Street,,A,Jamaica,,11435,"(40.709647, -73.819034)",Queens
PS 117,Q0270,85-15 143 Street,85-15 143 Street/144 Street,85-15,143 Street,,A,Jamaica,,11435,"(40.709449, -73.813372)",Queens
PS 191,Q0271,85-15 258 Street,85-15 258 Street,85-15,258 Street,,A,Floral Park,,11001,"(40.73429, -73.709127)",Queens
PS 89,Q0272,85-28 Britton Avenue,85-28 Britton Avenue,85-28,Britton Avenue,,A,Elmhurst,,11373,"(40.745922, -73.880205)",Queens
PS 97,Q0273,85-52 85 Street,85-52 85 Street,85-52,85 Street,,A,Woodhaven,,11421,"(40.694948, -73.859777)",Queens
Dayton Beach Park 8600,Q0274,86-00 Shore Front Parkway,86-00 Shore Front Parkway,8600,Shore Front Parkway,,A,Far Rockaway,,11693,"(40.584988, -73.810883)",Queens
PS 54,Q0275,86-02 127 Street,86-02 127 Street,86-02,127 Street,,A,Richmond Hill,,11418,"(40.702947, -73.824228)",Queens
PS 56,Q0276,86-10 114 Street,86-10 114 Street,86-10,114 Street,,A,Richmond Hill,,11418,"(40.699275, -73.835342)",Queens
PS 18,Q0277,86-35 235 Court,86-35 235 Court,86-35,235 Court,,A,Queens Village,,11427,"(40.732131, -73.732456)",Queens
PS 90,Q0278,86-50 109 Street,108 st. Between Jamaica & 86 Ave.,86-50,109 Street,,A,Richmond Hill,,11418,"(40.697049, -73.839221)",Queens
Hilltop Village Coop,Q0279,87-15 204 Street,87-15 204 Street,87-15,204 Street,,A,Hollis,,11423,"(40.723011, -73.762848)",Queens
PS 113,Q0280,87-21 79 Avenue,87-21 79 Avenue,78-23,87 Street,,A,Glendale,,11385,"(40.704972, -73.86174)",Queens
PS 82,Q0282,88-02 144 Street,88-02 144 Street,88-02,144 Street,,A,Jamaica,,11435,"(40.704102, -73.811775)",Queens
IS 238,Q0284,88-15 182 Street,88-15 182 Street,88-15,182 Street,,A,Hollis,,11423,"(40.713228, -73.780514)",Queens
PS 148,Q0286,89-02 32 Avenue,89-02 32 Avenue,89-02,32 Avenue,,A,East Elmhurst,,11369,"(40.758374, -73.879103)",Queens
Central Library,Q0288,89-11 Merrick Boulevard,89-11 Merrick Boulevard,89-11,Merrick Boulevard,,A,Jamaica,,11432,"(40.707826, -73.79527)",Queens
PS 63,Q0291,91 Street bet. Sutter & 107 ave,91 Street bet. Sutter & 107 ave,90-15,Sutter Avenue,,A,Ozone Park,,11417,"(40.676399, -73.846863)",Queens
Forest View Crescent,Q0292,90-60 Union Turnpike,90-60 Union Turnpike,90-60,Union Turnpike,,A,Ridgewood,,11385,"(40.706444, -73.855753)",Queens
Christ Congregational Church,Q0293,85-27 91 Street,85-27 91 Street,85-27,91 Street,,A,Jamaica,,11421,"(40.695834, -73.854456)",Queens
PS 60,Q0294,91-02 88 Avenue,91-02 88 Avenue,91-02,88 Avenue,,A,Woodhaven,,11421,"(40.692181, -73.852622)",Queens
PS 33,Q0295,91-37 222 Street,91-37 222 Street,91-37,222 Street,,A,Queens Village,,11428,"(40.727211, -73.735109)",Queens
Peninsula Library,Q0296,92-25 Rockaway Beach Boulevard,92-25 Rockaway Beach Boulevard,92-25,Rockaway Beach Boulevard,,A,Far Rockaway,,11693,"(40.586322, -73.815747)",Queens
PS 144,Q0298,93-02 69 Avenue,93-02 69 Avenue,93-02,69 Avenue,,A,Forest Hills,,11375,"(40.714969, -73.853376)",Queens
PS 139,Q0299,93-06 63 Drive,93-06 63 Drive,93-06,63 Drive,,A,Rego Park,,11374,"(40.728112, -73.863597)",Queens
PS 210 JHS,Q0300,93-11 101 Avenue,93-11 101 Avenue,93-11,101 Avenue,,A,Ozone Park,,11416,"(40.683868, -73.84743)",Queens
PS 149,Q0301,93-11 34 Avenue,93-11 34 Avenue,93-11,34 Avenue,,A,Jackson Heights,,11372,"(40.754842, -73.874565)",Queens
Lefrak City Apartments,Q0303,96-10 57 Avenue,96-10 57 Avenue,96-10,57 Avenue,,A,Corona,,11368,"(40.736927, -73.864791)",Queens
PS 62,Q0304,97-25 108 Street,97-25 108 Street,97-25,108 Street,,A,South Richmond Hill,,11419,"(40.688667, -73.836205)",Queens
PS 146,Q0307,98-01 159 Avenue,98-01 159 Avenue,98-01,159 Avenue,,A,Howard Beach,,11414,"(40.659873, -73.835068)",Queens
PS 127,Q0308,98-01 25 Avenue,98-01 25 Avenue,98-01,25 Avenue,,A,East Elmhurst,,11369,"(40.764646, -73.871641)",Queens
Forest Park Library,Q0309,98-27 Metropolitan Avenue,98-27 Metropolitan Avenue,98-27,Metropolitan Avenue,,A,Forest Hills,,11375,"(40.710913, -73.853662)",Queens
PS 19,Q0310,40-32 99 Street,99 Street & Roosevelt Avenue,40-32,99 Street,,A,Corona,,11368,"(40.748849, -73.866211)",Queens
Far Rockaway HS,Q0313,821 Bay 25 Street,Cornage Ave /Side Ent,821,Bay 25 Street,,A,Far Rockaway,,11691,"(40.601548, -73.762649)",Queens
PS 91,Q0314,68-10 Central Avenue,Side Entrance/69 Street,68-10,Central Avenue,,A,Ridgewood,,11385,"(40.703609, -73.885323)",Queens
PS 114,Q0315,134-09 Cronston Ave,Cronston Avenue/Beach 135 Street,134-09,Cronston Avenue,,A,Rockaway Park,,11694,"(40.578261, -73.854403)",Queens
Queensbridge North Community Center,Q0318,10-25 41 Avenue,10-25 41 Avenue,25-Oct,41 Avenue,,A,Long Island City,,11101,"(40.755438, -73.94523)",Queens
North Queensview,Q0319,33-64 21 Street,33-64 21 Street,33-64,21 Street,,A,Astoria,,11106,"(40.763414, -73.933434)",Queens
Redfern Community Center,Q0321,15-44 Hassock Street,15-44 Hassock Street,15-44,Hassock Street,,A,Far Rockaway,,11691,"(40.608728, -73.753058)",Queens
IS 61,00067,445 Castleton Ave,445 Castleton Ave,445,Castleton Avenue,,A,Staten Island,,10301,"(40.634009, -74.097826)",Staten Island
Staten Island Tech HS,10006,11 Colgate Place,11 Colgate Place,485,Clawson Street,,A,Staten Island,,10306,"(40.567898, -74.115347)",Staten Island
IS 75,10008,455 Huguenot Ave,455 Huguenot Ave,455,Huguenot Ave,,A,Staten Island,,10312,"(40.544013, -74.197701)",Staten Island
PS 37,10010,15 Fairfield Street,15 Fairfield Street,15,Fairfield Street,,A,Staten Island,,10308,"(40.56397, -74.150885)",Staten Island
Curtis HS,10011,105 Hamilton Avenue,105 Hamilton Avenue,105,Hamilton Avenue,,A,Staten Island,,10301,"(40.644735, -74.081222)",Staten Island
New Dorp HS,10012,465 New Dorp Lane,Loading Dock,465,New Dorp Lane,,A,Staten Island,,10306,"(40.569305, -74.107575)",Staten Island
Saint Christophers,10013,136 Midland Avenue,43 Edison Street,136,Midland Avenue,,A,Staten Island,,10306,"(40.579912, -74.106044)",Staten Island
Saint Paul's Meth Ch,10023,7558 Amboy Road,7558 Amboy Road,7558,Amboy Road,,A,Staten Island,,10307,"(40.508898, -74.247383)",Staten Island
IS 2,10027,333 Midland Avenue,333 Midland Avenue,333,Midland Avenue,,A,Staten Island,,10306,"(40.576725, -74.100726)",Staten Island
PS 42,10181,380 Genesee Avenue,47 Augusta Avenue,380,Genesee Avenue,,A,Staten Island,,10312,"(40.552506, -74.169593)",Staten Island
Tennis Club,10182,42 Revere Street,42 Revere Street,42,Revere Street,,A,Staten Island,,10301,"(40.628512, -74.100192)",Staten Island
Elbee Garden Apts,10234,1950 Clove Road,1950 Clove Road,1950,Clove Road,,A,Staten Island,,10304,"(40.605963, -74.086527)",Staten Island
IS 72,10298,33 Ferndale Avenue,33 Ferndale Avenue,33,Ferndale Avenue,,A,Staten Island,,10314,"(40.593004, -74.158988)",Staten Island
IS 49,10299,101 Warrren Street,99 Warren Street,101,Warren Street,,A,Staten Island,,10304,"(40.620396, -74.08161)",Staten Island
Olivet Presby Church,10301,97 Myrtle Avenue,443 Broadway,97,Myrtle Avenue,,A,Staten Island,,10310,"(40.630018, -74.114875)",Staten Island
Cent Family Life Ctr,10341,59 Wright Street,59 Wright Street,59,Wright Street,,A,Staten Island,,10304,"(40.627038, -74.078084)",Staten Island
Gold Star Amer Legin,10398,17 Cannon Avenue,17 Cannon Avenue,17,Cannon Avenue,,A,Staten Island,,10314,"(40.594949, -74.185642)",Staten Island
Holy Rosary Par. Ctr,10417,85 Jerome Avenue,85 Jerome Avenue,85,Jerome Avenue,,A,Staten Island,,10305,"(40.596408, -74.076234)",Staten Island
The Elks,10535,3250 Richmond Avenue,3250 Richmond Avenue,3250,Richmond Avenue,,A,Staten Island,,10312,"(40.559702, -74.170403)",Staten Island
PS 20,10574,161 Park Avenue,161 Park Avenue,161,Park Avenue,,A,Staten Island,,10302,"(40.636597, -74.132919)",Staten Island
PS 56,10596,250 Kramer Avenue,250 Kramer Avenue,250,Kramer Avenue,,A,Staten Island,,10309,"(40.54226, -74.21397)",Staten Island
PS 5,10599,348 Deisius Street,131 Kingdom Avenue,348,Deisius Street,,A,Staten Island,,10312,"(40.530066, -74.187879)",Staten Island
New York Armory,10633,321 Manor Road,321 Manor Road,321,Manor Road,,A,STATEN ISLAND,,10314,"(40.620106, -74.123539)",Staten Island
PS 6,10634,555 Page Avenue,555 Page Avenue,555,Page Avenue,,A,Staten Island,,10307,"(40.510735, -74.231109)",Staten Island
PS 22,10636,39 Monsey Place,39 Monsey Place,1860,Forest Avenue,,A,Staten Island,,10303,"(40.625346, -74.150801)",Staten Island
Canterbury House,10637,1331 Bay Street,1331 Bay Street,1331,Bay Street,,A,Staten Island,,10305,"(40.611028, -74.063861)",Staten Island
Vanderbilt N H,10699,135 Vanderbilt Avenue,135 Vanderbilt Avenue,135,Vanderbilt Avenue,,A,Staten Island,,10304,"(40.62046, -74.076398)",Staten Island
Saint Elizabeth Ann's,10700,91 Tompkins Avenue,91 Tompkins Avenue,91,Tompkins Avenue,,A,Staten Island,,10304,"(40.622545, -74.078529)",Staten Island
Staten Island Care Center,10701,200 Lafayette Avenue,200 Lafayette Avenue,200,Lafayette Avenue,,A,Staten Island,,10301,"(40.64002, -74.094282)",Staten Island
Saint Cosmas & Damian,10702,2099 Forest Avenue,2099 Forest Avenue,2099,Forest Avenue,,A,Staten Island,,10303,"(40.626408, -74.15928)",Staten Island
Silver Lake N H,10703,275 Castleton Avenue,275 Castleton Avenue,275,Castleton Avenue,,A,Staten Island,,10301,"(40.633316, -74.092327)",Staten Island
Carmel Richmond Nursing Home,10704,88 Old Town Road,88 Old Town Road,88,Old Town Road,,A,Staten Island,,10304,"(40.596235, -74.090479)",Staten Island
Clove Lake N.H.,10705,25 Fanning Street,25 Fanning Street,25,Fanning Street,,A,Staten Island,,10314,"(40.608408, -74.123056)",Staten Island
Allied Manor Apts,10706,800 Manor Road,800 Manor Road,800,Manor Road,,A,Staten Island,,10314,"(40.607444, -74.121041)",Staten Island
Eger Health & Rehab,10707,140 Meisner Avenue,140 Meisner Avenue,140,Meisner Avenue,,A,Staten Island,,10306,"(40.579121, -74.132884)",Staten Island
Golden Gate NH,10708,191 Bradley Avenue,191 Bradley Avenue,191,Bradley Avenue,,A,Staten Island,,10314,"(40.60701, -74.131906)",Staten Island
Petrides School,10709,100 Milfrod Drive,100 Milfrod Drive,715,Ocean Terrace,,A,Staten Island,,10301,"(40.607485, -74.101489)",Staten Island
Christian Pentecostal Church,10728,910 Richmond Road,910 Richmond Road,910,Richmond Road,,A,Staten Island,,10304,"(40.60499, -74.092554)",Staten Island
PS 58,10858,77 Marsh Avenue,77 Marsh Avenue,77,Marsh Avenue,,A,Staten Island,,10314,"(40.582092, -74.162522)",Staten Island
PS 57,S0001,140 Palma Drive,140 Palma Drive,140,Palma Drive,,A,Staten Island,,10304,"(40.611507, -74.083177)",Staten Island
PS 48,S0003,1055 Targee Street,1055 Targee Street,1055,Targee Street,,A,Staten Island,,10304,"(40.602229, -74.091355)",Staten Island
PS 54,S0004,1060 Willowbrook Road,55 Uxbridge Street,1060,Willowbrook Road,,A,Staten Island,,10314,"(40.603231, -74.137981)",Staten Island
Concord HS,S0005,50 Steuben Street,50 Steuben Street,109,Rhine Avenue,,A,Staten Island,,10304,"(40.610868, -74.087379)",Staten Island
IS 27,S0006,11 Clove Lakes Place,11 Clove Lakes Place,11,Clove Lakes Place,,A,Staten Island,,10310,"(40.628169, -74.116997)",Staten Island
Cassidy / Lafayette Senior Center,S0009,125 Cassidy Place,125 Cassidy Place,125,Cassidy Place,,A,Staten Island,,10301,"(40.641913, -74.096259)",Staten Island
PS 69,S0011,144 Keating Place,144 Keating Place,144,Keating Place,,A,Staten Island,,10314,"(40.591468, -74.156705)",Staten Island
PS 29,S0014,1581 Victory Boulevard,1581 Victory Boulevard,1581,Victory Boulevard,,A,Staten Island,,10314,"(40.613609, -74.115909)",Staten Island
Cichon Post,S0017,100 Innis Street,100 Innis Street,100,Innis Street,,A,Staten Island,,10302,"(40.634284, -74.144213)",Staten Island
Stapleton Community Center,S0020,189 Gordon Street,189 Gordon Street,189,Gordon Street,,A,Staten Island,,10304,"(40.623168, -74.082828)",Staten Island
PS 13,S0022,201 Hylan Boulevard,201 Hylan Boulevard,191,Vermont Avenue,,A,Staten Island,,10305,"(40.613215, -74.069889)",Staten Island
IS 51,S0023,20 Houston Street,98 Willowbrook Rd,20,Houston Street,,A,Staten Island,,10302,"(40.622595, -74.14497)",Staten Island
PS 36 Annex,S0024,200 Jefferson Boulevard,200 Jefferson Boulevard,200,Jefferson Boulevard,,A,Staten Island,,10312,"(40.544574, -74.181735)",Staten Island
Berry Community Center,S0025,211 Jefferson Street,211 Jefferson Street,211,Jefferson Street,,A,Staten Island,,10306,"(40.586886, -74.10082)",Staten Island
IS 24,S0026,731 Durant Avenue,731 Durant Avenue,225,Cleveland Avenue,,A,Staten Island,,10308,"(40.545251, -74.146295)",Staten Island
PS 36,S0029,255 Ionia Avenue,255 Ionia Avenue,255,Ionia Avenue,,A,Staten Island,,10312,"(40.543083, -74.182299)",Staten Island
Todt Hill Community Center,S0030,255 Westwood Avenue,255 Westwood Avenue,255,Westwood Avenue,,A,Staten Island,,10314,"(40.606569, -74.118728)",Staten Island
Elizabeth Connelly Campus,S0031,280 Regis Drive,280 Regis Drive,280,Regis Drive,,A,Staten Island,,10314,"(40.620676, -74.164273)",Staten Island
PS 23,S0032,90 Maplewood Avenue,90 Maplewood Avenue,30,Natick Street,,A,Staten Island,,10306,"(40.571187, -74.132634)",Staten Island
PS 32,S0034,32 Elverton Avenue,32 Elverton Avenue,32,Elverton Avenue,,A,Staten Island,,10308,"(40.557876, -74.155356)",Staten Island
PS 53,S0035,330 Durant Avenue,330 Durant Avenue,330,Durant Avenue,,A,Staten Island,,10308,"(40.55258, -74.13706)",Staten Island
PS 38,S0040,421 Lincoln Avenue,421 Lincoln Avenue,421,Lincoln Avenue,,A,Staten Island,,10306,"(40.575665, -74.101624)",Staten Island
PS 52,S0043,450 Buel Avenue,440 Buel Avenue,450,Buel Avenue,,A,Staten Island,,10305,"(40.582801, -74.088624)",Staten Island
Susan Wagner H S,S0045,50 Brielle Avenue,50 Brielle Avenue,50,Brielle Avenue,,A,Staten Island,,10314,"(40.59832, -74.124647)",Staten Island
Walker Park Club,S0046,50 Delafield Place,50 Delafield Place,50,Delafield Place,,A,Staten Island,,10310,"(40.643979, -74.109119)",Staten Island
PS 11,S0047,50 Jefferson Street,79 Garretson Avenue,50,Jefferson Street,,A,Staten Island,,10304,"(40.590553, -74.097708)",Staten Island
PS 55,S0048,54 Osborne Street,54 Osborne Street,54,Osborne Street,,A,Staten Island,,10312,"(40.536638, -74.163815)",Staten Island
PS 31,S0050,55 Layton Avenue,55 Layton Avenue,55,Layton Avenue,,A,Staten Island,,10301,"(40.6416, -74.085049)",Staten Island
PS 35,S0052,60 Foote Avenue,1 Martha Avenue,60,Foote Avenue,,A,Staten Island,,10301,"(40.61372, -74.099626)",Staten Island
New Lane Senior Center,S0054,70 New Lane,70 New Lane,70,New Lane,,A,Staten Island,,10305,"(40.612806, -74.062249)",Staten Island
Staten Island Academy,S0055,715 Todt Hill Road,715 Todt Hill Road,715,Todt Hill Road,,A,Staten Island,,10304,"(40.594925, -74.110198)",Staten Island
PS 19,S0056,780 Post Avenue,780 Post Avenue,780,Post Avenue,,A,Staten Island,,10310,"(40.631255, -74.126874)",Staten Island
