Agency,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DOT,Non-East River bridge projects (structural work) substantially completed on schedule (%),92%,85%,80%,81%,89%,100%,67%,100%,100%,91%
DOT,On-street parking meters that are operable (%),90.60%,91.50%,91.30%,90.90%,90.90%,89.90%,88.70%,82.90%,92.90%,97.90%
DOT,Overall traffic crashes,,,"172,362","170,599","175,804","182,805","177,996","183,278","179,112","176,482"
DOT,Pedestrian volume index,,,,,100,105.5,99.9,103.4,113.2,
DOT,Percent of all NYC highways that receive a cleanliness rating of good,,,,,95.70%,98.30%,98.30%,98.10%,97.60%,99.10%
DOT,Percent of all crossing points with pedestrian ramps installed,,,,,71%,72%,85%,86%,91%,
DOT,Percent of existing bus shelters converted,,,,,,45.50%,59.80%,72.70%,89.50%,97.80%
DOT,Percent of existing newstands converted,,,,,,30.40%,47.00%,55.10%,77.70%,86.40%
DOT,Percent of metered spaces that have muni-meters (multi-space meters),,,,21.20%,25.50%,29.90%,36.60%,40.90%,42.30%,63.70%
DOT,Post-audit inspections for completed street work,,,,,,"220,272","223,352","228,440","240,634","274,714"
DOT,Post-audit inspections for completed street work that passed inspection (%),,,,,,86%,83%,80%,80%,81%
DOT,Pothole work orders,"35,812","54,011","51,460","45,228","47,934","48,433","49,906","59,254","56,399","61,249"
DOT,Potholes repaired (local streets only),"124,426","190,626","216,107","179,728","205,227","210,032","224,648","295,297","305,001","200,666"
DOT,Private ferry service - Number of routes,,,26,24,21,19,20,21,20,21
DOT,Private ferry service - Total ridership,,,,,,"9,443,764","8,655,337","7,939,090","8,326,237","9,020,494"
DOT,Speed humps installed near schools,,43,43,68,96,32,27,98,92,78
DOT,Staten Island Ferry: average cost per passenger ($),,,,,$4.62 ,$5.69 ,$5.38 ,$5.32 ,$5.16 ,$4.86 
DOT,Staten Island Ferry: trips that are on-time (%),98.10%,93.50%,88.70%,89.50%,91.70%,91.00%,91.10%,90.60%,90.90%,88.90%
DOT,Staten Island ferry ridership,,,,,"18,952,803","19,756,963","20,118,000","21,464,000","21,404,000","22,178,000"
DOT,Streets maintained with a pavement rating of Fair (%),20.00%,25.60%,26.80%,30.00%,29.60%,33.40%,28.80%,28.90%,28.10%,26.20%
DOT,Streets maintained with a pavement rating of Good (%),79.80%,74.30%,73.00%,69.90%,70.30%,66.40%,70.90%,70.80%,71.40%,73.40%
DOT,Streets maintained with a pavement rating of Poor (%),0.20%,0.10%,0.20%,0.10%,0.10%,0.20%,0.30%,0.40%,0.50%,0.40%
DOT,Summonses issued,"17,305","22,799","22,009","22,659","26,106","33,403","26,648","25,622","27,511","30,438"
DOT,Traffic fatalities (bicyclist/pedestrians),194,195,162,180,174,177,178,162,158,176
DOT,Traffic fatalities (motorist/passengers),172,142,138,127,136,123,98,97,78,115
DPR,"Acceptable by feature small parks, large parks & Greenstreets (%) - Play equipment",91%,95%,90%,88%,84%,89%,88%,91%,91%,92%
DPR,"Acceptable by feature small parks, large parks & Greenstreets (%) - Safety surface",95%,92%,89%,92%,92%,94%,93%,94%,92%,92%
DPR,Annual pruning goal completed (%),,120%,122%,125%,112%,152%,123%,149%,114%,109%
DPR,Attendance at historic house museums,"564,843","597,016","596,768","659,345","748,689","763,337","741,449","795,916","797,259","834,208"
DPR,Average hours recreation centers open per week,,,,76.9,76.1,76.3,76.4,77.4,76.3,75.4
DPR,Capital projects completed,120,118,130,123,129,131,140,150,165,132
DPR,Capital projects completed on time or early (%),44%,57%,,,,53%,67%,61%,56%,49%
DPR,Capital projects completed within budget (%),80%,79%,90%,93%,93%,89%,86%,89%,85%,80%
DPR,Citywide acceptability rating for the cleanliness of large parks (%),84%,86%,85%,89%,83%,78%,77%,76%,75%,77%
DPR,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),91%,88%,92%,93%,91%,93%,90%,88%,88%,87%
DPR,"Citywide acceptability rating for the cleanliness of small parks and playgrounds, large parks & Greenstreets (%)",91%,90%,92%,93%,91%,91%,90%,88%,88%,88%
DPR,"Citywide acceptability rating for the overall condition of small parks and playgrounds, large parks & Greenstreets (%)",87%,87%,87%,88%,84%,86%,82%,83%,84%,82%
DPR,Comfort stations in service (in season only) (%),74%,83%,84%,92%,91%,93%,90%,94%,92%,93%
DPR,Drinking fountains in service (in season only) (%),91%,91%,89%,90%,92%,92%,94%,94%,93%,93%
DPR,Greenways added (lane miles),2.2,6.8,4.4,2.4,6.4,1,6.4,2.6,0.7,2
DPR,Lifeguards (calendar year),995,975,"1,008","1,060","1,090","1,152","1,285","1,369","1,407","1,461"
DPR,Million Trees New York - Trees planted - Other,,,,,,"37,433","26,943","22,526","13,477","16,534"
DPR,Million Trees New York - Trees planted - Parks,,,,,,"84,419","120,993","107,751","100,604","81,597"
DPR,Monuments receiving annual maintenance (%),20%,20%,39%,54%,57%,61%,71%,69%,67%,75%
DPR,Parks with an affiliated volunteer group (%),42%,51%,53%,56%,57%,57%,58%,58%,60%,63%
DPR,Percent of pruning completed within established cycle - Block program,,10%,10%,10%,11%,15%,16%,6%,6%,6%
DPR,Public service requests received - Total (Forestry),"40,239","48,267","67,945","75,970","71,187","78,569","75,509","95,547","85,257","77,072"
DPR,Public service requests received through 311 that relate to quality of life,,,,"2,266","2,839","3,144","2,762","2,818","2,502","2,854"
DPR,Recreation center members who are adults,,"55,394","69,353","69,051","42,747","65,947","79,303","78,325","79,357","44,877"
DPR,Recreation center members who are seniors,,"11,104","14,882","17,041","18,802","28,537","31,116","32,536","36,153","18,055"
DPR,Recreation center members who are youths and children,,"25,125","29,398","33,943","35,313","53,684","58,882","63,083","62,391","62,402"
DPR,"Recreation centers rated ""acceptable"" for cleanliness (%)",,,,,,,,96%,94%,100%
DPR,"Recreation centers rated ""acceptable"" for overall condition (%)",,,,,,,,88%,87%,87%
DPR,Spray showers in service (in season only) (%),98%,88%,86%,88%,96%,95%,95%,94%,91%,97%
DPR,Street trees removed in response to a service request,"7,040","7,648","7,603","8,084","7,857","8,095","7,261","8,161","8,935","8,688"
DPR,Street trees removed within 30 days of service request (%),94%,96%,93%,99%,96%,98%,98%,99%,93%,94%
DPR,Summons issued (PEP) (Grand Total),"29,059","24,806","31,455","26,108","28,714","21,149","22,145","17,264","17,071","15,795"
DPR,Swimming pools - Attendance at outdoor Olympic and intermediate pools (calendar year),"1,104,565","1,162,956","1,390,366","1,421,804","1,294,789","1,495,628","1,826,326","1,727,436","1,728,318","1,725,257"
DPR,Total major felonies in 20 largest parks - Crimes against persons *,,,,,,82,76,76,78,62
DPR,Total major felonies in 20 largest parks - Crimes against property,,,,,,100,121,108,103,120
DPR,Total recreation center attendance,"2,773,794","2,996,461","3,001,688","2,933,937","2,623,605","2,779,447","3,193,646","3,271,198","3,163,028","3,098,257"
DPR,Total recreation center membership,"94,716","91,623","113,633","120,035","96,862","148,168","169,301","173,944","177,901","125,334"
DPR,Total trees removed (street and parks),"10,496","11,412","10,624","12,345","12,271","12,833","11,378","13,216","14,117","16,248"
DPR,Trees pruned  block program,"33,615","33,550","35,481","36,368","32,590","75,810","79,658","29,782","30,776","29,497"
DSNY,Annual tons disposed (000),"3,799.20","3,772.20","3,588.50","3,559.30","3,491.40","3,441.30","3,306.70","3,308.40","3,261.20","3,269.50"
DSNY,Annual tons recycled (000),"1,829","2,081","2,103","1,691","1,697","1,922","1,683","1,202","1,231",
DSNY,Curbside and containerized recycling diversion rate (%),11.50%,13.50%,16.80%,16.40%,16.50%,16.50%,16.20%,15.70%,15.40%,15.10%
DSNY,Dirty/marginal sanitation sections (out of 232),30,1,0,0,0,0,0,0,0,0
DSNY,Disposal cost per ton,$95 ,$97 ,$109 ,$114 ,$129 ,$146 ,$148 ,$151 ,$152 ,
DSNY,Dual-bin collection truck outage rate,,,,,17.60%,19.50%,17.40%,18.30%,19.20%,20.50%
DSNY,EZ Pack front-loading collection truck outage rate,22.60%,17.90%,14.70%,19.70%,20.70%,23.50%,24.40%,21.20%,19.20%,21.70%
DSNY,Lots cleaned citywide,"4,707","5,721","5,436","6,449","6,188","6,366","4,608","4,519","4,233","4,544"
DSNY,Marine transfer station construction commencements,,,,,,,0,2,0,0
DSNY,Missed recycling collections (%),1.60%,0.40%,0.50%,0.00%,0.10%,0.00%,0.00%,0.00%,1.30%,0.00%
DSNY,Missed refuse collections (%),1.40%,2.00%,2.20%,0.10%,0.10%,0.00%,0.10%,0.30%,1.80%,0.10%
DSNY,Number of CFC recoveries,"99,613","136,179","133,050","130,863","83,654","49,043","34,327","30,482","23,008","17,270"
DSNY,Number of districts with a curbside and containerized recycling diversion rate greater than 25.0%,0,1,8,6,2,6,6,5,3,2
DSNY,Number of districts with a curbside and containerized recycling diversion rate less than 5%,1,0,0,0,2,1,1,1,1,1
DSNY,Number of districts with a curbside residential recycling diversion rate between 5.0% and 9.9%,21,17,7,9,8,10,10,11,12,10
DSNY,Paper recycling revenue per ton,$7 ,$10 ,$16 ,$10 ,$14 ,$27 ,$20 ,$10 ,$12 ,$25 
DSNY,Percent of total trucks dumped on shift,,,,39.60%,51.30%,51.70%,52.10%,50.40%,45.90%,48.10%
DSNY,Private transfer station inspections performed,"6,668","5,766","6,085","5,503","5,507","4,782","5,810","6,303","5,168","4,967"
DSNY,Private transfer station permits,69,69,63,62,58,59,60,59,59,60
DSNY,Rear-loading collection truck outage rate,12.20%,12.10%,12.20%,14.00%,14.30%,15.60%,16.30%,17.60%,16.30%,15.60%
DSNY,Recycled tons per day (total),"5,863","6,543","6,742","5,419","5,438","6,160","5,394","3,779","3,944",
DSNY,Recycling collection cost per ton,$380 ,$315 ,$325 ,$343 ,$400 ,$469 ,$516 ,$548 ,$615 ,
DSNY,Recycling cost per ton (fully loaded),$381 ,$321 ,$343 ,$362 ,$420 ,$490 ,$540 ,$575 ,$642 ,
DSNY,Recycling tons per truckshift,4.8,6,6.1,6,5.8,5.9,5.6,5.5,5.2,5.1
DSNY,Refuse collection cost per ton,$147 ,$154 ,$154 ,$163 ,$179 ,$208 ,$228 ,$241 ,$261 ,
DSNY,Refuse cost per ton (fully loaded),$242 ,$251 ,$263 ,$277 ,$308 ,$354 ,$376 ,$392 ,$413 ,
DSNY,Refuse tons per truckshift,10.9,10.8,10.7,10.6,10.4,10.2,9.9,10.1,10,10
DSNY,Salt Used (tons),"390,441","352,192","322,770","220,874","244,606","162,185","295,572","270,010","353,769","59,274"
DSNY,Snow Overtime ($000),"$21,694 ","$15,927 ","$22,153 ","$19,007 ","$21,140 ","$6,124 ","$16,874 ","$36,717 ","$62,354 ","$7,185 "
DSNY,Snowfall (inches),55.5,38.5,42.8,40.2,12.8,13.8,25.8,52.5,61.5,6.8
DSNY,Streets rated acceptably clean (%),85.40%,89.80%,91.50%,93.10%,94.30%,95.70%,95.80%,95.30%,94.50%,95.50%
DSNY,Tons per day disposed,"12,580","12,450","11,882","11,786","11,561","11,433","10,986","10,991","10,835","10,826"
DSNY,Total recycling diversion rate (%),31.80%,34.50%,36.20%,31.50%,32.00%,35.00%,32.90%,25.60%,26.60%,
DSNY,Total recycling summonses issued,"98,069","103,917","119,707","141,511","149,267","153,432","159,927","122,010","65,578","75,216"
DSNY,Vacant lot cleaning requests,,,,,,,,,,
DYCD,"Adult Basic Education and ESOL participants meeting federal standards of improvement in demonstrating an increased ability to read, write, and speak English (%)",41%,43%,45%,47%,54%,46%,49%,53%,55%,56%
DYCD,Agency assessments completed as a percent of total agency contracts (%),,,,,87%,90%,98%,90%,90%,90%
DYCD,Beacon programs' enrollment as a percentage of the minimum annual target (%),115%,128%,122%,120%,125%,103%,107%,119%,108%,117%
DYCD,Calls to Youth Connect,"14,030","25,444","32,105","37,783","42,335","47,688","48,469","46,685","41,621","34,609"
DYCD,Citizenship applications filed with the United States Citizenship and Immigration Services (USCIS),"8,384","5,174","3,148","3,987","6,056",667,798,751,862,245
DYCD,Community Development program participants achieving target outcomes designated for clients in each program area (%),38%,36%,35%,51%,63%,65%,65%,66%,52%,59%
DYCD,Contracts terminated,0,,,,,36,12,2,2,2
DYCD,Fiscal audits conducted,,,,139,174,545,344,347,345,340
DYCD,In-school youth attaining a degree or certificate by the end of the 3rd quarter after exiting the program (%),,,,,,71%,66%,65%,72%,75%
DYCD,"In-school youth placed in post-secondary education, employment, or advanced training during the 1st quarter after exiting the program (%)",,,,,,72%,72%,73%,77%,78%
DYCD,Number of participants served in Adult Basic Education (ABE) and English for Speakers of Other Languages (ESOL) literacy programs,,"12,638","11,773","11,939","5,507","6,269","9,626","9,812","7,350","4,647"
DYCD,OST program participation rate - elementary (school-year) (%),,,,,81%,78%,82%,86%,86%,87%
DYCD,Out-of School Time programs meeting target enrollment (school year) (%),,,,,90%,86%,93%,98%,97%,98%
DYCD,Out-of School Time programs meeting target enrollment (summer) (%),,,,,86%,95%,94%,97%,99%,97%
DYCD,Out-of-School Time (OST) enrollment (school-year),,,,"58,586","78,364","87,256","85,513","73,186","68,680","63,000"
DYCD,Out-of-School Time programs meeting target enrollment - elementary (school-year) (%),,,,85%,99%,89%,99%,100%,99%,100%
DYCD,Out-of-School Time programs meeting target enrollment - high school (school year) (%),,,,50%,75%,77%,81%,85%,81%,87%
DYCD,Out-of-School Time programs meeting target enrollment - middle school (school year) (%),,,,71%,94%,89%,91%,98%,96%,95%
DYCD,Out-of-school youth attaining a degree or certificate by the end of the 3rd quarter after exiting the program (%),,,,,,55%,58%,63%,61%,68%
DYCD,"Out-of-school youth placed in post-secondary education, employment, or advanced training during the 1st quarter after exiting the program (%)",,,,,,72%,69%,68%,67%,68%
DYCD,Percent of participants achieving positive outcomes in immigration initiatives (%),,35%,30%,41%,43%,45%,50%,59%,60%,51%
DYCD,Runaway and homeless youth served - crisis beds,"3,188","1,865","1,707","1,470","2,421","1,824","1,713","1,489","1,686","1,346"
DYCD,Runaway and homeless youth served - transitional independent living beds,210,269,306,299,218,244,275,294,248,341
DYCD,Summer Youth Employment Program (SYEP) participants,,"38,842","33,739","41,608","41,650","41,804","43,113","52,255","35,725","30,628"
DYCD,Utilization rate for crisis beds (%),100%,99%,92%,100%,100%,100%,100%,98%,82%,98%
DYCD,Utilization rate for transitional independent living (TIL) beds (%),,,,,83%,86%,82%,80%,73%,86%
DYCD,Youth reunited with family or placed in a suitable environment from Transitional Independent Living (TIL) centers (%),,,,,91%,89%,90%,86%,87%,93%
DYCD,Youth reunited with family or placed in a suitable environment from crisis shelters (%),,,,,65%,75%,72%,81%,79%,80%
EDC,Build NYC Resource projects - Contracts closed,,,,,,,,,,4
EDC,Capital expenditures ($000) (excludes asset mgmt and funding agreements),,,,,,,,,,
EDC,Graffiti sites cleaned,,,,,,,,,,"13,367"
EDC,Innovation index score (calendar year),,,,,,,,,,
EDC,NYC Industrial Development Agency projects - Contracts closed,,51,59,43,56,43,10,7,7,12
EDC,New York City unemployment rate (%),8.30%,7.90%,6.20%,5.50%,4.80%,4.90%,7.20%,10.10%,8.90%,9.40%
EDC,New private investment related to sale/long-term lease of City-owned property ($ millions),$108.20 ,$165.60 ,$554.80 ,$718.00 ,"$2,495.50 ","$1,033.30 ",$324.20 ,$98.00 ,$63.00 ,$918.30 
EDC,Number of active Center for Economic Transformation projects managed,,,,,,,,,,
EDC,Occupancy rate of NYCEDC-managed property,,,90.10%,90.30%,93.30%,93.60%,91.80%,91.70%,91.70%,95.00%
EDC,Outstanding violations at beginning of the period,,,,,,,,,,
EDC,Outstanding violations closed during the period,,,,,,,,,,
EDC,Portfolio revenue generated ($000),,,,,,,,,,
EDC,Private investment leveraged on closed Build NYC Resource projects ($000),,,,,,,,,,
EDC,Private investment leveraged on closed IDA projects ($000),,,,,,,,,,
EDC,Projected three-year job growth associated with closed Build NYC Resource projects,,,,,,,,,,
EDC,Projected three-year job growth associated with closed NYC Industrial Development Agency projects,,,,,,,,,,
EDC,Square feet of graffiti removed (000),,,,,,,,,,"4,241.60"
EDC,Square footage of assets actively managed by NYCEDC,,,,,,,,,,
EDC,Total City tax revenues generated in connection with closed Build NYC Resource contracts ($ millions),,,,,,,,,,$75.70 
EDC,Total City tax revenues generated in connection with closed NYC Industrial Development Agency contracts ($ millions),,"$1,377.80 ","$5,931.20 ",$799.30 ,"$2,207.00 ",$402.50 ,$64.70 ,$30.50 ,$230.50 ,$304.90 
EDC,Total capital expenditures on asset management ($000),,,,,,,,,,
EDC,Total value of City funding agreements between NYCEDC and third-party entities ($ millions),,,,$53.60 ,$147.50 ,$315.30 ,$225.60 ,$246.40 ,$71.10 ,$104.80 
EDC,Visitors to New York City (millions) (calendar year),35.3,37.8,39.9,43.8,44,46,47.1,45.6,48.7,50.9
FDNY,Ambulance accidents,672,647,633,766,733,682,693,633,690,699
FDNY,Apparatus accidents (fire unit),449,552,452,510,639,557,538,521,543,439
FDNY,Average ambulance tours per day (total 911 system),892,917,929,931,920,926,933,945,956,989
FDNY,Average annual cost of a ladder company ($ millions),$4.40 ,$4.60 ,$4.80 ,$4.70 ,$5.90 ,$6.20 ,$6.90 ,$7.70 ,$8.00 ,$8.40 
FDNY,Average annual cost of an engine company ($ millions),$3.80 ,$3.90 ,$4.00 ,$4.00 ,$5.00 ,$5.30 ,$5.90 ,$6.60 ,$6.60 ,$6.70 
FDNY,Average cost of ambulance tour per day ($),"$1,243 ","$1,269 ","$1,280 ","$1,238 ","$1,453 ","$1,457 ","$1,608 ","$1,733 ","$1,731 ","$1,799 "
FDNY,Average response time to life-threatening medical emergencies by ambulance units (minutes:seconds) *,6:55,7:01,6:47,6:42,6:36,6:39,6:40,6:41,7:00,6:25
FDNY,Average response time to life-threatening medical emergencies by fire units (minutes:seconds),4:23,4:28,4:48,4:30,4:24,4:19,4:14,4:17,4:20,4:11
FDNY,Average response time to structural fires & medical emergencies,4:22,4:26,4:46,4:31,4:24,4:20,4:13,4:15,4:18,4:09
FDNY,Average response time to structural fires (minutes:seconds)*,4:16,4:18,4:31,4:32,4:29,4:22,4:05,3:59,4:03,4:01
FDNY,Cardiac arrest patients revived (%) (as percentage of all cardiac arrest incidents),,,,,,,,,,
FDNY,"Civilian fire fatalities per 100,000 people",1.4,1.3,1.2,1.2,1.2,1.1,1,0.8,0.9,0.9
FDNY,Civilian fire fatalities*,109,106,92,94,92,85,78,67,69,70
FDNY,Combined response time to life-threatening medical emergencies by ambulance & fire units (minutes:seconds),5:56,6:01,5:58,5:48,5:43,5:46,5:45,5:47,6:05,5:32
FDNY,Completed inspections performed by fire prevention staff,"183,403","177,219","180,651","186,551","180,508","162,474","167,844","164,395","173,695","189,768"
FDNY,Field Force Inspections - Commercial Bldgs,"18,297","23,667","23,086","19,850","20,631","24,568","26,599","23,335","22,175","21,157"
FDNY,Field Force Inspections - Residential Bldgs,"28,587","42,797","45,509","29,259","27,909","31,815","35,133","34,384","27,701","28,467"
FDNY,Field Force Inspections - Total,"46,884","66,464","68,595","49,109","48,540","56,383","61,732","57,719","49,876","49,624"
FDNY,Fire safety education presentations,"1,834","1,565","2,815","4,027","8,121","8,586","8,055","5,952","8,007","8,776"
FDNY,Firefighter burns (in quarters),,,,,,,,,30,12
FDNY,Firefighter burns (sustained outside quarters),,,,,,,,,272,186
FDNY,Firefighter burns (total),396,365,412,387,428,354,252,240,302,198
FDNY,Firefighter injuries,"13,043","10,670","11,308","11,259","11,516","10,332","10,607","10,914","11,210","10,738"
FDNY,Hazard Complaints Resolved within 1 Day (%),77%,77%,67%,61%,70%,70%,68%,70%,61%,57%
FDNY,Investigations,"6,292","6,205","6,109","6,190","5,971","5,940","6,118","6,339","6,525","6,411"
FDNY,Nonstructural Fires,"24,827","24,416","21,519","22,214","20,289","17,670","17,784","17,189","17,462","14,580"
FDNY,Response in less than 10 minutes to life-threatening medical emergencies requiring an Advanced Life Support response (%),,,,,,88.40%,88.00%,88.20%,87.70%,90.20%
FDNY,"Serious fires per 1,000 structural fires",113,120,116,118,114,108,97,92,105,106
FDNY,Structural fires,"26,431","27,805","27,610","28,372","28,231","27,208","26,503","26,595","26,432","25,254"
FDNY,"Structural fires per 100,000 people",,,,,,,,,,
FDNY,Summonses Issued,"5,520","6,088","13,582","7,281","4,123","2,973","2,214","1,535","2,153","1,245"
FDNY,Total emergency medical incidents,"1,088,378","1,118,115","1,129,842","1,152,110","1,179,075","1,205,739","1,224,743","1,236,819","1,263,345","1,277,985"
FDNY,Violation Orders Corrected,"24,853","24,532","28,306","26,829","29,645","6,631","6,723","3,117","18,314","30,781"
FDNY,Violation Orders Issued,"24,849","31,694","33,493","28,536","27,944","14,579","17,878","17,831","19,181","38,482"
HHC,Average time spent by patient for a primary care visit at hospitals and diagnostic and treatment centers (minutes) - Adult medicine,,79,60,67,68,66,60,59,61,75
HHC,Average time spent by patient for a primary care visit at hospitals and diagnostic and treatment centers (minutes) - Pediatric medicine,,81,63,62,63,59,61,58,60,59
HHC,Average time spent by patient for a primary care visit at hospitals and diagnostic and treatment centers (minutes) - Women's health,,77,65,61,63,59,60,61,61,75
HHC,Emergency room revisits for adult asthma patients (%),7.10%,7.20%,6.90%,6.50%,6.80%,5.20%,4.70%,5.10%,5.10%,5.40%
HHC,Emergency room revisits for pediatric asthma patients (%),3.90%,4.30%,3.50%,3.00%,4.20%,3.10%,3.30%,3.20%,2.70%,3.70%
HHC,General Care average length of stay (days),5.1,4.9,4.8,4.7,4.7,4.7,4.6,4.6,4.6,4.7
HHC,"MetroPlus Medicaid, Child Health Plus and Family Health Plus enrollees","170,500","208,700","230,200","237,100","257,600","323,746","355,172","383,797","401,967","420,459"
HHC,Net days of revenue for Accounts Receivable,68.5,68.3,64.4,61.2,59.3,59.2,56.3,55.5,52.3,56.4
HHC,Percent of HIV patients using dedicated HIV clinics,98.00%,97.80%,98.70%,99.10%,98.90%,99.00%,99.30%,99.20%,99.20%,99.30%
HHC,Percent of adult patients discharged with a principal psychiatry diagnosis who are readmitted within 15 days,3.90%,4.20%,4.60%,4.30%,5.00%,4.60%,5.20%,5.10%,4.80%,4.60%
HHC,Percent of eligible women aged 40-70 receiving a mammogram screening from HHC,,,,,70.00%,70.90%,71.00%,72.80%,72.00%,73.00%
HHC,Percent of two-year olds immunized,99.30%,99.30%,99.00%,96.00%,97.00%,97.00%,97.00%,96.50%,97.00%,
HHC,Percentage of prenatal patients retained in care through delivery,83.10%,86.90%,89.00%,88.00%,87.20%,89.00%,89.20%,86.50%,86.40%,85.80%
HHC,"Total Medicaid Managed Care, Child Health Plus and Family Health Plus enrollees","282,800","343,700","372,700","377,600","390,757","373,284","436,526","474,118","498,324","521,434"
HHC,Uninsured patients served,"469,000","453,900","427,800","396,200","413,294","413,294","448,705","452,576","477,957",
HPD,# of active Housing Maintenance Code cases (end-of-month),,,"5,864","6,122","6,210","6,657","7,501","6,195","4,909","3,922"
HPD,% of apartments testing positive for lead,,,,,36.00%,34.00%,35.00%,26.70%,24.80%,22.20%
HPD,% of reinspected violations found falsely certified,,,,,29.00%,30.00%,28.00%,26.50%,25.80%,23.30%
HPD,Alternative Enforcement Program - Number of active buildings (Round 1 - X),,,,,,,,,,
HPD,Alternative Enforcement Program - Number of buildings discharged,,,,,,,,,,
HPD,Asset management - # of financial reviews completed,,,,,121,498,378,534,486,258
HPD,Asset management - # of physical inspections of buildings completed,,,,,141,294,150,377,476,474
HPD,Average cost of emergency (non-lead) repair work performed by HPD ($),$613 ,$766 ,$643 ,$764 ,$577 ,$734 ,$731 ,$635 ,$562 ,$465 
HPD,Average cost of lead repair work performed by HPD ($),"$1,752 ","$1,369 ","$1,934 ","$1,575 ","$2,111 ","$2,431 ","$2,273 ","$2,338 ","$2,623 ","$2,302 "
HPD,Average cost of repair work performed by HPD ($),$681 ,$809 ,$886 ,$966 ,$813 ,$901 ,$862 ,$737 ,$657 ,$537 
HPD,Average time to close emergency complaints (days),,,,,14.7,16.4,12.1,12,12.3,10.3
HPD,Average time to close heat and hot water complaints (days),,,,,5.2,6.4,5.5,5.3,4.9,4.2
HPD,Average time to close lead complaints (days),,,,,11,11.5,9.5,9.6,11.4,10.6
HPD,Average time to close non-emergency complaints (days),,,,,34.7,39.9,30,19.1,16.8,41.7
HPD,Average time to close other emergency complaints (days),,,,,20.1,21.8,15.8,15.3,15.4,12.7
HPD,Emergency violations corrected by HPD (%),17%,14%,19%,17%,16%,16%,15%,15%,14%,15%
HPD,Emergency violations corrected by owner (%),49%,49%,38%,46%,47%,47%,52%,55%,56%,57%
HPD,Heat and hot water complaints closed,,,,,"123,084","111,542","128,779","114,100","115,583","99,430"
HPD,Heat and hot water complaints reported,"104,873","118,484","124,645","124,297","123,168","111,642","128,708","114,009","115,629","99,409"
HPD,Heat and hot water violations issued,"14,448","14,517","12,873","11,291","9,824","12,374","15,727","12,436","12,945","10,869"
HPD,Housing Maintenance Code compliance cases closed,,"13,786","12,568","13,144","13,628","14,275","14,495","15,226","14,846","14,109"
HPD,Housing Maintenance Code compliance cases opened,"13,896","13,034","12,673","13,127","13,802","14,409","15,271","14,233","13,687","13,251"
HPD,Inspection visits per team per day,9.3,8.9,9.2,10.5,9.6,10,11.6,11,11.3,11.8
HPD,Inspections completed,"490,737","521,086","576,042","599,681","606,095","621,503","707,516","689,872","678,038","697,736"
HPD,Lead complaints closed,,,,,"46,484","42,700","40,158","40,363","38,047","39,862"
HPD,Lead complaints reported,"10,205","12,782","41,776","47,720","46,033","43,021","40,114","40,109","38,749","39,340"
HPD,Lead violations issued,"10,550","10,581","35,729","44,859","33,605","29,510","31,285","26,022","21,973","20,496"
HPD,New construction starts (part of total starts),,"5,168","6,964","6,354","5,225","6,826","4,123","3,144","3,873","2,521"
HPD,Nonemergency complaints closed,,,,,"220,929","234,292","207,913","206,010","204,049","209,422"
HPD,Nonemergency complaints reported,"102,185","131,612","167,720","223,049","219,581","200,941","204,307","207,054","204,217","200,969"
HPD,Nonemergency violations issued,"244,649","240,919","398,632","478,100","430,374","394,581","428,127","398,220","374,379","375,979"
HPD,Number of projects in asset management workload,,,,,,,,"1,861","1,861","1,861"
HPD,Other emergency complaints closed,,,,,"243,636","244,544","250,378","253,373","254,749","250,660"
HPD,Other emergency complaints reported,"153,718","206,433","248,426","232,862","243,282","241,597","250,449","255,236","253,394","249,527"
HPD,Other emergency violations issued,"44,620","45,509","35,440","47,788","47,744","47,113","57,358","59,048","53,424","61,300"
HPD,Outstanding emergency complaints at end of month,,,,"13,093","12,376","10,717","10,673","12,210","11,603","10,089"
HPD,Outstanding nonemergency complaints at end of month,,,,"47,761","46,416","16,930","13,324","14,365","14,533","6,229"
HPD,Planned starts initiated (%),,100%,116%,115%,108%,100%,97%,102%,109%,114%
HPD,Planned units completed (%),,92%,166%,103%,113%,99%,82%,100%,91%,118%
HPD,Preservation starts (part of total starts),,"5,033","11,288","10,905","12,970","9,953","8,108","11,337","11,680","14,298"
HPD,Ratio of completed inspections to attempted inspections (%),87%,84%,75%,74%,72%,75%,74%,72%,71%,71%
HPD,Section 8 utilization rate,,,,,,93.00%,94.90%,97.30%,96.80%,97.10%
HPD,Section 8 voucher activity - # of households assisted (Total),,"25,460","27,731","29,140","28,503","28,765","31,643","33,453","36,259","37,116"
HPD,Section 8 voucher activity - # of vouchers issued,"4,505","1,750","6,359","2,981","2,304","4,297","4,818","1,456","1,821","2,786"
HPD,Total NHMP completions (units) - New construction completions,,"2,440","3,611","3,561","5,005","5,657","5,122","5,281","7,738","4,482"
HPD,Total NHMP completions (units) - Preservation completions,,"5,556","11,632","9,760","10,791","7,036","8,473","11,665","6,176","8,587"
HPD,Total complaints reported,"370,981","469,311","582,567","627,928","632,064","597,201","623,578","616,408","611,989","589,245"
HPD,Total completions financed or assisted under the New Housing Marketplace Plan (units),,"7,996","15,243","13,321","15,796","12,693","13,595","16,946","13,914","13,069"
