BOROUGH,GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN BOROUGH / GRADE / PROGRAM / SUBJECT
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,24,67,1608,3%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,25,83,2075,4%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,26,115,2990,5%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,27,149,4023,7%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,28,227,6356,12%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,29,284,8236,15%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,30,315,9450,17%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,31,205,6355,12%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,32,139,4448,8%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,33,73,2409,4%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,34,32,1088,2%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,>34,19,677,1%
Q,MS Core,SPEC ED,ENGLISH,-,<6,8,40,2%
Q,MS Core,SPEC ED,ENGLISH,-,6,7,42,2%
Q,MS Core,SPEC ED,ENGLISH,-,7,18,126,5%
Q,MS Core,SPEC ED,ENGLISH,-,8,6,48,2%
Q,MS Core,SPEC ED,ENGLISH,-,9,22,198,8%
Q,MS Core,SPEC ED,ENGLISH,-,10,39,390,16%
Q,MS Core,SPEC ED,ENGLISH,-,11,60,660,27%
Q,MS Core,SPEC ED,ENGLISH,-,12,65,780,32%
Q,MS Core,SPEC ED,ENGLISH,-,13,8,104,4%
Q,MS Core,SPEC ED,ENGLISH,-,>15,1,36,1%
Q,MS Core,SPEC ED,MATH,-,<6,8,40,2%
Q,MS Core,SPEC ED,MATH,-,6,6,36,2%
Q,MS Core,SPEC ED,MATH,-,7,15,105,5%
Q,MS Core,SPEC ED,MATH,-,8,6,48,2%
Q,MS Core,SPEC ED,MATH,-,9,21,189,10%
Q,MS Core,SPEC ED,MATH,-,10,33,330,17%
Q,MS Core,SPEC ED,MATH,-,11,47,517,26%
Q,MS Core,SPEC ED,MATH,-,12,51,612,31%
Q,MS Core,SPEC ED,MATH,-,13,6,78,4%
Q,MS Core,SPEC ED,SCIENCE,-,<6,7,35,2%
Q,MS Core,SPEC ED,SCIENCE,-,6,6,36,2%
Q,MS Core,SPEC ED,SCIENCE,-,7,14,98,5%
Q,MS Core,SPEC ED,SCIENCE,-,8,6,48,2%
Q,MS Core,SPEC ED,SCIENCE,-,9,17,153,7%
Q,MS Core,SPEC ED,SCIENCE,-,10,31,310,15%
Q,MS Core,SPEC ED,SCIENCE,-,11,52,572,28%
Q,MS Core,SPEC ED,SCIENCE,-,12,59,708,34%
Q,MS Core,SPEC ED,SCIENCE,-,13,6,78,4%
Q,MS Core,SPEC ED,SCIENCE,-,>15,1,16,1%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,<6,8,40,2%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,6,7,42,2%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,7,16,112,5%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,8,6,48,2%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,9,20,180,8%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,10,35,350,16%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,11,53,583,26%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,12,64,768,35%
Q,MS Core,SPEC ED,SOCIAL STUDIES,-,13,6,78,4%
Q,09-12,GEN ED / CTT,ENGLISH,-,<15,149,1791,2%
Q,09-12,GEN ED / CTT,ENGLISH,-,15,48,720,1%
Q,09-12,GEN ED / CTT,ENGLISH,-,16,34,544,1%
Q,09-12,GEN ED / CTT,ENGLISH,-,17,41,697,1%
Q,09-12,GEN ED / CTT,ENGLISH,-,18,57,1026,1%
Q,09-12,GEN ED / CTT,ENGLISH,-,19,48,912,1%
Q,09-12,GEN ED / CTT,ENGLISH,-,20,69,1380,2%
Q,09-12,GEN ED / CTT,ENGLISH,-,21,67,1407,2%
Q,09-12,GEN ED / CTT,ENGLISH,-,22,63,1386,2%
Q,09-12,GEN ED / CTT,ENGLISH,-,23,86,1978,2%
Q,09-12,GEN ED / CTT,ENGLISH,-,24,99,2376,3%
Q,09-12,GEN ED / CTT,ENGLISH,-,25,131,3275,4%
Q,09-12,GEN ED / CTT,ENGLISH,-,26,109,2834,3%
Q,09-12,GEN ED / CTT,ENGLISH,-,27,117,3159,4%
Q,09-12,GEN ED / CTT,ENGLISH,-,28,147,4116,5%
Q,09-12,GEN ED / CTT,ENGLISH,-,29,159,4611,6%
Q,09-12,GEN ED / CTT,ENGLISH,-,30,157,4710,6%
Q,09-12,GEN ED / CTT,ENGLISH,-,31,182,5642,7%
Q,09-12,GEN ED / CTT,ENGLISH,-,32,245,7840,10%
Q,09-12,GEN ED / CTT,ENGLISH,-,33,331,10923,13%
Q,09-12,GEN ED / CTT,ENGLISH,-,34,516,17544,21%
Q,09-12,GEN ED / CTT,ENGLISH,-,>34,83,3033,4%
Q,09-12,GEN ED / CTT,MATH,-,<15,129,1562,3%
Q,09-12,GEN ED / CTT,MATH,-,15,35,525,1%
Q,09-12,GEN ED / CTT,MATH,-,16,28,448,1%
Q,09-12,GEN ED / CTT,MATH,-,17,33,561,1%
Q,09-12,GEN ED / CTT,MATH,-,18,45,810,1%
Q,09-12,GEN ED / CTT,MATH,-,19,46,874,1%
Q,09-12,GEN ED / CTT,MATH,-,20,72,1440,2%
Q,09-12,GEN ED / CTT,MATH,-,21,69,1449,2%
Q,09-12,GEN ED / CTT,MATH,-,22,73,1606,3%
Q,09-12,GEN ED / CTT,MATH,-,23,63,1449,2%
Q,09-12,GEN ED / CTT,MATH,-,24,65,1560,3%
Q,09-12,GEN ED / CTT,MATH,-,25,103,2575,4%
Q,09-12,GEN ED / CTT,MATH,-,26,86,2236,4%
Q,09-12,GEN ED / CTT,MATH,-,27,87,2349,4%
Q,09-12,GEN ED / CTT,MATH,-,28,98,2744,4%
Q,09-12,GEN ED / CTT,MATH,-,29,133,3857,6%
Q,09-12,GEN ED / CTT,MATH,-,30,146,4380,7%
Q,09-12,GEN ED / CTT,MATH,-,31,148,4588,7%
Q,09-12,GEN ED / CTT,MATH,-,32,180,5760,9%
Q,09-12,GEN ED / CTT,MATH,-,33,234,7722,12%
Q,09-12,GEN ED / CTT,MATH,-,34,334,11356,18%
Q,09-12,GEN ED / CTT,MATH,-,>34,57,2061,3%
Q,09-12,GEN ED / CTT,SCIENCE,-,<15,157,1936,2%
Q,09-12,GEN ED / CTT,SCIENCE,-,15,43,645,1%
Q,09-12,GEN ED / CTT,SCIENCE,-,16,48,768,1%
Q,09-12,GEN ED / CTT,SCIENCE,-,17,50,850,1%
Q,09-12,GEN ED / CTT,SCIENCE,-,18,70,1260,1%
Q,09-12,GEN ED / CTT,SCIENCE,-,19,80,1520,1%
Q,09-12,GEN ED / CTT,SCIENCE,-,20,81,1620,2%
Q,09-12,GEN ED / CTT,SCIENCE,-,21,81,1701,2%
Q,09-12,GEN ED / CTT,SCIENCE,-,22,121,2662,2%
Q,09-12,GEN ED / CTT,SCIENCE,-,23,123,2829,3%
Q,09-12,GEN ED / CTT,SCIENCE,-,24,116,2784,3%
Q,09-12,GEN ED / CTT,SCIENCE,-,25,128,3200,3%
Q,09-12,GEN ED / CTT,SCIENCE,-,26,137,3562,3%
Q,09-12,GEN ED / CTT,SCIENCE,-,27,153,4131,4%
Q,09-12,GEN ED / CTT,SCIENCE,-,28,181,5068,5%
Q,09-12,GEN ED / CTT,SCIENCE,-,29,173,5017,5%
Q,09-12,GEN ED / CTT,SCIENCE,-,30,214,6420,6%
Q,09-12,GEN ED / CTT,SCIENCE,-,31,284,8804,8%
Q,09-12,GEN ED / CTT,SCIENCE,-,32,350,11200,10%
Q,09-12,GEN ED / CTT,SCIENCE,-,33,487,16071,15%
Q,09-12,GEN ED / CTT,SCIENCE,-,34,633,21522,20%
Q,09-12,GEN ED / CTT,SCIENCE,-,>34,110,3975,4%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,<15,150,1786,2%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,15,33,495,1%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,16,32,512,1%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,17,43,731,1%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,18,39,702,1%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,19,43,817,1%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,20,56,1120,1%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,21,53,1113,1%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,22,62,1364,2%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,23,68,1564,2%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,24,74,1776,2%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,25,100,2500,3%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,26,111,2886,4%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,27,125,3375,4%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,28,126,3528,4%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,29,120,3480,4%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,30,156,4680,6%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,31,158,4898,6%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,32,275,8800,11%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,33,345,11385,14%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,34,572,19448,24%
Q,09-12,GEN ED / CTT,SOCIAL STUDIES,-,>34,100,3654,5%
Q,09-12,SPEC ED,ENGLISH,-,<6,6,30,1%
Q,09-12,SPEC ED,ENGLISH,-,6,5,30,1%
Q,09-12,SPEC ED,ENGLISH,-,7,7,49,2%
Q,09-12,SPEC ED,ENGLISH,-,8,11,88,3%
Q,09-12,SPEC ED,ENGLISH,-,9,11,99,3%
Q,09-12,SPEC ED,ENGLISH,-,10,29,290,10%
Q,09-12,SPEC ED,ENGLISH,-,11,40,440,15%
Q,09-12,SPEC ED,ENGLISH,-,12,38,456,16%
Q,09-12,SPEC ED,ENGLISH,-,13,22,286,10%
Q,09-12,SPEC ED,ENGLISH,-,14,34,476,16%
Q,09-12,SPEC ED,ENGLISH,-,15,25,375,13%
Q,09-12,SPEC ED,ENGLISH,-,>15,16,268,9%
Q,09-12,SPEC ED,MATH,-,<6,3,15,1%
Q,09-12,SPEC ED,MATH,-,6,3,18,1%
Q,09-12,SPEC ED,MATH,-,7,2,14,1%
Q,09-12,SPEC ED,MATH,-,8,4,32,2%
Q,09-12,SPEC ED,MATH,-,9,3,27,2%
Q,09-12,SPEC ED,MATH,-,10,15,150,9%
Q,09-12,SPEC ED,MATH,-,11,18,198,11%
Q,09-12,SPEC ED,MATH,-,12,13,156,9%
Q,09-12,SPEC ED,MATH,-,13,17,221,13%
Q,09-12,SPEC ED,MATH,-,14,19,266,15%
Q,09-12,SPEC ED,MATH,-,15,23,345,20%
Q,09-12,SPEC ED,MATH,-,>15,17,284,16%
Q,09-12,SPEC ED,SCIENCE,-,<6,4,20,1%
Q,09-12,SPEC ED,SCIENCE,-,6,4,24,1%
Q,09-12,SPEC ED,SCIENCE,-,7,1,7,0%
Q,09-12,SPEC ED,SCIENCE,-,8,3,24,1%
Q,09-12,SPEC ED,SCIENCE,-,9,9,81,3%
Q,09-12,SPEC ED,SCIENCE,-,10,10,100,4%
Q,09-12,SPEC ED,SCIENCE,-,11,17,187,8%
Q,09-12,SPEC ED,SCIENCE,-,12,19,228,9%
Q,09-12,SPEC ED,SCIENCE,-,13,26,338,14%
Q,09-12,SPEC ED,SCIENCE,-,14,32,448,18%
Q,09-12,SPEC ED,SCIENCE,-,15,34,510,21%
Q,09-12,SPEC ED,SCIENCE,-,>15,29,503,20%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,<6,6,30,1%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,6,2,12,1%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,7,4,28,1%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,8,3,24,1%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,9,10,90,4%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,10,19,190,9%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,11,15,165,8%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,12,17,204,10%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,13,15,195,9%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,14,33,462,22%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,15,26,390,19%
Q,09-12,SPEC ED,SOCIAL STUDIES,-,>15,18,304,15%
R,0K,GEN ED / CTT / G&T,-,-,<15,6,75,2%
R,0K,GEN ED / CTT / G&T,-,-,15,3,45,1%
R,0K,GEN ED / CTT / G&T,-,-,16,3,48,1%
R,0K,GEN ED / CTT / G&T,-,-,17,12,204,5%
R,0K,GEN ED / CTT / G&T,-,-,18,10,180,4%
R,0K,GEN ED / CTT / G&T,-,-,19,19,361,9%
R,0K,GEN ED / CTT / G&T,-,-,20,18,360,8%
R,0K,GEN ED / CTT / G&T,-,-,21,20,420,10%
R,0K,GEN ED / CTT / G&T,-,-,22,19,418,10%
R,0K,GEN ED / CTT / G&T,-,-,23,20,460,11%
R,0K,GEN ED / CTT / G&T,-,-,24,28,672,16%
R,0K,GEN ED / CTT / G&T,-,-,25,29,725,17%
R,0K,GEN ED / CTT / G&T,-,-,26,6,156,4%
R,0K,GEN ED / CTT / G&T,-,-,28,2,56,1%
R,0K,GEN ED / CTT / G&T,-,-,29,1,29,1%
R,0K,GEN ED / CTT / G&T,-,-,30,1,30,1%
R,01,GEN ED / CTT / G&T,-,-,<15,1,12,0%
R,01,GEN ED / CTT / G&T,-,-,15,3,45,1%
R,01,GEN ED / CTT / G&T,-,-,16,4,64,1%
R,01,GEN ED / CTT / G&T,-,-,17,6,102,2%
R,01,GEN ED / CTT / G&T,-,-,18,3,54,1%
R,01,GEN ED / CTT / G&T,-,-,19,9,171,4%
R,01,GEN ED / CTT / G&T,-,-,20,11,220,5%
R,01,GEN ED / CTT / G&T,-,-,21,17,357,8%
R,01,GEN ED / CTT / G&T,-,-,22,14,308,7%
R,01,GEN ED / CTT / G&T,-,-,23,18,414,9%
R,01,GEN ED / CTT / G&T,-,-,24,20,480,11%
R,01,GEN ED / CTT / G&T,-,-,25,28,700,15%
R,01,GEN ED / CTT / G&T,-,-,26,28,728,16%
R,01,GEN ED / CTT / G&T,-,-,27,12,324,7%
R,01,GEN ED / CTT / G&T,-,-,28,10,280,6%
R,01,GEN ED / CTT / G&T,-,-,29,6,174,4%
R,01,GEN ED / CTT / G&T,-,-,31,3,93,2%
R,02,GEN ED / CTT / G&T,-,-,<15,2,22,0%
R,02,GEN ED / CTT / G&T,-,-,16,3,48,1%
R,02,GEN ED / CTT / G&T,-,-,17,2,34,1%
R,02,GEN ED / CTT / G&T,-,-,18,5,90,2%
R,02,GEN ED / CTT / G&T,-,-,19,6,114,2%
R,02,GEN ED / CTT / G&T,-,-,20,6,120,3%
R,02,GEN ED / CTT / G&T,-,-,21,11,231,5%
R,02,GEN ED / CTT / G&T,-,-,22,16,352,8%
R,02,GEN ED / CTT / G&T,-,-,23,13,299,7%
R,02,GEN ED / CTT / G&T,-,-,24,20,480,10%
R,02,GEN ED / CTT / G&T,-,-,25,17,425,9%
R,02,GEN ED / CTT / G&T,-,-,26,15,390,9%
R,02,GEN ED / CTT / G&T,-,-,27,21,567,12%
R,02,GEN ED / CTT / G&T,-,-,28,19,532,12%
R,02,GEN ED / CTT / G&T,-,-,29,11,319,7%
R,02,GEN ED / CTT / G&T,-,-,30,10,300,7%
R,02,GEN ED / CTT / G&T,-,-,31,6,186,4%
R,02,GEN ED / CTT / G&T,-,-,33,1,33,1%
R,02,GEN ED / CTT / G&T,-,-,34,1,34,1%
R,03,GEN ED / CTT / G&T,-,-,<15,1,13,0%
R,03,GEN ED / CTT / G&T,-,-,15,2,30,1%
R,03,GEN ED / CTT / G&T,-,-,16,2,32,1%
R,03,GEN ED / CTT / G&T,-,-,17,1,17,0%
R,03,GEN ED / CTT / G&T,-,-,18,3,54,1%
R,03,GEN ED / CTT / G&T,-,-,19,5,95,2%
R,03,GEN ED / CTT / G&T,-,-,20,12,240,5%
R,03,GEN ED / CTT / G&T,-,-,21,9,189,4%
R,03,GEN ED / CTT / G&T,-,-,22,6,132,3%
R,03,GEN ED / CTT / G&T,-,-,23,15,345,8%
R,03,GEN ED / CTT / G&T,-,-,24,21,504,12%
R,03,GEN ED / CTT / G&T,-,-,25,16,400,9%
R,03,GEN ED / CTT / G&T,-,-,26,15,390,9%
R,03,GEN ED / CTT / G&T,-,-,27,13,351,8%
R,03,GEN ED / CTT / G&T,-,-,28,18,504,12%
R,03,GEN ED / CTT / G&T,-,-,29,18,522,12%
R,03,GEN ED / CTT / G&T,-,-,30,10,300,7%
R,03,GEN ED / CTT / G&T,-,-,31,8,248,6%
R,04,GEN ED / CTT / G&T,-,-,15,2,30,1%
R,04,GEN ED / CTT / G&T,-,-,16,2,32,1%
R,04,GEN ED / CTT / G&T,-,-,17,3,51,1%
R,04,GEN ED / CTT / G&T,-,-,18,4,72,2%
R,04,GEN ED / CTT / G&T,-,-,19,3,57,1%
R,04,GEN ED / CTT / G&T,-,-,21,2,42,1%
R,04,GEN ED / CTT / G&T,-,-,22,7,154,4%
R,04,GEN ED / CTT / G&T,-,-,23,13,299,7%
R,04,GEN ED / CTT / G&T,-,-,24,11,264,6%
R,04,GEN ED / CTT / G&T,-,-,25,10,250,6%
R,04,GEN ED / CTT / G&T,-,-,26,15,390,10%
R,04,GEN ED / CTT / G&T,-,-,27,17,459,11%
R,04,GEN ED / CTT / G&T,-,-,28,14,392,10%
R,04,GEN ED / CTT / G&T,-,-,29,10,290,7%
R,04,GEN ED / CTT / G&T,-,-,30,12,360,9%
R,04,GEN ED / CTT / G&T,-,-,31,8,248,6%
R,04,GEN ED / CTT / G&T,-,-,32,15,480,12%
R,04,GEN ED / CTT / G&T,-,-,33,5,165,4%
R,04,GEN ED / CTT / G&T,-,-,34,2,68,2%
R,05,GEN ED / CTT / G&T,-,-,15,2,30,1%
R,05,GEN ED / CTT / G&T,-,-,18,2,36,1%
R,05,GEN ED / CTT / G&T,-,-,19,4,76,2%
R,05,GEN ED / CTT / G&T,-,-,21,4,84,2%
R,05,GEN ED / CTT / G&T,-,-,22,11,242,6%
R,05,GEN ED / CTT / G&T,-,-,23,10,230,5%
R,05,GEN ED / CTT / G&T,-,-,24,10,240,6%
R,05,GEN ED / CTT / G&T,-,-,25,10,250,6%
R,05,GEN ED / CTT / G&T,-,-,26,12,312,7%
R,05,GEN ED / CTT / G&T,-,-,27,14,378,9%
R,05,GEN ED / CTT / G&T,-,-,28,17,476,11%
R,05,GEN ED / CTT / G&T,-,-,29,22,638,15%
R,05,GEN ED / CTT / G&T,-,-,30,8,240,6%
R,05,GEN ED / CTT / G&T,-,-,31,14,434,10%
R,05,GEN ED / CTT / G&T,-,-,32,8,256,6%
R,05,GEN ED / CTT / G&T,-,-,33,3,99,2%
R,05,GEN ED / CTT / G&T,-,-,34,3,102,2%
R,05,GEN ED / CTT / G&T,-,-,>34,2,70,2%
R,06,GEN ED / CTT / G&T,-,-,19,1,19,0%
R,06,GEN ED / CTT / G&T,-,-,21,1,21,1%
R,06,GEN ED / CTT / G&T,-,-,22,3,66,2%
R,06,GEN ED / CTT / G&T,-,-,23,2,46,1%
R,06,GEN ED / CTT / G&T,-,-,24,3,72,2%
R,06,GEN ED / CTT / G&T,-,-,25,7,175,4%
R,06,GEN ED / CTT / G&T,-,-,26,3,78,2%
R,06,GEN ED / CTT / G&T,-,-,27,8,216,5%
R,06,GEN ED / CTT / G&T,-,-,28,16,448,11%
R,06,GEN ED / CTT / G&T,-,-,29,15,435,11%
R,06,GEN ED / CTT / G&T,-,-,30,27,810,21%
R,06,GEN ED / CTT / G&T,-,-,31,18,558,14%
R,06,GEN ED / CTT / G&T,-,-,32,11,352,9%
R,06,GEN ED / CTT / G&T,-,-,33,16,528,13%
R,06,GEN ED / CTT / G&T,-,-,>34,3,109,3%
R,07,GEN ED / CTT / G&T,-,-,16,1,16,0%
R,07,GEN ED / CTT / G&T,-,-,21,1,21,1%
R,07,GEN ED / CTT / G&T,-,-,22,3,66,2%
R,07,GEN ED / CTT / G&T,-,-,24,2,48,1%
R,07,GEN ED / CTT / G&T,-,-,25,2,50,1%
R,07,GEN ED / CTT / G&T,-,-,26,4,104,3%
R,07,GEN ED / CTT / G&T,-,-,27,8,216,5%
R,07,GEN ED / CTT / G&T,-,-,28,14,392,10%
R,07,GEN ED / CTT / G&T,-,-,29,20,580,15%
R,07,GEN ED / CTT / G&T,-,-,30,30,900,23%
R,07,GEN ED / CTT / G&T,-,-,31,21,651,17%
R,07,GEN ED / CTT / G&T,-,-,32,6,192,5%
R,07,GEN ED / CTT / G&T,-,-,33,16,528,13%
R,07,GEN ED / CTT / G&T,-,-,34,1,34,1%
R,07,GEN ED / CTT / G&T,-,-,>34,4,144,4%
R,08,GEN ED / CTT / G&T,-,-,18,1,18,0%
R,08,GEN ED / CTT / G&T,-,-,19,1,19,0%
R,08,GEN ED / CTT / G&T,-,-,20,2,40,1%
R,08,GEN ED / CTT / G&T,-,-,21,1,21,1%
R,08,GEN ED / CTT / G&T,-,-,22,1,22,1%
R,08,GEN ED / CTT / G&T,-,-,24,3,72,2%
R,08,GEN ED / CTT / G&T,-,-,25,3,75,2%
R,08,GEN ED / CTT / G&T,-,-,26,7,182,5%
R,08,GEN ED / CTT / G&T,-,-,27,5,135,3%
R,08,GEN ED / CTT / G&T,-,-,28,15,420,10%
R,08,GEN ED / CTT / G&T,-,-,29,21,609,15%
R,08,GEN ED / CTT / G&T,-,-,30,14,420,10%
R,08,GEN ED / CTT / G&T,-,-,31,19,589,15%
R,08,GEN ED / CTT / G&T,-,-,32,13,416,10%
R,08,GEN ED / CTT / G&T,-,-,33,23,759,19%
R,08,GEN ED / CTT / G&T,-,-,34,3,102,3%
R,08,GEN ED / CTT / G&T,-,-,>34,3,109,3%
R,0K-09,SPEC ED,-,12:1,<6,2,7,1%
R,0K-09,SPEC ED,-,12:1,7,6,42,4%
R,0K-09,SPEC ED,-,12:1,8,6,48,5%
R,0K-09,SPEC ED,-,12:1,9,11,99,10%
R,0K-09,SPEC ED,-,12:1,10,18,180,18%
R,0K-09,SPEC ED,-,12:1,11,27,297,29%
R,0K-09,SPEC ED,-,12:1,12,26,312,31%
R,0K-09,SPEC ED,-,12:1,13,2,26,3%
R,0K-09,SPEC ED,-,12:1:1,<6,7,31,2%
R,0K-09,SPEC ED,-,12:1:1,6,7,42,3%
R,0K-09,SPEC ED,-,12:1:1,7,11,77,5%
R,0K-09,SPEC ED,-,12:1:1,8,12,96,7%
R,0K-09,SPEC ED,-,12:1:1,9,9,81,6%
R,0K-09,SPEC ED,-,12:1:1,10,21,210,15%
R,0K-09,SPEC ED,-,12:1:1,11,22,242,17%
R,0K-09,SPEC ED,-,12:1:1,12,49,588,42%
R,0K-09,SPEC ED,-,12:1:1,13,3,39,3%
R,0K-09,SPEC ED,-,8:1:1,6,1,6,14%
R,0K-09,SPEC ED,-,8:1:1,7,2,14,32%
R,0K-09,SPEC ED,-,8:1:1,8,3,24,55%
R,MS Core,GEN ED / CTT,ENGLISH,-,<15,2,26,0%
R,MS Core,GEN ED / CTT,ENGLISH,-,16,1,16,0%
R,MS Core,GEN ED / CTT,ENGLISH,-,17,3,51,0%
R,MS Core,GEN ED / CTT,ENGLISH,-,19,2,38,0%
R,MS Core,GEN ED / CTT,ENGLISH,-,20,2,40,0%
R,MS Core,GEN ED / CTT,ENGLISH,-,21,4,84,1%
R,MS Core,GEN ED / CTT,ENGLISH,-,22,13,286,2%
R,MS Core,GEN ED / CTT,ENGLISH,-,23,6,138,1%
R,MS Core,GEN ED / CTT,ENGLISH,-,24,16,384,3%
R,MS Core,GEN ED / CTT,ENGLISH,-,25,20,500,4%
R,MS Core,GEN ED / CTT,ENGLISH,-,26,22,572,5%
R,MS Core,GEN ED / CTT,ENGLISH,-,27,37,999,8%
R,MS Core,GEN ED / CTT,ENGLISH,-,28,45,1260,10%
R,MS Core,GEN ED / CTT,ENGLISH,-,29,49,1421,11%
R,MS Core,GEN ED / CTT,ENGLISH,-,30,64,1920,15%
R,MS Core,GEN ED / CTT,ENGLISH,-,31,56,1736,14%
R,MS Core,GEN ED / CTT,ENGLISH,-,32,35,1120,9%
R,MS Core,GEN ED / CTT,ENGLISH,-,33,42,1386,11%
R,MS Core,GEN ED / CTT,ENGLISH,-,34,5,170,1%
R,MS Core,GEN ED / CTT,ENGLISH,-,>34,11,399,3%
R,MS Core,GEN ED / CTT,MATH,-,<15,1,10,0%
R,MS Core,GEN ED / CTT,MATH,-,16,1,16,0%
R,MS Core,GEN ED / CTT,MATH,-,17,2,34,0%
R,MS Core,GEN ED / CTT,MATH,-,19,3,57,0%
R,MS Core,GEN ED / CTT,MATH,-,20,2,40,0%
R,MS Core,GEN ED / CTT,MATH,-,21,3,63,1%
R,MS Core,GEN ED / CTT,MATH,-,22,9,198,2%
R,MS Core,GEN ED / CTT,MATH,-,23,2,46,0%
R,MS Core,GEN ED / CTT,MATH,-,24,7,168,1%
R,MS Core,GEN ED / CTT,MATH,-,25,12,300,3%
R,MS Core,GEN ED / CTT,MATH,-,26,14,364,3%
R,MS Core,GEN ED / CTT,MATH,-,27,23,621,5%
R,MS Core,GEN ED / CTT,MATH,-,28,41,1148,10%
R,MS Core,GEN ED / CTT,MATH,-,29,52,1508,13%
R,MS Core,GEN ED / CTT,MATH,-,30,75,2250,19%
R,MS Core,GEN ED / CTT,MATH,-,31,56,1736,15%
R,MS Core,GEN ED / CTT,MATH,-,32,35,1120,10%
R,MS Core,GEN ED / CTT,MATH,-,33,41,1353,12%
R,MS Core,GEN ED / CTT,MATH,-,34,7,238,2%
R,MS Core,GEN ED / CTT,MATH,-,>34,12,436,4%
R,MS Core,GEN ED / CTT,SCIENCE,-,17,2,34,0%
R,MS Core,GEN ED / CTT,SCIENCE,-,19,3,57,0%
R,MS Core,GEN ED / CTT,SCIENCE,-,20,1,20,0%
R,MS Core,GEN ED / CTT,SCIENCE,-,21,2,42,0%
R,MS Core,GEN ED / CTT,SCIENCE,-,22,9,198,2%
R,MS Core,GEN ED / CTT,SCIENCE,-,23,3,69,1%
R,MS Core,GEN ED / CTT,SCIENCE,-,24,7,168,1%
R,MS Core,GEN ED / CTT,SCIENCE,-,25,15,375,3%
R,MS Core,GEN ED / CTT,SCIENCE,-,26,15,390,3%
R,MS Core,GEN ED / CTT,SCIENCE,-,27,20,540,4%
R,MS Core,GEN ED / CTT,SCIENCE,-,28,43,1204,10%
R,MS Core,GEN ED / CTT,SCIENCE,-,29,54,1566,13%
R,MS Core,GEN ED / CTT,SCIENCE,-,30,76,2280,19%
R,MS Core,GEN ED / CTT,SCIENCE,-,31,63,1953,16%
R,MS Core,GEN ED / CTT,SCIENCE,-,32,34,1088,9%
