Organization Name,Zip Code,Main Phone #,Discipline Code,Council District,Community Board,Borough,Location 1
"Rocking the Boat, Inc.",10474,(718) 466-5799,"Multi-Discipline, Non-Perform",Bronx Council District #17,Bronx Community Board #2,Bronx,"812 Edgewater Road
Bronx, NY
(40.817768697018096, -73.88340382413726)"
"Rod Rodgers Dance Company, Inc.",10003,(212) 674-9066,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"62 4th Street
New York, NY
(40.57339051797251, -74.1187155195518)"
Romare Bearden Foundation,10027,(212) 924-0455 x105,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"2090 Adam Clayton Powell
New York, NY
(40.756053999992105, -73.9869510002884)"
Rooftop Films,11215,(212) 277-8021,Film/Video/Audio,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,"232 3rd Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Roosevelt Island Historical Society,10044,(212) 688-4836,Humanities,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"5 Roosevelt
Island, NY
(40.80277399972027, -73.1663499997527)"
Roosevelt Island Theatre Corporation,10044,(212) 371-4449,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"548 Main Street
New York, NY
(40.756053999992105, -73.9869510002884)"
Rosie's Theater Kids,10036,(646) 434-2745,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"445 45th Street
New York, NY
(40.648652163878225, -74.00858243292328)"
"Roulette Intermedium, Inc.",10013,(212) 219-8242,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"228 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Roundabout Theatre Company, Inc.",10018,(212) 719-9393,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"231 39th Street
New York, NY
(40.65495467494398, -74.00990440673897)"
"Roundtable Ensemble, Ltd.",10128,(212) 223-2619,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,"6272 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Roust Theatre Company, Inc.",10025,(212) 666-3813,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,"211 107th Street
New York, NY
(40.801316734762864, -73.96564904196495)"
"Royal Family Productions, Inc.",10033,(646) 244-8207,Theater,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,"66 Pinehurst Ave
New York, NY
(40.85045565437116, -73.93952977225786)"
Rubin Museum of Art,10011,(212) 620-0628 x312,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"150 17th Street
New York, NY
(40.604643949433594, -74.00665686573328)"
Rush Philanthropic Arts Foundation,10018,(212) 997-3034,Visual Arts,Manhattan Council District #5,Manhattan Community Board #3,Manhattan,"512 Seventh Avenue
New York, NY
(40.75329290232554, -73.98893852454756)"
Russian American Cultural Center,10021,(212) 744-5168,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #5,Manhattan,"520 76th Street
New York, NY
(40.628357133772596, -74.02246160904087)"
Russian American Cultural Heritage Center,10040,(212) 567-5834,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"34 Hillside Avenue
New York, NY
(40.85841465433043, -73.92887280621062)"
"Russian Musical Arts Society of America, Inc.",10033,(212) 928-1402,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"731 183rd Street
New York, NY
(40.8520107270516, -73.93716803372209)"
"Russian-American Foundation, Inc.",10018,(212) 687-6132,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"70 36th Street
New York, NY
(40.65660680124084, -74.00827393122451)"
"Ruth Williams Dance Foundation, Inc.",10027,(212) 662-6403,Dance,,Manhattan Community Board #10,Manhattan,"2090 Adam Clayton Powell Jr Boulevard
New York, NY
(40.82805236428151, -73.93448693235298)"
RxArt Inc.,10002,(212) 260-8797,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"208 Forsyth Street
New York, NY
(40.72293179061637, -73.99052133131914)"
"Ryan Repertory Company, Inc.",11214,(718) 996-4800,Theater,Brooklyn Council District #47,Brooklyn Community Board #11,Brooklyn,"2445 Bath Avenue
Brooklyn, NY
(40.5948488818431, -73.99172444443364)"
"S.E.M. Ensemble, Inc.",11201,(718) 488-7659,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"25 Columbia Place
Brooklyn, NY
(40.69334078164196, -73.99846145906955)"
"S.I.T.U., Inc.",10003,(212) 260-3546,Dance,,Manhattan Community Board #2,Manhattan,"127 Second Avenue
New York, NY
(40.72835470245309, -73.98782336523124)"
"SENS Production, Inc.",11211,(718) 302-5024,Dance,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"140 Metropolitan Avenue
Brooklyn, NY
(40.7161125194844, -73.96230025593704)"
SMARTSPACES-DOT-ORG,10014,(646) 823-6993,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"61 7th Avenue
New York, NY
(40.738894756636455, -73.9994336126295)"
SOHO20 Artists Inc.,10001,(212) 367-8994,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"547 27th Street
New York, NY
(40.75089300625506, -74.00385492787194)"
"SYREN Modern Dance, Inc.",11106,(917) 650-5134,Dance,Queens Council District #26,Queens Community Board #1,Queens,
"Sachiyo Ito and Company, Inc.",10011,(212) 627-0265,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"405 23rd Street
New York, NY
(40.73657113832088, -73.97771212398017)"
Sacred Music Chorale of Richmond Hill,11418,(917) 837-5783,Music,Queens Council District #30,Queens Community Board #9,Queens,"86 20 114th Street
Richmond Hill, NY
(40.699934000253904, -73.83115999973421)"
"Saeko Ichinohe and Company, Inc.",10019,(212) 757-2531,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"159 53rd Street
New York, NY
(40.58272837449162, -73.98819255070833)"
Saint Alban's Episcopal Church,10312,(718) 984-7756,Music,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island,"76 Saint Alban's Place
Staten Island, NY
(40.54424495334877, -74.16069291652302)"
Salmagundi Club,10003,(212) 255-7740 x210,Visual Arts,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,"47 Fifth Avenue
New York, NY
(40.73440713971024, -73.99476613129741)"
Salvadori Center,10115,(212) 870-3970,Architecture/Design,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"475 Riverside Drive
New York, NY
(40.811119146157, -73.96405175554054)"
Salvation Army,11372,(212) 337-7201,"Multi-Discipline, Performing",Queens Council District #25,Queens Community Board #3,Queens,"86 07 35th Avenue
Jackson Heights, NY
(40.751979000030815, -73.88282399992767)"
Salvatore LaRussa Dance Co.,11379,(917) 686-7429,Dance,Queens Council District #30,Queens Community Board #5,Queens,"66 79 73 Place
Middle Village, NY
(42.833114400209354, -74.82934410015008)"
Sandy Ground Historical Society,10309,(718) 317-5796,Museum,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island,"1538 Woodrow Road
Staten Island, NY
(40.5411360837469, -74.21663629569852)"
"Saratoga International Theater Institute, Inc.",10018,(212) 868-0860,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
Scandinavian East Coast Museum,11209,(718) 567-9620,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,"440 Ovington Avenue
Brooklyn, NY
(40.633237288767475, -74.02288002050835)"
"School News Nationwide, Inc.",11238,(718) 753-9920,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #13,Brooklyn,"1068 Fulton Street
Brooklyn, NY
(40.681636002311336, -73.9581964392853)"
"School of American Ballet, Inc.",10023,(212) 769-6600,Dance,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,"70 Lincoln Center Plaza
New York, NY
(40.756053999992105, -73.9869510002884)"
Science Festival Foundation,10115,(646) 200-8818,Science,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"475 Riverside Drive
New York, NY
(40.811119146157, -73.96405175554054)"
Sculptors Alliance Inc.,10003,(212) 982-4135,Visual Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"305 11th Street
New York, NY
(40.6683131168572, -73.98794710386376)"
"Sculpture Center, Inc.",11101,(718) 361-1750,Visual Arts,Queens Council District #26,Queens Community Board #2,Queens,"44 19 Purves Street
Long Island City, NY
(40.74468399996658, -73.94850800004417)"
"Seaside Summer Concert Series, Inc.",11201,(212) 297-4888,Music,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,"32 Court Street
Brooklyn, NY
(40.69306878092351, -73.9907471148297)"
"Second Generation Productions, Inc.",11427,(212) 334-4777,Theater,Queens Council District #23,Queens Community Board #11,Manhattan,"80 17 Bell Blvd
Hollis Hillls, NY
"
Second Stage Theatre,10036,(212) 787-8302 x106,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"305 43rd Street
New York, NY
(40.65146293632249, -74.01021893676158)"
Seedco Financial Services,10010,(212) 204-1300,Other,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"915 Broadway
New York, NY
(40.73980307188606, -73.98959502962896)"
September 11th Widows and Victim Families Association,10007,(212) 422-3520 x111,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"22 Cortlandt Street
New York, NY
(40.70997850308576, -74.01021654131038)"
September Concert Foundation,10019,(212) 333-3399,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,"601 57th St
New York, NY
(40.63983419536201, -74.0120799340748)"
"Serenade at Historic Christ Church, Inc.",10310,(718) 727-6100,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"228 Bard Avenue
Staten Island, NY
(40.638890950532634, -74.10744134047243)"
"Sesame Flyers International, Inc.",11203,(718) 693-0500,Music,Brooklyn Council District #45,Brooklyn Community Board #17,Brooklyn,"3510 Church Avenue
Brooklyn, NY
(40.65104606617694, -73.9446401676269)"
"Seventh Regiment Armory Conservancy, Inc",10065,(212) 616-3951,Visual Arts,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"643 Park Avenue
New York, NY
(40.76753846490135, -73.96623488735406)"
"Shadow Box Theatre, Inc.",10023,(212) 724-0677,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"325 End Avenue
New York, NY
(40.756053999992105, -73.9869510002884)"
Shakespeare Society,10075,(212) 967-6802,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"45 78th Street
New York, NY
(40.63110061269675, -74.03613429416369)"
"Shen Wei Dance Arts, Inc.",10001,(212) 962-1113,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"135 29th Street
New York, NY
(40.599652327946785, -73.99738402131213)"
Shorefront YM-YWHA of Brighton Manhattan Beach Inc,11235,(347) 689-1880,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #48,Brooklyn Community Board #13,Brooklyn,"3300 Coney Island Avenue
Brooklyn, NY
(40.575793969703795, -73.95950745079742)"
"Shotgun Productions, Inc.",10016,(917) 371-7612,Theater,,Manhattan Community Board #6,Manhattan,"165 35th Street
New York, NY
(40.596376902375674, -73.99353489693853)"
"Showpaper, Inc",11385,(347) 746-5512,Music,Queens Council District #32,Queens Community Board #5,Queens,"915 Wyckoff Ave
Ridgewood, NY
(40.696952314410474, -73.9064519471822)"
"Sign of the Times Theater Company, Inc.",10003,(917) 334-2897,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,"80 11th Street
New York, NY
(40.670844789337465, -73.99329562764466)"
"Signature Theatre Company, Inc.",10036,(212) 967-1913 x11,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"630 Ninth Avenue
New York, NY
(40.75999274901747, -73.99144337685128)"
Silver-Brown Foundation,11217,(917) 482-8404,Dance,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"11 Sterling Place
Brooklyn, NY
(40.67891586332753, -73.97826849211384)"
Sinfonietta of Riverdale,10463,(917) 689-1211,Music,Bronx Council District #11,Bronx Community Board #8,Bronx,"3875 Waldo Ave
Bronx, NY
(40.8886346893857, -73.90314679771674)"
Sing for Hope,10012,(212) 966-5955,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Brooklyn,"548 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Six Figures, Inc.",10024,(212) 854-0179,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"88 Planetarium Station
New York, NY
(40.756053999992105, -73.9869510002884)"
Skyscraper Museum,10280,(212) 945-6324,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"39 Battery Place
New York, NY
(40.705574180056445, -74.0179281141595)"
Slideluck Potshow,10009,(917) 804-2767,Photography,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"197 4th Street
New York, NY
(40.67641569788198, -73.99240900300997)"
"Smack Mellon Studios, Inc.",11201,(718) 834-8761,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"92 Plymouth Street
Brooklyn, NY
(40.70383601549892, -73.98964661196611)"
Smithsonian National Museum of the American Indian,11215,(212) 277-8021,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"232 3rd Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Snug Harbor Cultural Center & Botanical Garden, Inc.",10301,(718) 448-2500,"Multi-Discipline, Non-Perform",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"1000 Richmond Terrace
Staten Island, NY
(40.60667400010499, -74.16240100000613)"
So Percussion,11222,(718) 869-9358,Music,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"233 Norman Avenue
Brooklyn, NY
(40.727572638558435, -73.94415994539958)"
Society for the Preservation and Encouragement of Barber Shop Quartet,10276,(631) 221-2911,Music,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"522 Cooper Union Station
New York, NY
(40.756053999992105, -73.9869510002884)"
Society for the Preservation of Weeksville & Bed-Stuyvesant History,11213,(718) 756-5250,Humanities,Brooklyn Council District #41,Brooklyn Community Board #8,Brooklyn,
"Society of Illustrators, Inc.",10065,(212) 838-2560,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"128 63rd Street
New York, NY
(40.64257953965714, -74.02598870809327)"
"Society of Third Street Music School Settlement, Inc.",10003,(212) 777-3240 x124,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"235 11th Street
New York, NY
(40.669354681146345, -73.99008052139187)"
"Society of the Educational Arts, Inc.",10002,(212) 529-1545,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
"Socrates Sculpture Park, Inc.",11106,(718) 956-1819 x15,Visual Arts,Queens Council District #26,Queens Community Board #1,Queens,"6259 Long Island
City, NY
"
"Soho Repertory Theatre, Inc.",10013,(212) 941-8632 x201,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"86 Franklin Street
New York, NY
(40.718066458437875, -74.00486551768648)"
Soho Think Tank,10006,(212) 966-4844,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,
"Sol Zim Jewish Enrichment Music Foundation, Inc.",11427,(917) 592-0019,Music,Queens Council District #23,Queens Community Board #13,Queens,"85 39 213th Street
Queens Village, NY
(40.72015300006086, -73.74887600032713)"
Solomon R. Guggenheim Foundation,10128,(212) 423-3688,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"1071 Fifth Avenue
New York, NY
(40.78291701947967, -73.959335046421)"
Songs of Love Foundation,11375,(718) 441-5422,Music,Queens Council District #29,Queens Community Board #6,Queens,"750809 Forest
Hills, NY
"
"Songs of Solomon: An Inspirational Ensemble, Inc.",10030,(212) 281-2674,Music,Manhattan Council District #10,Manhattan Community Board #10,Manhattan,"151 136th Street
New York, NY
(40.815406332410035, -73.94177981314249)"
"Sonnet Repertory Theatre, Inc.",10108,(917) 703-3188,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"772 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Sonora House, Inc.",11003,(212) 561-0283,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"400 43rd St
New York, NY
(40.6502948561274, -74.00839246760711)"
"Sons of the Revolution in the State of New York, Inc",10004,(212) 425-1778 x30,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"54 Pearl Street
New York, NY
(40.70349153725947, -74.01156711815105)"
"South Asian International Film Festival, Inc.",10013,(917) 902-6706,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"114 Franklin Street
New York, NY
(40.71862403809604, -74.00605262276514)"
South Bronx Community Action Theatre,10456,(718) 829-5730,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #17,Bronx Community Board #1,Bronx,"778 Forest Avenue
Bronx, NY
(40.81888494686362, -73.90589968772917)"
South Street Seaport Museum,10038,(212) 748-8770,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"12 Fulton Street
New York, NY
(40.70691451788191, -74.0037511551729)"
South Wing Theatre Company,11226,(212) 647-0202,Theater,Brooklyn Council District #40,Brooklyn Community Board #14,Brooklyn,"221 18th Street
New York, NY
(40.663426086383545, -73.99227115658091)"
South of the Navy Yard Artists,11238,(718) 857-5696,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,
Southern Queens Park Association,11434,(718) 276-4630 x146,"Multi-Discipline, Performing",Queens Council District #27,Queens Community Board #12,Queens,"177 01 Baisley Boulevard
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
"Spanish Dance Arts Company, Inc.",10036,(212) 736-4499,Dance,Manhattan Council District #1,Manhattan Community Board #5,Manhattan,"4 43rd Street
New York, NY
(40.595327319579255, -73.98515509020673)"
"Spanish Theatre Repertory Company, Ltd.",10016,(212) 225-9934,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"138 27th Street
New York, NY
(40.6606838159127, -74.00143056413258)"
"Spanish-English Ensemble Theatre, Inc.",10003,(212) 598-4320,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"1200 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Speculum Musicae, Inc.",10024,(212) 799-2227,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"255 88th St
New York, NY
(40.62257401968563, -74.0337249754225)"
"Sphinx Organization, Inc.",10026,(313) 877-9100 x703,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"2214 Frederick Douglass Boulevard
New York, NY
(40.8065062914929, -73.95381739093105)"
"Spiderwoman Theater Workshop, Inc.",11231,(718) 797-4262,Theater,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"333 DeGraw Street
Brooklyn, NY
(40.68303800351614, -73.9933061700899)"
"Spoke the Hub Dancing, Inc.",11215,(718) 408-3234,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,"748 Union Street
Brooklyn, NY
(40.67550047659475, -73.97821726957673)"
"St. Ann's Warehouse, Inc.",11201,(718) 834-8794,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"55 Washington St
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"St. George Theatre Restoration, Inc.",10301,(718) 442-2900,"Multi-Discipl, Perf & Non-Perf",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"35 Hyatt Street
Staten Island, NY
(40.641890485360896, -74.07727360324716)"
"St. Luke's Chamber Ensemble, Inc.",10036,(212) 594-6100,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"330 42nd Street
New York, NY
(40.65171004363067, -74.00922665143896)"
St. Mark's Historic Landmark Fund,10003,(212) 228-2781,Humanities,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"232 11th Street
New York, NY
(40.66936400386592, -73.99023495795213)"
St. Paul Community Baptist Church,11207,(718) 257-1300 x123,Theater,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,"859 Hendrix Street
Brooklyn, NY
(40.660281830948094, -73.88432941499768)"
"St. Raymond Community Outreach, Inc.",10462,(718) 824-0353 x12,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #18,Bronx Community Board #9,Bronx,"71 Metropolitan Oval
Bronx, NY
(40.837802146175605, -73.8605846784114)"
"St. Rosalia-Regina Pacis Neighborhood Improvement Assoc., Inc.",11219,(718) 236-5266,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,"6614 11th Avenue
Brooklyn, NY
(40.62796781519472, -74.006678092574)"
Stage Directors and Choreographers Workshop Foundation,10036,(212) 391-1070 x233,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"1501 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Stages of Learning, Inc.",11352,(646) 209-3641,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,
"Standby Program, Inc.",10019,(212) 206-7858,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"245 55th Street
New York, NY
(40.645731151247546, -74.01881856307351)"
Staret...The Directors Company,10036,(212) 246-5877,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"311 43rd St
New York, NY
(40.6513992439949, -74.01011306978462)"
"Staten Island Ballet Theater, Inc.",10306,(718) 980-0500,Dance,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island,"3081 Richmond Road
Staten Island, NY
(40.60667400010499, -74.16240100000613)"
"Staten Island Chamber Music Players, Inc.",10309,(718) 356-2094,Music,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island,"27 Storer Avenue
Staten Island, NY
(40.53869149502926, -74.23314821089836)"
Staten Island Children's Museum,10301,(718) 273-2060,Museum,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"1000 Richmond Terrace
Staten Island, NY
(40.60667400010499, -74.16240100000613)"
Staten Island Historical Society,10306,(718) 351-1617,Folk Arts,Staten Island Council Dist #51,Staten Island Community Brd #2,Staten Island,"441 Clarke Avenue
Staten Island, NY
(40.56994791431865, -74.14487777585946)"
Staten Island Institute of Arts and Sciences,10301,(718) 727-1135,Museum,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"75 Stuyvesant Place
Staten Island, NY
(40.64422126132078, -74.07783553706446)"
"Staten Island Philharmonic Orchestra, Inc.",10301,(718) 273-3250,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"14 Brentwood Avenue
Staten Island, NY
(40.638969103253956, -74.10300580485723)"
Staten Island Shakespearean Theatre Co. Inc.,10304,(718) 447-2245,Theater,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,
"Staten Island Zoological Society, Inc.",10310,(718) 442-3101,Zoo,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"614 Broadway
Staten Island, NY
(40.60667400010499, -74.16240100000613)"
Stecher and Horowitz Foundation,10019,(212) 581-8380,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"119 57th Street
New York, NY
(40.645736278986575, -74.0218854676907)"
Stella Adler Studio of Acting,10001,(212) 689-0087 x12,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"31 27th Street
New York, NY
(40.661364132593235, -74.00245733306294)"
"Stephen Petronio Dance Company, Inc.",10003,(212) 473-1660,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"140 Second Avenue
New York, NY
(40.7289932210939, -73.9873647109963)"
Stickball Printmedia Arts,10012,(212) 277-8021,Visual Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"100 Bleecker Street
New York, NY
(40.727104644832366, -73.99705040925187)"
"Stolen Chair Theatre Company, Inc",10128,(212) 410-2830,Theater,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"64 94th Street
New York, NY
(40.61835159396152, -74.03771295706149)"
Storefront for Art and Architecture,10012,(212) 431-5795,Architecture/Design,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"97 Kenmare Street
New York, NY
(40.72142710995738, -73.99723388190822)"
StoryCorps,11217,(646) 723-7020,Film/Video/Audio,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hanson Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
Storyville Center for the Spoken Word,10013,(212) 742-0552,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"481 Broadway
New York, NY
(40.721501868589826, -74.00008112449058)"
"Striking Viking Story Pirates, Inc.",10004,(212) 742-8091,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"56 Beaver Street
New York, NY
(40.70509401155705, -74.01017798201113)"
String Orchestra of New York City,10040,(212) 543-0475,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"100 Overlook Terrace
New York, NY
(40.856337220442754, -73.93515007397514)"
"Studio Dante, Inc.",10013,(212) 239-4500,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"499 Canal Street
New York, NY
(40.72418184823715, -74.00849877868484)"
"Studio in a School Association, Inc.",10019,(212) 765-5900 x10,Visual Arts,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"410 59th Street
New York, NY
(40.641211323066415, -74.0174899629061)"
Sundog Theatre,10301,(718) 816-5453,Theater,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"10183 Staten
Island, NY
(40.80277399972027, -73.1663499997527)"
"Sundog Theatre, Inc.",10301,(718) 816-5453,Theater,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"10183 Staten
Island, NY
(40.80277399972027, -73.1663499997527)"
"Sunset Park School of Music, Inc.",11220,(718) 748-7860,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,"4520 4th Avenue
Brooklyn, NY
(40.64920987486405, -74.0098758480672)"
"Sweet Jane Productions, Inc.",11205,(917) 913-9610,Theater,Brooklyn Council District #35,Brooklyn Community Board #10,Brooklyn,"37 Grand Avenue
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Swiss Institute,,(212) 925-2035,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"18 Wooster Street
New York, NY
(40.72155582791157, -74.00334566345697)"
"Sylvan Winds, Inc.",10025,(212) 662-0433,Music,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,"1284 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Symphony Space, Inc.",10025,(212) 864-1414 x231,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"2537 Broadway
New York, NY
(40.79372642076288, -73.97258885005488)"
Synagogue for the Arts,10013,(212) 966-7141,Visual Arts,Manhattan Council District #1,,Manhattan,"49 White Street
New York, NY
(40.718423876919815, -74.00401137601385)"
Synapse Productions,10009,(212) 674-2716,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"220 4th Street
New York, NY
(40.67263820396258, -73.98477475190396)"
T.O.A.S.T.,10013,(917) 291-1316,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"50 White Street
New York, NY
(40.71848913979164, -74.00409210074127)"
"TADA! Theater and Dance Alliance, Inc.",10001,(212) 252-1619 x21,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"15 28th Street
New York, NY
(40.60244756215898, -73.9956586422773)"
