Contract Type,Provider ID,Program Name,Sponsor Name,Program Address,Program Borough,Program Zipcode,Program Phone
TRANSPORTATION ONLY,46701,ALLEN AME SENIOR TRANSPORTATION,ALLEN A M E NEIGHBORHOOD PRESERVATION AND DEVELOPM,110-42 MERRICK BLVD,JAMAICA,11433,718-657-1803 
TRANSPORTATION ONLY,53801,CASC FRAIL ELDERLY TRANSPORTATION,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718 981 6226 
TRANSPORTATION ONLY,5T101,CASC FREEDOM TRAN,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-981-6226 
TRANSPORTATION ONLY,44601,HANAC EAST-WEST CONNECTION,HELLENIC AMERICAN NEIGHBORHOOD ACTION COMMITTEE IN,27-40 HOYT AVENUE,LONG ISLAND CIT,11102,718 267-6910 
TRANSPORTATION ONLY,4T301,HANAC FREEDOM TRAN,HELLENIC AMERICAN NEIGHBORHOOD ACTION COMMITTEE IN,27-40 HOYT AVENUE,Long Island Cit,11102,718 267-6910 
TRANSPORTATION ONLY,21901,HEIGHTS AND HILLS,"HEIGHTS AND HILLS, INC. ",57 WILLOUGHBY STREET,BROOKLYN,11201,718-596-8789 
TRANSPORTATION ONLY,2TS01,JCC OF CONEY ISLAND FREEDOM TRAN,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST  37TH STREET,BROOKLYN,11224,718-449-5000 
TRANSPORTATION ONLY,2T701,JCCGCI VEHICLE,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST 37TH STREET,BROOKLYN,11224,718-449-5000 
TRANSPORTATION ONLY,46201,JSPOA TRANSPORTATION PROGRAM,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,162-04 JAMAICA AVENUE,JAMAICA,11432,718-657-6500 
TRANSPORTATION ONLY,34501,LENOX HILL TRANSPORTATION PROGRAM,LENOX HILL NEIGHBORHOOD HOUSE INC ,331 EAST 70TH STREET,NEW YORK,10021,212-744-5022 
TRANSPORTATION ONLY,36701,NEW YORK FOUNDATION TRANSPORTATION,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,404 WEST 54TH STREET,NEW YORK,10019,212 956-0855 
TRANSPORTATION ONLY,3TG01,NY FOUNDATION FREEDOM TRAN,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,404 WEST 54TH STREET,NEW YORK,10019,212-956-0855 
TRANSPORTATION ONLY,24601,PROJECT RELIEF TRANSPORTATION,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST 37TH STREET,BROOKLYN,11224,718-449-5000 
TRANSPORTATION ONLY,19601,RAIN EASTCHESTER TRANSPORTATION,REGIONAL AID FOR INTERIM NEEDS INC ,1246 BURKE AVENUE,BRONX,10469,718-882-8513 
TRANSPORTATION ONLY,20801,REC ROOMS TRANSPORTATION,RECREATION ROOMS AND SETTLEMENT INC ,1304 EAST 57TH STREET,BROOKLYN,11234,718-257-1600 
TRANSPORTATION ONLY,14301,TRI CENTER TRANSPORTATION,RIVERDALE SENIOR SERVICES INC  ,2600 NETHERLAND AVENUE,BRONX,10463,718 884-5900 
TRANSPORTATION ONLY,32X01,UNION SETTLEMENT TRANSPORTATION,UNION SETTLEMENT ASSOCIATION INC ,2205 FIRST AVENUE,NEW YORK,10029,212-860-6818 
TRANSPORTATION ONLY,18501,WHIST II SOUTH BRONX TRANSPORTATION,ARC XVI FORT WASHINGTON INC  ,4111 BROADWAY,NEW YORK,10033,212 781-5700 
TRANSPORTATION ONLY,30901,WHIST TRANSPORTATION,ARC XVI FORT WASHINGTON INC  ,4111 BROADWAY,NEW YORK,10033,212 781-5700 
