Facility Type,License Number,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Telephone Number,Number of Spaces,Location 1
Parking Lot,1262747,NYC AMERICAN MANAGEMENT INC.,,GATEWAY BOULEVARD,1420-1424 GATEWAY BOULEVARD,,11375,7185202600,40,"1420 1424 GATEWAY BOULEVARD
FAR ROCKAWAY, NY 11375
(40.720707263029794, -73.84628429608335)"
Parking Garage,1262963,LIC OPERATING LLC,,THOMPSON AVENUE,27-28 THOMPSON AVENUE,,11101,7187296055,200,"27 28 THOMPSON AVENUE
LONG ISLND CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
Parking Garage,1263167,FLORAL 26 PARKING LLC,,WEST   25 STREET,55 WEST   25 STREET,,10010,2126869800,85,"55 25 STREET
NEW YORK, NY 10010
(40.74181533202914, -73.98619129509557)"
Parking Garage,1263170,CLINTON 53 PARKING LLC,,WEST   52 STREET,515 WEST   52 STREET,,10019,2126869800,83,"515 52 STREET
NEW YORK, NY 10019
(40.7664280870811, -73.99195320904309)"
Parking Lot,1263239,SOUTH BRONX PARKING LOT INC.,,BERGEN AVENUE,530 BERGEN AVENUE,,10455,6465307631,62,"530 BERGEN AVENUE
BRONX, NY 10455
(40.81538930519098, -73.91728072754296)"
Parking Garage,1263367,INDUS REALTY CORPORATION,,MOTT AVENUE,22-30-2240 MOTT AVENUE,,11691,7185202600,68,"22 30-2240 MOTT AVENUE
FAR ROCKAWAY, NY 11691
(40.600614338480966, -73.76256777468302)"
Parking Lot,1263390,INDUS REALITY CORP.,,104 STREET,37-06 104 STREET,,11368,7185202600,12,"37 06 104 STREET
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
Parking Garage,1263503,LEXFORD PROPERTIES LP,,EAST   80 STREET,420 EAST   80 STREET,,10075,2123763902,28,"420 80 STREET
NEW YORK, NY 10075
(40.77246644799027, -73.95089720270818)"
Parking Lot,1263624,200 SCHERMERHORN GARAGE CORP,,SCHERMERHORN STREET,200 SCHERMERHORN STREET,,11201,2127367171,77,"200 SCHERMERHORN STREET
BROOKLYN, NY 11201
(40.688883501568036, -73.98588508629908)"
Parking Garage,1263650,V.M.C. PARKING INC.,SOLO PARKING,WEST  118 STREET,316 WEST  118 STREET,AKA 316-320 WEST 118 STREET,10026,2125312924,130,"316 118 STREET
NEW YORK, NY 10026
(40.8061640444281, -73.95544777217646)"
Parking Lot,1263691,WEST 37TH STREET PARKING LLC,,WEST   37 STREET,326 WEST   37 STREET,,10018,2125358670,30,"326 37 STREET
NEW YORK, NY 10018
(40.75459744906473, -73.99333747122344)"
Parking Lot,1263695,WEST 37TH STREET PARKING LLC,,WEST   37 STREET,330 WEST   37 STREET,,10018,2125358670,100,"330 37 STREET
NEW YORK, NY 10018
(40.75467184099719, -73.99351556100113)"
Parking Garage,1263702,MAGIC PARKING LLC,,ST NICHOLAS AVENUE,225 ST NICHOLAS AVENUE,,10027,2122893800,160,"225 ST NICHOLAS AVENUE
NEW YORK, NY 10027
(40.807929561119444, -73.95296758003273)"
Parking Garage,1263704,MP UPTOWN LLC,,BROADWAY,3333 BROADWAY,,10031,2124903460,360,"3333 BROADWAY
NY, NY 10031
(40.81993459520034, -73.95535935574574)"
Parking Garage,1263718,WETHEROLE LLC,,WETHEROLE STREET,65-74 WETHEROLE STREET,,11374,7188969896,25,"65 74 WETHEROLE STREET
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)"
Parking Lot,1263880,"AMSTERDAM MARKET HOLDINGS, LLC",,WEST  151 STREET,503 WEST  151 STREET,,10031,2019478200,18,"503 151 STREET
NEW YORK, NY 10031
(40.829105398504616, -73.94496210174754)"
Parking Lot,1264918,G & M PARKING GARAGE CORP.,,FRANKLIN AVENUE,1100 FRANKLIN AVENUE,,10456,7184839458,36,"1100 FRANKLIN AVENUE
BRONX, NY 10456
(40.82797910275287, -73.90609199100368)"
Parking Garage,1265730,"PROPARK AMERICA NEW YORK, LLC",,HICKS STREET,352 HICKS STREET,,11202,7187804925,430,"352 HICKS STREET
BROOKLYN, NY 11202
(40.69067172077004, -73.99806283848254)"
Parking Garage,1266177,100 ML GARAGE CORP,,MAIDEN LANE,100 MAIDEN LANE,,10038,2127367171,67,"100 MAIDEN LANE
NEW YORK, NY 10038
(40.70687889239338, -74.00698791767564)"
Parking Garage,1266227,PRIME CAR PARK LLC,,HOE AVENUE,951 HOE AVENUE,,10459,2122216111,139,"951 HOE AVENUE
BRONX, NY 10459
(40.822104510465735, -73.89036488905197)"
Parking Garage,1266229,PRIME CAR PARK LLC,,HOE AVENUE,941 HOE AVENUE,,10459,2122216111,106,"941 HOE AVENUE
BRONX, NY 10459
(40.82190186809562, -73.89034610101764)"
Parking Garage,1266247,QUIK PARK WEST 41ST STREET LLC,,WEST   41 STREET,601 WEST   41 STREET,,10036,2128322066,194,"601 41 STREET
NEW YORK, NY 10036
(40.76021317034501, -73.99884102821548)"
Parking Garage,1266254,GARDEN LOTS LLC,,WEST   31 STREET,125 WEST   31 STREET,,10001,2128322066,120,"125 31 STREET
NEW YORK, NY 10001
(40.748355624384715, -73.99024254149003)"
Parking Garage,1266504,315 E 70 GARAGE CORP.,,EAST   70 STREET,315 EAST   70 STREET,,10021,2127367171,49,"315 70 STREET
NEW YORK, NY 10021
(40.76711548191588, -73.95841553487315)"
Parking Lot,1267593,"PARK AVENUE PARKING, CORP.",,PARK AVENUE,4184-4186 PARK AVENUE,,10457,3475154712,20,"4184 4186 PARK AVENUE
BRONX, NY 10457
(40.84579837129786, -73.89832418681175)"
Parking Lot,1267621,259-267 PARKING CORP,,ATLANTIC AVENUE,274-276 ATLANTIC AVENUE,,11201,7188585055,50,"274 276 ATLANTIC AVENUE
BROOKLYN, NY 11201
(40.69467825879468, -73.98992086835335)"
Parking Garage,1267635,259-267 PARKING CORP.,,PACIFIC STREET,259-267 PACIFIC STREET,,11201,7188585055,75,"259 267 PACIFIC STREET
BROOKLYN, NY 11201
(40.69467825879468, -73.98992086835335)"
Garage - Parking Lot Combo,1267754,702 CONCOURSE CORP.,,CONCOURSE VILLAGE WEST,780 CONCOURSE VILLAGE WEST,,10451,7187880066,108,"780 CONCOURSE VILLAGE
BRONX, NY 10451
(40.823141442756324, -73.91976752500315)"
Parking Garage,1267813,3896 PARKING CORP,,10 AVENUE,3896 10 AVENUE,,10034,2125696508,195,"3896 10 AVENUE
NEW YORK, NY 10034
(40.86534842717634, -73.91833275202725)"
Parking Garage,1268010,WESTBURY REALTY LLC,,BOSTON ROAD,2020-2030 BOSTON ROAD,,10460,7185373101,375,"2020 2030 BOSTON ROAD
BRONX, NY 10460
(40.84309034804119, -73.87860282506028)"
Parking Lot,1268604,JUST-PERR AUTO SALES INC.,BX AUTO SALES,WESTCHESTER AVENUE,2040 WESTCHESTER AVENUE,,10462,7189311100,27,"2040 WESTCHESTER AVENUE
BRONX, NY 10462
(40.83366438012334, -73.85644026018981)"
Parking Lot,1268783,21ST GARAGE LLC.,,10 AVENUE,444-446 10 AVENUE,,10001,2126270012,25,"444 446 10 AVENUE
NEW YORK, NY 10001
(40.75025902143676, -73.99688630375988)"
Parking Garage,1268885,"BOND STREET GARAGE, LLC.",,BOND STREET,25 BOND STREET,,10012,2128887400,48,"25 BOND STREET
NEW YORK, NY 10012
(40.72648970902413, -73.99390179486663)"
Parking Lot,1268889,BUZZ PARKING I CORP,,GOLD STREET,246-254 GOLD STREET,,11201,718788006,29,"246 254 GOLD STREET
BROOKLYN, NY 11201
(40.69467825879468, -73.98992086835335)"
Parking Garage,1269177,QUIK PARK BROADWAY GARAGE LLC,,WEST   56 STREET,225-251 WEST   56 STREET,,10019,2128322066,146,"225 251 WEST 56 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,1269282,126TH STREET PARKING CORP,,WEST  127 STREET,418 WEST  127 STREET,,10027,7187880066,36,"418 127 STREET
NEW YORK, NY 10027
(40.81284217175692, -73.95355455323603)"
Parking Garage,1269988,BARCLAY STREET REALTY LLC,,BARCLAY STREET,10 BARCLAY STREET,,10007,2125358670,81,"10 BARCLAY STREET
NEW YORK, NY 10007
(40.712236130917276, -74.00864329536908)"
Garage - Parking Lot Combo,1270445,"PARKING COMPANY OF AMERICA AIRPORTS, LLC",AVISTAR AIRPORT PARKING,130 STREET,149-21 130 STREET,,11430,7183222221,225,"149 21 130 STREET
JAMAICA, NY 11430
(40.64722932617252, -73.78637495254196)"
Parking Lot,1270805,"PARKING COMPANY OF AMERICA AIRPORTS, LLC",,130 STREET,149-15 130 STREET,,11430,7183222221,225,"149 15 130 STREET
JAMAICA, NY 11430
(40.64722932617252, -73.78637495254196)"
Parking Lot,1270806,"PARKING COMPANY OF AMERICA AIRPORTS, LLC",,131 STREET,149-20 131 STREET,,11430,7183222221,225,"149 20 131 STREET
JAMAICA, NY 11430
(40.64722932617252, -73.78637495254196)"
Parking Lot,1271788,QUIK PARK THEATER LOT LLC,,WEST   46 STREET,223-5 WEST   46 STREET,,10036,2128322066,41,"223 5 WEST 46 STREET
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)"
Parking Garage,1271791,QUIK PARK WEST 55TH ST LLC,,WEST   55 STREET,73-77 WEST   55 STREET,,10019,2128322066,61,"73 77 WEST 55 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Lot,1271797,"C & S PARKING GARAGE, INC.",,FRANKLIN AVENUE,1208 FRANKLIN AVENUE,,10456,6465336409,32,"1208 FRANKLIN AVENUE
BRONX, NY 10456
(40.83008083670682, -73.90366402093981)"
Parking Lot,1272316,PROPARK AMERICA NEW YORK LLC,,BROOKHAVEN AVENUE,1919 BROOKHAVEN AVENUE,,11691,7183821401,80,"1919 BROOKHAVEN AVENUE
FAR ROCKAWAY, NY 11691
(40.599286090693404, -73.75281411461101)"
Parking Garage,1272748,PEACH PARKING CORP,,WEST   40 STREET,346-354 WEST   40 STREET,,10018,9736228888,250,"346 354 WEST 40 STREET
NEW YORK, NY 10018
(40.756840774582145, -73.99669149981281)"
Parking Garage,1272935,RAPID MANAGEMENT CORP,,EAST   38 STREET,333 EAST   38 STREET,,10016,2128667000,146,"333 38 STREET
NEW YORK, NY 10016
(40.74649220504499, -73.97205058058142)"
Parking Garage,1273538,"LUCKY CAR PARK, LLC",,LENOX AVENUE,380 LENOX AVENUE,,10027,2122216111,77,"380 LENOX AVENUE
NEW YORK, NY 10027
(40.81062468169347, -73.94331591800119)"
Parking Garage,1273564,MERCURY PARKING LLC,,WEST   50 STREET,350 WEST   50 STREET,"AKA 393 W 49 ST, 351 W 49 ST",10019,2126869800,473,"350 50 STREET
NEW YORK, NY 10019
(40.76320343108847, -73.98825503980532)"
Parking Lot,1273615,SOUTH BRONX OVERALL ECONOMIC DEVELOPMENT CORP,,BROOK AVENUE,541 BROOK AVENUE,,10455,7187327692,150,"541 BROOK AVENUE
BRONX, NY 10455
(40.81501210219453, -73.9149589905113)"
Parking Garage,1273988,STANDARD PARKING CORPORATION,,EAST END AVENUE,60 EAST END AVENUE,,10028,2129163480,120,"60 END AVENUE
NEW YORK, NY 10028
(40.563532737410114, -74.17877828590207)"
Parking Lot,1274121,L.P. PARKING CORP.,,EAST  180 STREET,454 EAST  180 STREET,,10457,7187334165,5,"454 180 STREET
BRONX, NY 10457
(40.85166244879195, -73.89624145130527)"
Parking Lot,1274218,CALAMARAS REALTY CORPORATION,,49 AVENUE,20394 49 AVENUE,,11101,9174179352,100,"20394 49 AVENUE
LONG ISLND CITY, NY 11101
(40.73725452570069, -73.92939045167974)"
Parking Garage,1274433,NORTH BRONX GARAGE INC,,CROMWELL AVENUE,1420 CROMWELL AVENUE,,10452,6464638129,70,"1420 CROMWELL AVENUE
BRONX, NY 10452
(40.84138671701195, -73.9193555287965)"
Parking Garage,1274501,QUEENS WEST GARAGE LLC,,47 AVENUE,27851 47 AVENUE,,11101,2127143571,828,"27851 47 AVENUE
LONG ISLND CITY, NY 11101
(40.74626131003174, -73.95663232137024)"
Parking Garage,1275065,"FASHION 35 PARKING, LLC",,BROADWAY,1328 BROADWAY,,10001,2126869800,149,"1328 BROADWAY
NEW YORK, NY 10001
(40.74990473732729, -73.98793590329036)"
Parking Garage,1275681,QUIK PARK WEST 58TH LLC,,CENTRAL PARK SOUTH,116 CENTRAL PARK SOUTH,,10019,2128322066,58,"116 CENTRAL PARK
NEW YORK, NY 10019
(40.766126227683685, -73.97726532460723)"
Garage - Parking Lot Combo,1275692,"ESP GROUP OF NEW YORK, INC.",,LENOX ROAD,349 LENOX ROAD,,11226,7184697672,45,"349 LENOX ROAD
BROOKLYN, NY 11226
(40.65429989183991, -73.94788843427607)"
Parking Garage,1275883,CENTURY PARKING CORP,,NETHERLAND AVENUE,2600 NETHERLAND AVENUE,,10463,2127367171,706,"2600 NETHERLAND AVENUE
BRONXS, NY 10463
(40.878840739419545, -73.91675947741456)"
Parking Lot,1276007,GB ENTERPRISE GROUP INC.,,MACOMBS ROAD,1475 MACOMBS ROAD,,10452,7183656310,99,"1475 MACOMBS ROAD
BRONX, NY 10452
(40.84206308296988, -73.91800215592916)"
Parking Lot,1276437,"X & Y GROUP, INC.",,UNION STREET,42-27 UNION STREET,,11355,7182885797,16,"42 27 UNION STREET
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
Parking Lot,1276463,SANDS PARKING LLC,,SANDS STREET,66 SANDS STREET,,11201,7186436440,100,"66 SANDS STREET
BROOKLYN, NY 11201
(40.6999580873501, -73.98783422318382)"
Parking Lot,1276761,ENTERPRISE 35 WEST LLC,,10 AVENUE,451 10 AVENUE,451-459,10018,2125643199,123,"451 10 AVENUE
NEW YORK, NY 10018
(40.75549624129735, -73.99849831771905)"
Parking Lot,1276771,JEROME PETROLEUM LLC,,JEROME AVENUE,2350 JEROME AVENUE,,10468,7182205651,25,"2350 JEROME AVENUE
BRONX, NY 10468
(40.85988617671037, -73.9029270514843)"
Parking Garage,1277045,STANDARD PARKING CORPORATION,,RIVER AVENUE,950 RIVER AVENUE,,10452,7185384249,1205,"950 RIVER AVENUE
BRONX, NY 10452
(40.82978741545918, -73.92474083133177)"
Parking Lot,1277059,WE HAVE CARS II INC,,PARK AVENUE,3500 PARK AVENUE,,10456,2122229745,52,"3500 PARK AVENUE
BRONX, NY 10456
(40.83148436912638, -73.90816638893988)"
Garage - Parking Lot Combo,1277075,"ESP GROUP OF NEW YORK, INC.",,CLARKSON AVENUE,354 CLARKSON AVENUE,,11226,7184697672,100,"354 CLARKSON AVENUE
BROOKLYN, NY 11226
(40.655510666949965, -73.94814967647042)"
Parking Garage,1277259,3000 JEROME PARKING CORP.,,JEROME AVENUE,3000 JEROME AVENUE,,10468,7183290617,100,"3000 JEROME AVENUE
BRONX, NY 10468
(40.873573752104924, -73.88924909793948)"
Parking Garage,1277376,NEW A&N FOOD MARKET INC,,MAIN STREET,41-79 MAIN STREET,,11355,7189392560,60,"41 79 MAIN STREET
QUEENS, NY 11355
(40.7512997969481, -73.82147854789662)"
Parking Garage,1277435,VFC INDUSTRIES LTD,,WEST  132 STREET,161 WEST  132 STREET,,10027,2127223349,135,"161 132 STREET
NEW YORK, NY 10027
(40.81315177659576, -73.94454798918133)"
Parking Garage,1277537,"222 RIVERSIDE MANAGEMENT, LLC",,RIVERSIDE DRIVE,222 RIVERSIDE DRIVE,,10025,2125810535,36,"222 RIVERSIDE DRIVE
NEW YORK, NY 10025
(40.79494949872276, -73.97619513139239)"
Parking Lot,1277629,NORTH CAROLINA LEASING LIMITED PARTNERSHIP.,,WEST 95 STREET,70 WEST 95 STREET,,10025,9999999999,142,"70 95 STREET
NEW YORK, NY 10025
(40.79184967969348, -73.96727588837864)"
Parking Lot,1278191,PORTS AMERICA MANAGEMENT CORP.,,12 AVENUE,711 12 AVENUE,"PIERS 88,90,92",10019,2122465450,900,"711 12 AVENUE
NEW YORK, NY 10019
(40.7643565910789, -73.99873177408536)"
Parking Garage,1278454,SYD-SKY CORPORATION,,WHITE PLAINS ROAD,3559 WHITE PLAINS ROAD,,10467,3474272825,1,"3559 WHITE PLAINS ROAD
BRONX, NY 10467
(40.878802241146055, -73.86581175554646)"
Parking Garage,1278457,"QP EAST 36TH STREET, LLC.",,EAST   36 STREET,221-235 EAST   36 STREET,,10016,2128322066,64,"221 235 EAST 36 STREET
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)"
Parking Garage,1279111,INTERNATIONAL HOUSE,,RIVERSIDE DRIVE,524-527 RIVERSIDE DRIVE,AKA 171 CLAREMONT AVE,10027,2123168400,35,"524 527 RIVERSIDE DRIVE
NEW YORK, NY 10027
(40.811549564460904, -73.95290033568193)"
Parking Lot,1279294,2820 BAILEY PARKING CORP,,BAILEY STREET,2820 BAILEY STREET,,10463,7188840680,63,"2820 BAILEY STREET
BRONX, NY 10463
(40.873777196519704, -73.90525017457784)"
Parking Lot,1279332,N.N.I. ENTERPRISES LTD.,,SEDDON STREET,1762 SEDDON STREET,,10461,7185904777,150,"1762 SEDDON STREET
BRONX, NY 10461
(40.84223518981487, -73.85106852278818)"
Parking Lot,1279597,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,WESTCHESTER AVENUE,3260 WESTCHESTER AVENUE,3260-64 WESTCHESTER AVENUE,10461,2125025490,176,"3260 WESTCHESTER AVENUE
BRONX, NY 10461
(40.852442253011844, -73.8281748002981)"
Parking Lot,1279598,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,WESTCHESTER AVENUE,3261 WESTCHESTER AVENUE,,10461,2125025490,40,"3261 WESTCHESTER AVENUE
BRONX, NY 10461
(40.852489025201436, -73.82821260976287)"
Parking Lot,1279742,"169TH STREET PARKING LOT, INC",,EAST  169 STREET,232 EAST  169 STREET,,10456,9173372172,34,"232 169 STREET
BRONX, NY 10456
(40.83579881240351, -73.91438508328717)"
Parking Garage,1280323,MP 53 LLC,,EAST   53 STREET,250 EAST   53 STREET,,10022,2124903460,28,"250 53 STREET
NEW YORK, NY 10022
(40.75719008189155, -73.96826352199908)"
Parking Garage,1280325,MP JAY LLC,,JAY STREET,100 JAY STREET,,11201,2124903460,424,"100 JAY STREET
BROOKLYN, NY 11201
(40.701791568338315, -73.98677048382758)"
Parking Lot,1280334,STANDARD PARKING CORPORATION,,RIVER AVENUE,750 RIVER AVENUE,,10451,7185384249,120,"750 RIVER AVENUE
BRONX, NY 10451
(40.82490021791205, -73.92761380201779)"
Parking Garage,1280337,STANDARD PARKING CORPORATION,,EAST  153 STREET,71 EAST  153 STREET,,10451,7182926515,3000,"71 153 STREET
BRONX, NY 10451
(40.82520300243259, -73.92884529468333)"
Parking Garage,1280410,"RIVER HOUSE CAR PARK, LLC",,YORK AVENUE,1175 YORK AVENUE,,10065,2129966363,94,"1175 YORK AVENUE
NEW YORK, NY 10065
(40.761476732792175, -73.95766909758879)"
Parking Lot,1280445,STANDARD PARKING CORPORATION,,EAST  151 STREET,100 EAST  151 STREET,,10451,7185384249,170,"100 151 STREET
BRONX, NY 10451
(40.822843560940754, -73.92881083183025)"
Parking Lot,1280446,STANDARD PARKING CORPORATION.,,EAST  151 STREET,111 EAST  151 STREET,,10451,7185384249,79,"111 151 STREET
BRONX, NY 10451
(40.82252550204921, -73.92848679118788)"
Parking Garage,1280453,SYLVAN ELM GARAGE LLC,,60 AVENUE,94-30 60 AVENUE,,11373,7185759440,20,"94 30 60 AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
Parking Garage,1280455,SYLVAN ELM GARAGE LLC,,59 AVENUE,94-31 59 AVENUE,,11373,7185759440,40,"94 31 59 AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
Parking Garage,1280462,SYLVAN ELM GARAGE LLC,,60 AVENUE,94-31 60 AVENUE,,11373,7185759440,40,"94 31 60 AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
Parking Garage,1280463,SYLVAN ELM GARAGE LLC,,JUNCTION BOULEVARD,57-10 JUNCTION BOULEVARD,,11373,7185759440,22,"57 10 JUNCTION BOULEVARD
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
Parking Garage,1280518,QUIK PARK WEST 62ND ST LLC,,WEST   65 STREET,140 WEST   65 STREET,,10023,2128322066,721,"140 65 STREET
NEW YORK, NY 10023
(40.77349446459758, -73.9833857714788)"
Parking Lot,1280753,"ROYAL CAR PARK, LLC",,WARREN STREET,86-90 WARREN STREET,,10007,2122216111,52,"86 90 WARREN STREET
NEW YORK, NY 10007
(40.71363051943297, -74.00913138370635)"
Parking Lot,1280864,ACQ-HAMM 7W21 PARKING LLC,,WEST   21 STREET,7 WEST   21 STREET,,10010,2122436540,76,"7 21 STREET
NEW YORK, NY 10010
(40.7401254072641, -73.99015141016167)"
Parking Lot,1280868,ACQ-HAMM 7W21 PARKING LLC,,WEST   22 STREET,10 WEST   22 STREET,,10010,2122436540,180,"10 22 STREET
NEW YORK, NY 10010
(40.74054802215426, -73.98935001017486)"
Parking Garage,1281079,SYLVAN ELM GARAGE LLC,,60 AVENUE,94-11 60 AVENUE,,11373,7185759440,40,"94 11 60 AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
Parking Garage,1281328,"SYLVAN ELM GARAGE, LLC",,59 AVENUE,94-30 59 AVENUE,,11373,7185759440,40,"94 30 59 AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
Parking Lot,1281636,"CIMA PARKING, INC.",,INWOOD AVENUE,1550 INWOOD AVENUE,,10452,7188076382,95,"1550 INWOOD AVENUE
BRONX, NY 10452
(40.844000249406506, -73.9163972057168)"
Parking Garage,1281648,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,NOSTRAND AVENUE,2201 NOSTRAND AVENUE,,11210,2125025490,502,"2201 NOSTRAND AVENUE
BROOKLYN, NY 11210
(40.63102197323017, -73.94746175437503)"
Parking Lot,1281650,"BARON, RAFAEL",PARKING SERVICES,DAVIS STREET,45-66 DAVIS STREET,,11101,9175667537,80,"45 66 DAVIS STREET
LONG ISLND CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
Parking Lot,1281676,THE NEW YORK BOTANICAL GARDEN,,200 STREET,0 200 STREET,200 & ST. SOUTHERN BOULEVARD,10458,7188178730,100,"0 200 STREET
BRONX, NY 10458
(40.86725498987846, -73.88361892169624)"
Parking Lot,1281804,SALLY PARKING LOT INC,,3 AVENUE,4327 3 AVENUE,,10457,6463314615,40,"4327 3 AVENUE
BRONX, NY 10457
(40.849493632038666, -73.89479444081024)"
Parking Lot,1282474,AMAMCA PARKING TWO INC.,,GRAND CONCOUSRE,1963-1967 GRAND CONCOUSRE,,10453,9172920463,100,"1963 1967
BRONX, NY 10453
(40.852786838341956, -73.91342678431863)"
Parking Garage,1283007,ARH PARKING INC,,3 AVENUE,3463 3 AVENUE,,10456,7186845803,55,"3463 3 AVENUE
BRONX, NY 10456
(40.82970315225251, -73.90650549900424)"
Parking Lot,1283038,"LIC LOT, LLC",,42ND ROAD,23-02 42ND ROAD,,11101,2125755335,85,"23 02 42ND ROAD
LONG ISLND CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
Parking Lot,1283185,MP POP LLC,,BLONDELL AVENUE,1527 BLONDELL AVENUE,,10461,2124903460,30,"1527 BLONDELL AVENUE
BRONX, NY 10461
(40.84568771938698, -73.84521617705947)"
Parking Garage,1283245,MALLI PARKING INC.,,EAST  156 STREET,600 EAST  156 STREET,,10455,7189935575,51,"600 156 STREET
BRONX, NY 10455
(40.818954881146674, -73.90968852795247)"
Parking Lot,1283348,PARKING SERVICES PLUS INC,,ORCHARD BEACH ROAD,1 ORCHARD BEACH ROAD,ORCHARD BEACH PARKING LOT,10464,5168254661,5863,"1 ORCHARD BEACH ROAD
BRONX, NY 10464
(40.86575248246141, -73.80550978714665)"
Parking Garage,1283472,EASTSIDE 65 PARKING LLC,,EAST   66 STREET,200 EAST   66 STREET,,10065,2126869800,255,"200 66 STREET
NEW YORK, NY 10065
(40.76587843598763, -73.96342668156511)"
Parking Garage,1283493,KIPS BAY 27 PARKING LLC,,EAST   27 STREET,236-246 EAST   27 STREET,AKA-463/79 2 AVE/239-43 E 26 ST,10016,2126869800,65,"236 246 EAST 27 STREET
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)"
Parking Lot,1283555,"4300 CRESCENT ST. PARKING, LLC",,CRESCENT STREET,43-29 CRESCENT STREET,,11101,2127145571,25,"43 29 CRESCENT STREET
LONG ISLND CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
Parking Garage,1283824,CHAMPION PARKING 74 LLC.,,BROADWAY,2109 BROADWAY,,10023,2123085959,110,"2109 BROADWAY
NEW YORK, NY 10023
(40.77992630106403, -73.98178152708138)"
Garage - Parking Lot Combo,1284143,STANDARD PARKING CORPORATION,,HENRY HUDSON PARKWAY WEST,3611 HENRY HUDSON PARKWAY WEST,,10463,2129163480,120,"3611 HENRY HUDSON PARKWAY
BRONX, NY 10463
(40.887227986302165, -73.91224794272328)"
Parking Lot,1284361,MP TAX SERVICES CORP,WASHINGTON PARKING,WASHINGTON AVENUE,1108 WASHINGTON AVENUE,,10456,3472715221,50,"1108 WASHINGTON AVENUE
BRONX, NY 10456
(40.828535508055445, -73.90841062908645)"
Parking Garage,1285331,WHITEHALL TENANTS CORP.,,HENRY HUDSON PARKWAY,3333 HENRY HUDSON PARKWAY,,10463,7187963383,403,"3333 HENRY HUDSON PARKWAY
BRONX, NY 10463
(40.88562728678762, -73.9136846122522)"
Parking Garage,1286769,ALLIANCE RIVERBANK PARKING LLC,,WEST   42 STREET,555 WEST   42 STREET,,10036,2125810535,84,"555 42 STREET
NEW YORK, NY 10036
(40.760685329406385, -73.99793174484057)"
Parking Garage,1286774,ALLIANCE IMPALA PARKING LLC,,EAST   76 STREET,404 EAST   76 STREET,AKA 1456 1 AVENUE,10021,2125810535,58,"404 76 STREET
NEW YORK, NY 10021
(40.770315373046515, -73.95400117940203)"
Parking Garage,1287539,WASH HEIGHTS OPERATING LLC,,WEST  155 STREET,404 WEST  155 STREET,AKA 404-414 WEST 155 STREET,10032,2129299404,300,"404 155 STREET
NEW YORK, NY 10032
(40.830534312636146, -73.94058954101902)"
Parking Lot,1287869,A AND E PARKING LLC,,BROADWAY,688 BROADWAY,,10012,7183750093,23,"688 BROADWAY
NEW YORK, NY 10012
(40.728057926183396, -73.99452331434952)"
Parking Garage,1288781,AMPCO SYSTEM PARKING,,EAST   54 STREET,13 EAST   54 STREET,AKA 17 E 54 STREET,10022,2166216600,225,"13 54 STREET
NEW YORK, NY 10022
(40.76076402711187, -73.97464671600515)"
Parking Lot,1289557,DO GOOD AUTOMOTIVE INC,,GRAND CONCOURSE,2173 GRAND CONCOURSE,,10453,7183643939,20,"2173 GRAND
BRONX, NY 10453
(40.85712261483571, -73.9068979083792)"
Parking Garage,1290041,STANDARD PARKING CORPORATION,,165 STREET,92-30 165 STREET,,11433,212163480,601,"92 30 165 STREET
JAMAICA, NY 11433
(40.698104881734935, -73.7875740339145)"
Parking Garage,1290043,STANDARD PARKING CORPORATION,,PARSONS BOULEVARD,90-15 PARSONS BOULEVARD,,11432,212163480,499,"90 15 PARSONS BOULEVARD
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)"
Parking Garage,1290045,STANDARD PARKING CORPORATION,,162 STREET,89-35 162 STREET,,11432,2129163480,405,"89 35 162 STREET
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)"
Parking Lot,1290052,STANDARD PARKING CORPORATION,,168 STREET,90-01 168 STREET,,11432,2129163480,253,"90 01 168 STREET
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)"
