Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
Asian,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,1,s,s,1,s,s
Asian,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2,s,s,2,s,s
Asian,23K643,BROOKLYN DEMOCRACY ACADEMY,.,.,.,.,.,.
Asian,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,.,.,.,.,.,.
Asian,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,.,.,.,.,.,.
Asian,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,.,.,.,.,.,.
Asian,23K697,TEACHERS PREPARATORY HIGH SCHOOL,1,s,s,1,s,s
Asian,24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,19,s,s,19,s,s
Asian,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,12,s,s,12,s,s
Asian,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,.,.,.,.,.,.
Asian,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,12,s,s,12,s,s
Asian,24Q455,NEWTOWN HIGH SCHOOL,194,55,28.4%,194,59,30.4%
Asian,24Q485,GROVER CLEVELAND HIGH SCHOOL,55,20,36.4%,55,20,36.4%
Asian,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,13,s,s,13,s,s
Asian,24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,10,s,s,10,s,s
Asian,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,26,13,50%,26,13,50%
Asian,24Q610,AVIATION CAREER & TECHNICAL EDUCATION,86,47,54.7%,86,48,55.8%
Asian,24Q744,VOYAGES PREPARATORY,9,s,s,9,s,s
Asian,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,32,6,18.8%,32,6,18.8%
Asian,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,41,14,34.1%,41,14,34.1%
Asian,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,8,s,s,8,s,s
Asian,25Q425,JOHN BOWNE HIGH SCHOOL,170,44,25.9%,170,44,25.9%
Asian,25Q460,FLUSHING HIGH SCHOOL,100,22,22%,100,22,22%
Asian,25Q525,TOWNSEND HARRIS HIGH SCHOOL,139,138,99.3%,139,138,99.3%
Asian,25Q540,QUEENS ACADEMY HIGH SCHOOL,13,s,s,13,s,s
Asian,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,36,11,30.6%,36,11,30.6%
Asian,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,3,s,s,3,s,s
Asian,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,461,278,60.3%,461,281,61%
Asian,26Q430,FRANCIS LEWIS HIGH SCHOOL,565,325,57.5%,565,361,63.9%
Asian,26Q435,MARTIN VAN BUREN HIGH SCHOOL,175,39,22.3%,175,39,22.3%
Asian,26Q495,BAYSIDE HIGH SCHOOL,439,280,63.8%,439,285,64.900000000000006%
Asian,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,70,21,30%,70,21,30%
Asian,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,5,s,s,5,s,s
Asian,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,6,s,s,6,s,s
Asian,27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,.,.,.,.,.,.
Asian,27Q400,AUGUST MARTIN HIGH SCHOOL,20,s,s,20,s,s
Asian,27Q410,BEACH CHANNEL HIGH SCHOOL,11,s,s,11,s,s
Asian,27Q465,FAR ROCKAWAY HIGH SCHOOL,7,s,s,7,s,s
Asian,27Q475,RICHMOND HILL HIGH SCHOOL,328,46,14%,328,48,14.6%
Asian,27Q480,JOHN ADAMS HIGH SCHOOL,248,35,14.1%,248,36,14.5%
Asian,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,49,15,30.6%,49,15,30.6%
Asian,28Q440,FOREST HILLS HIGH SCHOOL,204,112,54.9%,204,112,54.9%
Asian,28Q470,JAMAICA HIGH SCHOOL,92,14,15.2%,92,14,15.2%
Asian,28Q505,HILLCREST HIGH SCHOOL,218,59,27.1%,218,60,27.5%
Asian,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,341,175,51.3%,341,179,52.5%
Asian,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,35,22,62.9%,35,24,68.599999999999994%
Asian,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,62,58,93.5%,62,59,95.2%
Asian,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,5,s,s,5,s,s
Asian,29Q248,QUEENS PREPARATORY ACADEMY,4,s,s,4,s,s
Asian,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,1,s,s,1,s,s
Asian,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2,s,s,2,s,s
Asian,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,7,s,s,7,s,s
Asian,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,1,s,s,1,s,s
Asian,29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,9,s,s,9,s,s
Asian,29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,9,s,s,9,s,s
Asian,29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,6,s,s,6,s,s
Asian,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,2,s,s,2,s,s
Asian,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,221,92,41.6%,221,95,43%
Asian,30Q450,LONG ISLAND CITY HIGH SCHOOL,130,44,33.799999999999997%,130,44,33.799999999999997%
Asian,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,17,s,s,17,s,s
Asian,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,39,15,38.5%,39,16,41%
Asian,30Q555,NEWCOMERS HIGH SCHOOL,70,17,24.3%,70,17,24.3%
Asian,30Q575,ACADEMY OF AMERICAN STUDIES,39,29,74.400000000000006%,39,30,76.900000000000006%
Asian,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,11,s,s,11,s,s
Asian,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,12,s,s,12,s,s
Asian,31R080,THE MICHAEL J. PETRIDES SCHOOL,8,s,s,8,s,s
Asian,31R440,NEW DORP HIGH SCHOOL,45,21,46.7%,45,21,46.7%
Asian,31R445,PORT RICHMOND HIGH SCHOOL,41,15,36.6%,41,15,36.6%
Asian,31R450,CURTIS HIGH SCHOOL,38,16,42.1%,38,16,42.1%
Asian,31R455,TOTTENVILLE HIGH SCHOOL,72,41,56.9%,72,41,56.9%
Asian,31R460,SUSAN E. WAGNER HIGH SCHOOL,137,72,52.6%,137,72,52.6%
Asian,31R470,CONCORD HIGH SCHOOL,.,.,.,.,.,.
Asian,31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,9,s,s,9,s,s
Asian,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,71,70,98.6%,71,70,98.6%
Asian,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,1,s,s,1,s,s
Asian,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,.,.,.,.,.,.
Asian,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,.,.,.,.,.,.
Asian,32K552,ACADEMY OF URBAN PLANNING,2,s,s,2,s,s
Asian,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,.,.,.,.,.,.
Asian,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,1,s,s,1,s,s
Asian,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,1,s,s,1,s,s
Black,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,24,3,12.5%,24,3,12.5%
Black,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,26,1,3.8%,26,1,3.8%
Black,01M509,MARTA VALLE HIGH SCHOOL,11,s,s,11,s,s
Black,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,7,s,s,7,s,s
Black,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,3,s,s,3,s,s
Black,01M650,CASCADES HIGH SCHOOL,32,0,0%,32,0,0%
Black,01M696,BARD HIGH SCHOOL EARLY COLLEGE,27,18,66.7%,27,18,66.7%
Black,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,6,s,s,6,s,s
Black,02M288,FOOD AND FINANCE HIGH SCHOOL,45,5,11.1%,45,5,11.1%
Black,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,24,4,16.7%,24,4,16.7%
Black,02M298,PACE HIGH SCHOOL,31,9,29%,31,9,29%
Black,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,12,s,s,12,s,s
Black,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,23,1,4.3%,23,1,4.3%
Black,02M308,LOWER MANHATTAN ARTS ACADEMY,17,s,s,17,s,s
Black,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,28,4,14.3%,28,4,14.3%
Black,02M374,GRAMERCY ARTS HIGH SCHOOL,47,1,2.1%,47,1,2.1%
Black,02M394,EMMA LAZARUS HIGH SCHOOL,1,s,s,1,s,s
Black,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,75,17,22.7%,75,19,25.3%
Black,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,24,4,16.7%,24,5,20.8%
Black,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,7,s,s,7,s,s
Black,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,20,s,s,20,s,s
Black,02M414,N.Y.C. MUSEUM SCHOOL,23,3,13%,23,3,13%
Black,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,11,s,s,11,s,s
Black,02M418,MILLENNIUM HIGH SCHOOL,22,12,54.5%,22,12,54.5%
Black,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,86,17,19.8%,86,17,19.8%
Black,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,49,4,8.199999999999999%,49,4,8.199999999999999%
Black,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,97,5,5.2%,97,6,6.2%
Black,02M460,WASHINGTON IRVING HIGH SCHOOL,137,4,2.9%,137,4,2.9%
Black,02M475,STUYVESANT HIGH SCHOOL,24,23,95.8%,24,24,100%
Black,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,47,8,17%,47,9,19.100000000000001%
Black,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,18,s,s,18,s,s
Black,02M519,TALENT UNLIMITED HIGH SCHOOL,47,12,25.5%,47,12,25.5%
Black,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,225,25,11.1%,225,27,12%
Black,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,38,4,10.5%,38,4,10.5%
Black,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,21,0,0%,21,0,0%
Black,02M542,MANHATTAN BRIDGES HIGH SCHOOL,.,.,.,.,.,.
Black,02M543,NEW DESIGN HIGH SCHOOL,27,2,7.4%,27,2,7.4%
Black,02M544,INDEPENDENCE HIGH SCHOOL,54,0,0%,54,0,0%
Black,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,4,s,s,4,s,s
Black,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,12,s,s,12,s,s
Black,02M551,THE HARBOR HS,31,3,9.699999999999999%,31,3,9.699999999999999%
Black,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,101,10,9.9%,101,10,9.9%
Black,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,52,9,17.3%,52,9,17.3%
Black,02M586,HARVEY MILK HIGH SCHOOL,11,s,s,11,s,s
Black,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,154,56,36.4%,154,56,36.4%
Black,02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,70,1,1.4%,70,1,1.4%
Black,02M620,NORMAN THOMAS HIGH SCHOOL,100,1,1%,100,1,1%
Black,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,139,6,4.3%,139,6,4.3%
Black,02M630,ART AND DESIGN HIGH SCHOOL,87,5,5.7%,87,5,5.7%
Black,02M655,LIFE SCIENCES SECONDARY SCHOOL,40,2,5%,40,2,5%
Black,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,47,1,2.1%,47,1,2.1%
Black,03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,39,2,5.1%,39,2,5.1%
Black,03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,39,2,5.1%,39,2,5.1%
Black,03M404,INNOVATION DIPLOMA PLUS,13,s,s,13,s,s
Black,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,82,9,11%,82,10,12.2%
Black,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,116,3,2.6%,116,3,2.6%
Black,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,110,73,66.400000000000006%,110,75,68.2%
Black,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,47,5,10.6%,47,5,10.6%
Black,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,55,6,10.9%,55,6,10.9%
Black,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,69,1,1.4%,69,1,1.4%
Black,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,20,s,s,20,s,s
Black,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,43,6,14%,43,6,14%
Black,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,20,s,s,20,s,s
Black,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,71,36,50.7%,71,36,50.7%
Black,04M495,PARK EAST HIGH SCHOOL,39,1,2.6%,39,2,5.1%
Black,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,13,s,s,13,s,s
Black,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,23,1,4.3%,23,1,4.3%
Black,04M680,HERITAGE SCHOOL  THE,30,3,10%,30,4,13.3%
Black,04M695,URBAN PEACE ACADEMY,22,2,9.1%,22,2,9.1%
Black,05M285,HARLEM RENAISSANCE HIGH SCHOOL,52,0,0%,52,0,0%
Black,05M304,MOTT HALL HIGH SCHOOL,30,1,3.3%,30,1,3.3%
Black,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,41,2,4.9%,41,2,4.9%
Black,05M469,CHOIR ACADEMY OF HARLEM,32,0,0%,32,0,0%
Black,05M499,FREDERICK DOUGLASS ACADEMY,189,85,45%,189,87,46%
Black,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,67,12,17.899999999999999%,67,12,17.899999999999999%
Black,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,18,s,s,18,s,s
Black,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,15,s,s,15,s,s
Black,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,7,s,s,7,s,s
Black,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,6,s,s,6,s,s
Black,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,14,s,s,14,s,s
Black,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,86,16,18.600000000000001%,86,16,18.600000000000001%
Black,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,.,.,.,.,.,.
Black,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,27,3,11.1%,27,3,11.1%
Black,07X321,CROTONA ACADEMY HIGH SCHOOL,25,0,0%,25,0,0%
Black,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,.,.,.,.,.,.
Black,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,25,0,0%,25,0,0%
Black,07X381,BRONX HAVEN HIGH SCHOOL   ,3,s,s,3,s,s
Black,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,14,s,s,14,s,s
Black,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,18,s,s,18,s,s
Black,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,31,3,9.699999999999999%,31,3,9.699999999999999%
Black,07X527,BRONX LEADERSHIP ACADEMY II HS,40,5,12.5%,40,5,12.5%
Black,07X547,NEW EXPLORERS HIGH SCHOOL,29,3,10.3%,29,4,13.8%
Black,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,19,s,s,19,s,s
Black,07X551,BRONX ACADEMY OF LETTERS,23,2,8.699999999999999%,23,2,8.699999999999999%
Black,07X600,ALFRED E. SMITH CAREER AND TECHNICAL,80,4,5%,80,4,5%
Black,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,101,0,0%,101,0,0%
Black,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,41,4,9.800000000000001%,41,4,9.800000000000001%
Black,08X282,WOMEN'S ACADEMY OF EXCELLENCE,49,4,8.199999999999999%,49,5,10.199999999999999%
Black,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,39,4,10.3%,39,5,12.8%
Black,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,33,2,6.1%,33,2,6.1%
Black,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,29,4,13.8%,29,4,13.8%
Black,08X312,MILLENNIUM ART ACADEMY,38,4,10.5%,38,4,10.5%
Black,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,34,2,5.9%,34,2,5.9%
Black,08X377,BRONX COMMUNITY HIGH SCHOOL,27,0,0%,27,0,0%
Black,08X405,HERBERT H. LEHMAN HIGH SCHOOL,260,38,14.6%,260,40,15.4%
Black,08X450,ADLAI E. STEVENSON HIGH SCHOOL,4,s,s,4,s,s
Black,08X452,BRONX GUILD,23,0,0%,23,0,0%
Black,08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,25,0,0%,25,0,0%
Black,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,27,1,3.7%,27,1,3.7%
Black,08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,59,0,0%,59,0,0%
Black,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,149,9,6%,149,9,6%
Black,08X686,NEW SCHOOL FOR ARTS AND SCIENCES,1,s,s,1,s,s
Black,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,33,1,3%,33,1,3%
Black,09X231,EAGLE ACADEMY FOR YOUNG MEN,69,8,11.6%,69,8,11.6%
Black,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,33,2,6.1%,33,2,6.1%
Black,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,25,4,16%,25,4,16%
Black,09X252,MOTT HALL BRONX HIGH SCHOOL,39,2,5.1%,39,2,5.1%
Black,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,26,16,61.5%,26,17,65.400000000000006%
Black,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,51,1,2%,51,1,2%
Black,09X276,LEADERSHIP INSTITUTE,25,3,12%,25,3,12%
Black,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,38,4,10.5%,38,4,10.5%
Black,09X329,DREAMYARD PREPARATORY SCHOOL,43,4,9.300000000000001%,43,6,14%
Black,09X403,BRONX INTERNATIONAL HIGH SCHOOL,20,s,s,20,s,s
Black,09X404,SCHOOL FOR EXCELLENCE,45,1,2.2%,45,1,2.2%
Black,09X412,BRONX HIGH SCHOOL OF BUSINESS,44,6,13.6%,44,6,13.6%
Black,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,57,14,24.6%,57,14,24.6%
Black,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,38,5,13.2%,38,6,15.8%
Black,09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND,41,2,4.9%,41,2,4.9%
Black,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,44,5,11.4%,44,5,11.4%
Black,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,87,11,12.6%,87,11,12.6%
Black,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,13,s,s,13,s,s
Black,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,20,s,s,20,s,s
Black,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,21,4,19%,21,4,19%
Black,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,15,s,s,15,s,s
Black,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,31,0,0%,31,0,0%
Black,10X243,WEST BRONX ACADEMY FOR THE FUTURE,24,3,12.5%,24,3,12.5%
Black,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,12,s,s,12,s,s
Black,10X284,BRONX SCHOOL OF LAW AND FINANCE,39,2,5.1%,39,2,5.1%
Black,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,45,1,2.2%,45,1,2.2%
Black,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,.,.,.,.,.,.
Black,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,20,s,s,20,s,s
Black,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,.,.,.,.,.,.
Black,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,.,.,.,.,.,.
Black,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,44,1,2.3%,44,1,2.3%
Black,10X434,BELMONT PREPARATORY HIGH SCHOOL,39,3,7.7%,39,3,7.7%
Black,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,44,3,6.8%,44,3,6.8%
Black,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,60,4,6.7%,60,4,6.7%
Black,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,46,3,6.5%,46,3,6.5%
Black,10X440,DEWITT CLINTON HIGH SCHOOL,271,43,15.9%,271,45,16.600000000000001%
Black,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,21,3,14.3%,21,3,14.3%
Black,10X445,BRONX HIGH SCHOOL OF SCIENCE,22,20,90.9%,22,21,95.5%
Black,10X475,JOHN F. KENNEDY HIGH SCHOOL,134,7,5.2%,134,7,5.2%
Black,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,16,s,s,16,s,s
Black,10X546,BRONX THEATRE HIGH SCHOOL,34,3,8.800000000000001%,34,4,11.8%
Black,10X549,DISCOVERY HIGH SCHOOL,19,s,s,19,s,s
Black,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,129,4,3.1%,129,4,3.1%
Black,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,19,s,s,19,s,s
Black,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,25,1,4%,25,1,4%
Black,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,69,7,10.1%,69,7,10.1%
Black,11X265,BRONX LAB SCHOOL,45,3,6.7%,45,3,6.7%
Black,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,36,4,11.1%,36,4,11.1%
Black,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,32,5,15.6%,32,5,15.6%
Black,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,46,14,30.4%,46,14,30.4%
Black,11X290,BRONX ACADEMY OF HEALTH CAREERS,54,4,7.4%,54,4,7.4%
Black,11X299,ASTOR COLLEGIATE ACADEMY,47,1,2.1%,47,1,2.1%
Black,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,127,5,3.9%,127,5,3.9%
Black,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,39,6,15.4%,39,6,15.4%
Black,11X425,EVANDER CHILDS HIGH SCHOOL,1,s,s,1,s,s
Black,11X455,HARRY S TRUMAN HIGH SCHOOL,333,32,9.6%,333,32,9.6%
Black,11X513,NEW WORLD HIGH SCHOOL,9,s,s,9,s,s
Black,11X514,THE BRONXWOOD PREPARATORY ACADEMY,27,0,0%,27,0,0%
Black,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,5,8.800000000000001%,57,5,8.800000000000001%
Black,11X542,PELHAM PREPARATORY ACADEMY,38,8,21.1%,38,8,21.1%
Black,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,60,5,8.300000000000001%,60,5,8.300000000000001%
Black,11X545,BRONX AEROSPACE HIGH SCHOOL,21,1,4.8%,21,1,4.8%
Black,12X248,METROPOLITAN HIGH SCHOOL  THE,41,1,2.4%,41,1,2.4%
Black,12X251,EXPLORATIONS ACADEMY,25,0,0%,25,0,0%
Black,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,56,0,0%,56,0,0%
Black,12X267,BRONX LATIN,1,s,s,1,s,s
Black,12X271,EAST BRONX ACADEMY FOR THE FUTURE,19,s,s,19,s,s
Black,12X278,PEACE AND DIVERSITY ACADEMY,33,0,0%,33,0,0%
Black,12X480,BRONX REGIONAL HIGH SCHOOL,43,1,2.3%,43,1,2.3%
Black,12X550,HIGH SCHOOL OF WORLD CULTURES,3,s,s,3,s,s
Black,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,36,0,0%,36,0,0%
Black,12X690,MONROE ACADEMY FOR BUSINESS/LAW,39,2,5.1%,39,2,5.1%
Black,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,31,2,6.5%,31,2,6.5%
Black,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,66,5,7.6%,66,5,7.6%
Black,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,78,5,6.4%,78,5,6.4%
Black,13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,64,1,1.6%,64,2,3.1%
Black,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,196,18,9.199999999999999%,196,20,10.199999999999999%
Black,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,157,139,88.5%,157,140,89.2%
Black,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,86,25,29.1%,86,25,29.1%
Black,13K499,ACORN COMMUNITY HIGH SCHOOL,138,5,3.6%,138,5,3.6%
Black,13K509,FREEDOM ACADEMY HIGH SCHOOL,48,10,20.8%,48,10,20.8%
Black,13K553,BROOKLYN ACADEMY HIGH SCHOOL,52,0,0%,52,0,0%
Black,13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,43,2,4.7%,43,2,4.7%
Black,13K595,BEDFORD ACADEMY HIGH SCHOOL,69,33,47.8%,69,33,47.8%
Black,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,190,2,1.1%,190,2,1.1%
Black,13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,61,0,0%,61,0,0%
Black,13K670,BENJAMIN BANNEKER ACADEMY,195,77,39.5%,195,78,40%
Black,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,12,s,s,12,s,s
Black,14K322,FOUNDATIONS ACADEMY,54,4,7.4%,54,4,7.4%
Black,14K404,ACADEMY FOR YOUNG WRITERS,24,1,4.2%,24,1,4.2%
Black,14K449,BROOKLYN LATIN SCHOOL  THE,21,13,61.9%,21,13,61.9%
Black,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,36,1,2.8%,36,1,2.8%
Black,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,71,9,12.7%,71,9,12.7%
Black,14K477,SCHOOL FOR LEGAL STUDIES,99,9,9.1%,99,9,9.1%
