OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
Asian-Indian Women in America,N,N,N,Y,N,7185916511,7185916511,,Y,"AIWA has focused on articulating and promoting concerns of South Asian women in North America.  AIWA has worked extensively in areas such as employment, career development, cultural acculturation, integration, health, education and general welfare.  It has also provided charitable assistance and developed referral services.  AIWA members have done extensive outreach and speaking at various community and academic panels to address issues on political, civic, social, economic, cultural and religious fronts to develop a vibrant Asian/South Asian American community.",N,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"11J Flushing
11367
(40.730323085042414, -73.82610630716033)",
Audre Lorde Project,Y,N,N,N,N,7185961328,7185960342,http://www.alp.org/,N,"The Audre Lorde Project is a Lesbian, Gay, Bisexual, Two Spirit, and Transgender People of Color center for community organizing, focusing on the New York City area. Through mobilization, education, and capacity-building, we work for community wellness and progressive social and economic justice. Committed to struggling across differences, we seek to responsibly reflect, represent and serve our various communities.",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Bridge Street Development Corporation,Y,N,N,N,N,7183998602,7183990146,http://www.bsdcorp.org/,N,"The Bridge Street Development Corporation is a faith-based community development corporation which was founded ten years ago by the senior pastor and other officials of the Bridge Street AWME Church. Our mission is to help residents of Bedford-Stuyvesant acquire affordable housing, appreciating assets including real estate, businesses, and education.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Bronx HIV Care Network,N,Y,Y,N,N,7186651282,7186657900,http://www.nypl.org/branch/aids-hiv/hiv_care.html,N,"The Bronx HIV CARE Network was established through The Ryan White CARE Act and is funded by the The State Department of Health AIDS Institute. Created to focus on those areas hardest hit by HIV/AIDS, the Bronx HIV CARE Network encourages the coordination and expansion of existing health care services. The Network promotes agency collaboration and networking, assists in identifying and addressing community priorities and provides input into the New York State HIV planning process. The mission of the Bronx HIV CARE Network is to insure coordination of comprehensive health and social services, and to develop necessary resources not currently available for people both infected and affected by HIV/AIDS in the Bronx.",N,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
CAAAV: Organizing Asian Communities,N,Y,N,N,N,7182207398,7182207391,http://www.caaav.org/,N,"CAAAV: Organizing Asian Communities (also known as Committee Against Anti-Asian Violence) was founded by Asian women in 1986 as one of the first organizations in the United States to mobilize Asian communities to counter anti-Asian violence. CAAAV focuses on institutional violence that affects immigrant working-class communities such as worker exploitation, concentrated urban poverty, police brutality, Immigration and Naturalization Service (INS) detention and deportation, and criminalization of workers and youth. By organizing across diverse, low-wage and poor Asian communities in New York City, CAAAV exposes and struggles against violence with the goal of building community capacity to exercise self-determination. Building coalitions enables CAAAV to contribute to a unified strategy for a broader, multi-racial and multi-issue movement for social change. CAAAV is a volunteer-driven organization led by members of low-income Asian immigrant communities.",N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Campaign to End the Death Penalty,Y,Y,Y,Y,Y,,3478532758,http://www.nodeathpenalty.org/,N,"The Campaign to End the Death Penalty (CEDP) is the only national membership-driven, chapter-based grassroots organization dedicated to the abolition of capital punishment in the United States. We have active chapters in cities and campuses across the country -- from Berkeley, California, to Austin, Texas to Chicago, Illinois. We work hand in hand with those who have experienced the horrors of death row firsthand--death row prisoners themselves their family members--and work to ensure that their voices are at the forefront of our movement.",Y,Chicago,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"CancerCare, Inc.",Y,Y,Y,Y,Y,2127128495,8008134673,http://www.cancercare.org/,N,"CancerCare provides free professional counseling, educational programs, financial assistance and practical help to people with cancer, their loved ones, and health care professionals across the country. CancerCare's diverse programming and services are designed to meet the specific needs of men, women and c",N,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Center for Battered Women's Legal Services, Sanctuary for Families",Y,Y,Y,Y,Y,,2123496009,http://www.sanctuaryforfamilies.org/legalservices.htm,N,"Since 1984, Sanctuary for Families has been a haven for abused women and their children. It's a place where victims of domestic violence can find safety, counseling, advocacy, legal assistance, and shelter. At the Center, women can receive skilled, caring, culturally sensitive legal assistance for protection, support, custody of children, or for legal immigration status.",N,,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Center for Immigrant Families (CIF),Y,Y,Y,Y,Y,2125311391,2125313011,http://www.c4if.org/,N,"CIF is a community organizing, education, and training center that fights for social, economic, and racial justice. We work to further the human rights of immigrants through building community power.",N,,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Center for Women in Government and Civil Society,Y,Y,Y,Y,Y,5184423877,5184423900,http://www.cwig.albany.edu/,N,"The Center for Women in Government and Civil Society is part of the Rockefeller College of Public Affairs and Policy, University at Albany, State University of New York. Through research, teaching, leadership development, networking, and public education, the Center works to strengthen women's public policy leadership, broaden access of women and youth to policy knowledge, skills, and influence, advance equity for women in the workplace, promote collaboration across sectors to enhance nonprofit management and leadership, and inform policy makers and policy activists on issues related to women, children, and families.",Y,Albany,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,"135 Western Ave
(38.9601120530775, -77.08652245456473)"
Center for Women of New York,N,N,N,Y,N,7187930020,7187930672,http://www.queenswomenscenter.org/,N,The Center for Women of New York works in conjunction with existing women's groups in Queens to help meet the needs of women. It is committed to the cause of women's rights and works to address the issues that affect women and their families.,N,,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Ceres Gallery,N,N,Y,N,N,,2122264725,http://www.ceresgallery.org/,N,"Founded in 1983 as a program of the New York Feminist Art Institute, Ceres is a non-profit alternative center dedicated to the promotion of contemporary women in the arts. We serve as a supportive base for a diversity of artistic and political views. Ceres has become a venue for female and male writers, musicians and dancers, and storytellers to perform and take risks. We believe that the arts provide an important social service and that there is inherent power in art to enhance and enrich the quality and depth of our lives.",,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Chinese American Planning Council,N,N,Y,N,N,,2129410920,http://www.cpc-ny.org/,N,"The Chinese-American Planning Council, then known as the Chinatown Planning Council, was founded in 1965 as a grassroots community-based organization in response to the tremendous influx of Chinese immigrants after the change in immigration laws, and in the midst of the Great Society movement. Initially, CPC volunteers counseled families referred by local schools, and provided case management services to help immigrants adjust to their new homes. Filling a void in the community as the first social service agency to serve Chinese-Americans in New York, CPC began to expand its services based on the needs expressed by those in the community.",N,,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
City Parks Foundation,Y,Y,Y,Y,Y,,2123601399,http://www.cityparksfoundaton.org,N,"City Parks  is the only independent nonprofit organziation to provide programs in parks citywide. By offering arts, sports, edcuation and community organizing initiatives to over 600, 000 people, in 750 parks, we help improve open space in neighborhoods in all 5 boros.",N,,N,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Civic Association Serving Harlem, Inc (C.A.S.H.)",N,N,Y,N,N,,2128645850,,N,"C.A.S.H. which is a community - based diagnostic location evaluation program in HarlemTech. HarlemTech is a computer basic learning program that has been in existence for over ten years, that helps young adults who are interested in maintenance and repair of computers. CASH is the premier community organization serving the hard-pressed and unemployed, especially those who have had an encounter with the criminal justice system.",N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Claremont Neighborhood Centers, Inc.",N,Y,N,N,N,,7185881000,http://www.claremontcenter.org/,N,"Located in the Claremont/Morrisania section of the South Bronx, Claremont Neighborhood Centers, Inc. serves thousands of clients a year. Focusing on neighborhood needs, Claremont's services include: child care and after-school programs with activities such as karate, drama and photography workshops, dance and computer instruction and a range of athletic activities.  The settlement also offers a drug abuse program that consists of its own chapters of Narcotics and Alcoholics Anonymous. The Adult Basic Education program focuses on instructing Spanish-speaking adults in conversational English, reading and math.  In addition, Claremont offers a Nite Light program for teens with extended recreational hours until 10 pm,  a job assistance program, summer day camp and participation in The New York Fresh Air Fund.",N,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Coalition for Asian American Children & Families,N,N,Y,N,N,2127854601,2128094675,http://www.cacf.org/,N,"The Coalition for Asian American Children and Families (CACF), the nation's only pan-Asian children's advocacy organization, aims to improve the health and well-being of Asian Pacific American children and families in New York City.",N,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Advertising Women of New York,N,N,Y,N,N,2122218296,2122217969,http://www.awny.org,N,"To provide a forum for personal and professional growth; to serve as a catalyst for the advancement of women in the communications field; to promote and support philanthropic endeavors through the AWNY Foundation. Through various, dedicated committees, AWNY hosts 35 events per year. Each of our innovative programs aims to enhance career skills and illuminate current industry trends and strategies. Many programs attract top-ranking media personalities as key-note speakers.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
American Foundation for AIDS Research (amfAR),N,N,Y,N,N,2128061601,2128061600,http://www.amfar.org,N,"Founded in 1985, amfAR is dedicated to ending the global AIDS epidemic through innovative research. With the freedom and flexibility to respond quickly to emerging areas of scientific promise, amfAR plays a catalytic role in accelerating the pace of HIV/AIDS research and achieving real breakthroughs. amfAR-funded research has increased our understanding of HIV and has helped lay the groundwork for major advances in the study and treatment of HIV/AIDS. Since 1985, amfAR has invested nearly $290 million in its mission and has awarded grants to more than 2,000 research teams worldwide.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"100 Hispanic Women, Inc.",N,N,Y,N,N,2123758779,2122391430,http://www.100hispanicwomen.org,N,,Y,Albany and Weschester,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
163rd Street Improvement Council,N,Y,N,N,N,,7186206007,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"68th Precinct Youth Council, Inc.",Y,N,N,N,N,,7186806179,,N,"Our mission is to inspire our youth with the spirit and ideals of good citizenship. Taking advantage of youth energy, enthusiasm and a desire to play ball, we mold and shape their development, encouraging them to become socially, emotionally, physically, and cognitively competent. We train them in the behavior and attitudes necessary for good sportsmanship on and off the field.  The program stresses the development of physical conditioning, teamwork, timelines, preparedness, respect for oneâ€™s self and others, ethnic harmony, improved communication and socialization skills, decision-making, and a healthy respect for rules and fair play.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
92nd Street YM-YMHA,N,N,Y,N,N,2124155578,2124155500,http://www.92y.org/,,,,,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
A.C.L.U. Women's Rights Project,N,N,Y,N,N,2125492652,2125492668,http://www.aclu.org/WomensRights/WomensRightsMain.cfm,,,,,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Afrikan Poetry Theatre Inc.,N,N,N,Y,N,,7185233312,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Agudath Israel of America Community Services, Inc.",N,N,Y,N,N,,2127979000,http://www.agudath.org/,N,"Each of the Five Books of Moses emphasizes dimensions of Jewish life. Genesis (Small Group Bonding), Exodus (The Blessing of Torah), Leviticus (Ritual and Spirituality), Numbers (Making A Better Society), Deuteronomy (Bonding with all types of Jews.) We at CAI are proud of our role as a leading and pro-active egalitarian Conservative congregation that embodies these five principles in a pluralistic manner for all ages and stages of Jewish living. We provide an extraordinary variety of religious, educational, cultural and recreational venues, planned jointly and pro-actively by an exemplary professional staff and an engaged lay leadership. We help our diverse and multi-generational membership to experience Judaism in ways that have personal meaning and promote Jewish values for people moving through the Jewish life cycle. We seek to enable our members to ascend ""the ladder of Jewish commitment"" at their own pace, feeling more and more part of our ""second home"" as a CAI family.",N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Alianza Dominicana, Inc.",N,N,Y,N,N,,2127401960,,N,"Alianza Dominicana, Inc. is a non-profit community development organization that patterns with youth, families, and public and private institutions to revitalize economically distressed neighborhoods.  Our mission is to assist children, youth and familes break the cycle of poverty and fulfill their potential as members of the global economy.  We are committed to our goals and hope that we can further continue to fulfill them through our new online presence.",N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
American Friends Service Committee - Conflict Resolution Program,N,N,Y,N,N,2125294603,2125980950,http://www.afsc.org/nymetro,,Conflict Resolution Program,,,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"American Italian Coalition of Organizations, Inc.",Y,N,N,N,N,,7182563445,,,,,,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Amistad Early Childhood Educational Center, Inc.",N,N,N,Y,N,7185261527,7182623221,,N,"The preschool offers an early childhood educational and recreational program, including a computer education program. The after-school (educational) provides homework assistance.",N,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
AMIT,N,N,Y,N,N,2123532312,2124774720,http://www.amitchildren.org,N,"AMIT enables Israel's youth to realize their potential and strengthens Israeli society by educating and nurturing children from diverse backgrounds within a framework of academic excellence, religious values and Zionist ideals.",N,,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Asian American Legal Defense and Education Fund,N,N,Y,N,N,,2129665932,http://www.aaldef.org,N,"AALDEF focuses on critical issues affecting Asian Americans, including immigrant rights, civic participation and voting rights, economic justice for workers, language access to services, Census policy, affirmative action, youth rights and educational equity, and the elimination of anti-Asian violence, police misconduct, and human trafficking.",N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Asian Americans for Equality,N,N,Y,N,N,,2129798381,http://www.aafe.org/,N,"To advance the rights of Asian Americans and all those in need through advocacy and access in civil rights, immigrant assistance, social services, affordable housing, and economic development; to empower our communities through research and publishing that embody our issues and concerns; and to foster understanding and unity among diverse communities through building coalitions and forming collaborations.",N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Asociaciones Dominicanas, Inc",Y,N,N,N,N,,7185992386,,Y,"The mission of Asociaciones Dominicanas is to assist newly arrived Spanish immigrants navigate the educational and social systems as they make New York City their new home while at the same time evolving into a citywide community organization: that provides human services including, but not limited to after-school youth educational programs, summer youth employment, adult computer training classes, English to Speaker of Other Languages (ESOL) classes and other services to New York City residents.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Aspira of New York, Inc.",N,N,Y,N,N,,7185992386,http://www.nyaspira.org/index.html,N,To foster the social advancement of the Puerto Rican/Latino community by supporting its youth in the pursuit of educational excellence through leadership development activities and programs that emphasize commitment to the community and pride in the Puerto Rican/Latino culture.,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Associated Blind,N,N,Y,N,N,,2126834950,http://www.tabinc.org/,N,"The Associated Blind, Inc. (TAB), a not-for-profit corporation whose programs empower individuals who are blind or visually impaired to lead productive and independent lives by gaining employment and furthering their careers. TAB, which will be acquired by Lighthouse International through this transaction, delivers services through the use of adaptive technology and the programs and virtual community offered by eSight.",N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Asthma/Emphysema Self-Help Group,N,N,Y,N,N,,2127770486,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Astraea Lesbian Foundation for Justice,N,N,Y,N,N,2129823321,2125298021,http://www.astraeafoundation.org,N,"Astraea is a dynamic global foundation providing critically needed financial support to lesbian-led, trans, LGBTI and progressive organizations. Separated by continents, language and culture, Astraea grantees are seizing opportunities, and laying the groundwork necessary for women and LGBTI people to claim their human rights. Astraea staff, board, members and grantees all share a deep commitment to feminist principles, racial and economic justice and human rights.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Autism Society of America - Queens County Chapter,N,N,N,Y,N,,7184635735,http://www.autismsocietyofamerica.org,N,"The Autism Society is the leading voice and resource of the entire autism community in education, advocacy, services, research and support. The Autism Society is committed to meaningful participation and self-determination in all aspects of life for individuals on the autism spectrum and their families. The Autism Society accomplishes its ongoing mission through close collaboration with a successful network of chapters, members and supporters.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Baychester Youth Council,N,Y,N,N,N,,7183259484,http://www.baychesteryouth.org/index2.html,N,"BYC has grown to become one of the most successful programs in the Bronx, focusing on the needs of young people between the ages of 5 and 19, their parents and young adults who never received their high school degree. Our mission is to work in collaboration with parents, local schools, councils, civil service providers, healthcare facilities, and neighborhood volunteers to provide the academic, behavioral, occupational, and health service resources and referrals that economically-challenged families need to become healthy and successful.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Bedford Stuyvesant Restoration Corporation,Y,N,N,N,N,,7186366902,http://www.restorationplaza.org/,N,"Bedford Stuyvesant Restoration Corporation, the nation's first community development corporation, partners with residents and business to improve the quality of life of Central Brooklyn by fostering economic self sufficiency, enhancing family stability and growth, promoting the arts and culture and transforming the neighborhood into a safe, vibrant place to live, work and visit.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Be'er Hagolah Institutes,Y,N,N,N,N,,7186426800,,Y,,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Bellevue Hospital Rape Crisis,N,N,Y,N,N,,,http://www.nycagainstrape.org/resource_4.html,N,"24-hour 7 day a week rape crisis counselors in the Emergency Department.  Medical/forensic examination.  Psychiatirc evlauations, if needed. Criniminal justice advocacy, counseling.",N,,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
Bergen Basin Community Development Corp.,Y,N,N,N,N,,7184440101,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Bergen Beach Youth Organization, Inc.",Y,N,N,N,N,,7185316600,,Y,,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Betances Health Center,N,N,Y,N,N,2122278842,2122278401,http://www.betances.org,N,"Founded in 1970 as a grassroots mobile health unit bring urgently needed medical services to the Lower East Side's medically indigent and homeless, Betances Health Center remains committed to its mission of promoting quality health care as a basic right for all, regardless of ability to pay. Today, Betances has emerged as a leader in community based primary care, serving over 11,000 under-served patients each year. Our pioneering strategy of integrated care merges traditional Western medicine and specialty services with holistic treatments that are consonant with diverse health care beliefs and practices.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Beth Abraham Health Services,N,Y,N,N,N,,7185195870,http://www.bethabe.org/index1.html,N,"Beth Abraham Family of Health Services ranks among the nationâ€™s leading resources for long-term residential and community-based health care. A voluntary, nonprofit organization, Beth Abraham has made life better for tens of thousands of New Yorkers from all backgrounds and walks of life. It first opened its doors to the poor, chronically ill and disabled just after the First World War.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Bezalel Nursing Home,N,N,N,Y,N,7184712705,7184712600,,Y,,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Big Brothers/Big Sisters Inc. of NYC,N,N,Y,N,N,,2126862042,http://www.bigsnyc.org/,N,"The mission of Big Brothers Big Sisters of New York City is to provide mentors to all children who need caring adult role models--special friends who can help expand their horizons, realize their potential and enrich their futures--changing their lives. We seek to train community organizations in every neighborhood, empowering them to establish their own mentoring programs.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Big Five Block Association Inc.,Y,N,N,N,N,,7187748203,,Y,,N,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Bleuler Psychotherapy Center,N,N,N,Y,N,7182756062,7182756010,http://www.bleulerpsychotherapycenter.org/,,,,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Boro Park Jewish Community Council,Y,N,N,N,N,7189721060,7189726600,,N,"Employment is this communityâ€™s highest priority as the incidence of poverty due to large family size and cultural factors that influence career choices result in a great need for vocational guidance.  Borough Park JCC tailors services to the communityâ€™s residents, which include large Orthodox families, Russian Ã©migrÃ©s, young yeshiva graduates, returning homemakers, at-risk teens, single parents and women seeking remunerative part-time positions.  This JCC also serves as a gateway to a network of grassroots service providers for benefits and services, direct provision of medical referrals, services to Holocaust survivors, low-cost health care enrollment and youth services.",N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Boys & Girls Harbor, Inc",N,N,Y,N,N,,2124272244,http://www.boysandgirlsharbor.net/,N,"The mission of Boys & Girls Harbor is to empower children and their families to become full, productive participants in society through education, cultural enrichment and social services. The Harbor was founded in 1937 by Tony Duke as a small, innovative summer camp for disadvantaged immigrant children. Today, the Harbor is an outstanding organization providing education and character development for over 2,500 children coming from East Harlem, Harlem and the South Bronx each year. The Harbor was one of the first organizations to open a charter school in New York State, and in 2005 added the Emily N. Carey Harbor School to its educational core. Other Harbor programs include pre-school, after-school, literacy training, substance abuse prevention, college preparation, workforce readiness and a conservatory for the performing arts.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Breast Examination Center of Harlem,N,N,Y,N,N,2128641469,2125318030,http://www.mskcc.org/mskcc/html/8506.cfm,N,"Since its founding in 1979, the Breast Examination Center of Harlem (BECH) -- an outreach program of Memorial Sloan-Kettering Cancer Center -- has screened more than 118,000 women for breast cancer. BECH has an established reputation in the Harlem community for free, high-quality care offered by its professional staff.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Bridge to Life,N,N,N,Y,N,7184631813,7184631810,http://www.thebridgetolife.org/,N,"The Bridge to Life, Inc. is a non-judgmental, non-sectarian, and apolitical organization dedicated to offering women and men the resources they need to choose life! We help all who come to us regardless of faith, age, race, or marital status. We do this with counseling that is informative, compassionate and honest.",N,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Bronx Community Pride Center, Inc.",N,Y,N,N,N,,7182924368,http://bronxpride.org/,N,"The Bronx Community Pride Center is committed to nurturing and empowering members of our community to enjoy and realize their full potential. We provide direct social services, cultural sensitivity trainings, community education and a home to promote the health, education, social growth and well-being of the Bronx LGBT community.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Bronx Council On The Arts, Inc.",N,Y,N,N,N,,7189319500,http://www.bronxarts.org/,N,"Bronx Council on the Arts (BCA) is celebrating over 45 years as a private, non-profit membership organization that is the official cultural agency of Bronx County. Recognized nationally as a leading arts service organization in providing cultural services and arts programs, BCA serves a multicultural constituency in excess of 1.2 million residents. BCA provides an array of services to 5,000 artists and more than 250 arts and community-based organizations.",N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Brooklyn Child and Family Services, Inc.",Y,N,N,N,N,,7188758019,http://bcafs.org/,N,"Brooklyn Child and Family Services, Inc is a non-profit, community-based organization that offers a full range of comprehensive support services to empower underserved families, help them achieve self-sufficiency, and create an environment conducive to their childrenâ€™s healthy development.",N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Brooklyn Children's Museum,Y,N,N,N,N,,7187354402,http://www.brooklynkids.org/,N,,N,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
