BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
3-00235-0020,"135 WILLOW STREET
Brooklyn, NY
(40.69740233398337, -73.99576411619861)",BROOKLYN HEIGHTS,D4-ELEVATOR,112,1956,91416,1703080,18.63,719444,7.87,983636,7071000,77.35,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,555648,21.52,245668,9.52,309980,2273000,88.04,0.08,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.1,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,"9,972","185,778",18.63,"78,480",7.87,"107,298","771,000",77.32,0.10
3-00235-0028,"115 WILLOW STREET
Brooklyn, NY
(40.69778360983096, -73.99558124181017)",BROOKLYN HEIGHTS,D4-ELEVATOR,39,1927,49158,884844,18,413419,8.41,471425,3397000,69.1,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.1,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,9972,185778,18.63,78480,7.87,107298,771000,77.32,0.1,,, , , , , , , , , , , , , 
3-00235-0044,"130 HICKS STREET
Brooklyn, NY
(40.69767212842184, -73.9947443797477)",BROOKLYN HEIGHTS,D4-ELEVATOR,40,1958,22750,497770,21.88,206115,9.06,291655,2137000,93.93,3-00235-0046,"136 HICKS STREET
Brooklyn, NY
(40.697494602253265, -73.99482891601845)",BROOKLYN HEIGHTS,D9-ELEVATOR,46,1920,48414,1129535,23.33,395281,8.16,734254,5357000,110.65,0,3-00242-0018,"191 HICKS STREET
Brooklyn, NY
(40.69586019482132, -73.99552357285327)",BROOKLYN HEIGHTS,D9-ELEVATOR,19,1920,24528,500969,20.42,230440,9.39,270529,1932000,78.77,0.12,,, , , , , , , , , , , , , 
3-00236-0001,"160 HENRY STREET
Brooklyn, NY
(40.6957885814061, -73.99384687199503)",BROOKLYN HEIGHTS,D4-ELEVATOR,38,1924,66400,1437560,21.65,693880,10.45,743680,5038000,75.87,3-00237-0020,"145 HENRY STREET
Brooklyn, NY
(40.69629485915682, -73.99352357390737)",BROOKLYN HEIGHTS,D1-ELEVATOR,42,1922,40410,874770,21.65,377959,9.35,496811,3642000,90.13,0.09,,, , , , , , , , , , , , , ,,, , , , , , , , , , , , , 
3-00236-0011,"69 PIERREPONT STREET
Brooklyn, NY
(40.69570356216399, -73.994781270217)",BROOKLYN HEIGHTS,D4-ELEVATOR,40,1905,55284,1110103,20.08,445036,8.05,665067,4755000,86.01,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,555648,21.52,245668,9.52,309980,2273000,88.04,0,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.1,,, , , , , , , , , , , , , 
3-00236-0018,"187 HICKS STREET
Brooklyn, NY
(40.695970750245976, -73.99547245933154)",BROOKLYN HEIGHTS,D4-ELEVATOR,29,1936,48387,988063,20.42,481451,9.95,506612,3618000,74.77,3-00242-0018,"191 HICKS STREET
Brooklyn, NY
(40.69586019482132, -73.99552357285327)",BROOKLYN HEIGHTS,D9-ELEVATOR,19,1920,24528,500969,20.42,230440,9.39,270529,1932000,78.77,0.04,,, , , , , , , , , , , , , ,,, , , , , , , , , , , , , 
3-00236-0078,"175 HICKS STREET
Brooklyn, NY
(40.696410828601124, -73.9952681208108)",BROOKLYN HEIGHTS,D4-ELEVATOR,24,1900,18300,400404,21.88,165798,9.06,234606,1719000,93.93,3-00235-0046,"136 HICKS STREET
Brooklyn, NY
(40.697494602253265, -73.99482891601845)",BROOKLYN HEIGHTS,D9-ELEVATOR,46,1920,48414,1129535,23.33,395281,8.16,734254,5357000,110.65,0.05,3-00242-0018,"191 HICKS STREET
Brooklyn, NY
(40.69586019482132, -73.99552357285327)",BROOKLYN HEIGHTS,D9-ELEVATOR,19,1920,24528,500969,20.42,230440,9.39,270529,1932000,78.77,0.11,,, , , , , , , , , , , , , 
3-00236-0088,"145 HICKS STREET
Brooklyn, NY
(40.69723018013175, -73.99487795341527)",BROOKLYN HEIGHTS,D4-ELEVATOR,107,1935,113604,2485656,21.88,1029252,9.06,1456404,10670000,93.92,3-00235-0046,"136 HICKS STREET
Brooklyn, NY
(40.697494602253265, -73.99482891601845)",BROOKLYN HEIGHTS,D9-ELEVATOR,46,1920,48414,1129535,23.33,395281,8.16,734254,5357000,110.65,0.05,3-00242-0018,"191 HICKS STREET
Brooklyn, NY
(40.69586019482132, -73.99552357285327)",BROOKLYN HEIGHTS,D9-ELEVATOR,19,1920,24528,500969,20.42,230440,9.39,270529,1932000,78.77,0.11,,, , , , , , , , , , , , , 
3-00236-0112,"70 CLARK STREET
Brooklyn, NY
(40.6975315237587, -73.99344249363024)",BROOKLYN HEIGHTS,D4-ELEVATOR,48,1960,30610,570264,18.63,240901,7.87,329363,2233000,72.95,3-00237-0020,"145 HENRY STREET
Brooklyn, NY
(40.69629485915682, -73.99352357390737)",BROOKLYN HEIGHTS,D1-ELEVATOR,42,1922,40410,874770,21.65,377959,9.35,496811,3642000,90.13,0.09,3-00234-0043,"12 CLARK STREET
Brooklyn, NY
(40.69820259044586, -73.99584995322994)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1936,17184,239136,13.92,134809,7.85,104327,687000,39.98,0.09,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,"40,178","748,577",18.63,"316,121",7.87,"432,456","3,109,000",77.38,0.13
3-00237-0008,"161 HENRY STREET
Brooklyn, NY
(40.69578275505145, -73.99377259859254)",BROOKLYN HEIGHTS,D4-ELEVATOR,31,1906,51110,1106532,21.65,534100,10.45,572432,4196000,82.1,3-00237-0020,"145 HENRY STREET
Brooklyn, NY
(40.69629485915682, -73.99352357390737)",BROOKLYN HEIGHTS,D1-ELEVATOR,42,1922,40410,874770,21.65,377959,9.35,496811,3642000,90.13,0,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,555648,21.52,245668,9.52,309980,2273000,88.04,0.09,3-00235-0046,"136 HICKS STREET
Brooklyn, NY
(40.697494602253265, -73.99482891601845)",BROOKLYN HEIGHTS,D9-ELEVATOR,46,1920,"48,414","1,129,535",23.33,"395,281",8.16,"734,254","5,357,000",110.65,0.13
3-00237-0017,"153 HENRY STREET
Brooklyn, NY
(40.69603757485943, -73.9936485405661)",BROOKLYN HEIGHTS,D4-ELEVATOR,74,1928,49013,1061131,21.65,512186,10.45,548945,4024000,82.1,3-00237-0020,"145 HENRY STREET
Brooklyn, NY
(40.69629485915682, -73.99352357390737)",BROOKLYN HEIGHTS,D1-ELEVATOR,42,1922,40410,874770,21.65,377959,9.35,496811,3642000,90.13,0,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,555648,21.52,245668,9.52,309980,2273000,88.04,0.09,3-00235-0046,"136 HICKS STREET
Brooklyn, NY
(40.697494602253265, -73.99482891601845)",BROOKLYN HEIGHTS,D9-ELEVATOR,46,1920,"48,414","1,129,535",23.33,"395,281",8.16,"734,254","5,357,000",110.65,0.13
3-00238-0006,"123 PIERREPONT STREET
Brooklyn, NY
(40.695105553607, -73.99257293895238)",BROOKLYN HEIGHTS,C6-WALK-UP,14,1849,14905,336853,22.6,123562,8.29,213291,1559000,104.6,3-00254-0073,"124 REMSEN STREET
Brooklyn, NY
(40.69384504967015, -73.99373002116667)",BROOKLYN HEIGHTS,C1-WALK-UP,17,1900,14608,445398,30.49,111167,7.61,334231,4601000,314.96,0.22,3-00263-0045,"20 SIDNEY PLACE
Brooklyn, NY
(40.69240748219202, -73.99451263242155)",BROOKLYN HEIGHTS,C1-WALK-UP,26,1900,12024,436067,36.27,161687,13.45,274380,2023000,168.25,0.31,3-00243-0029,"90 PIERREPONT STREET
Brooklyn, NY
(40.695378933137825, -73.99381858206065)",BROOKLYN HEIGHTS,C1-WALK-UP,20,1900,"11,580","365,810",31.59,"115,524",9.98,"250,286","1,867,000",161.23,0.10
3-00238-0026,"22 MONROE PLACE
Brooklyn, NY
(40.69676497306161, -73.99230337688441)",BROOKLYN HEIGHTS,D4-ELEVATOR,53,1928,70645,2695813,38.16,1125375,15.93,1570438,11886000,168.25,3-00236-0103,"52 CLARK STREET
Brooklyn, NY
(40.69772678072211, -73.99415621237242)",BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2625082,33.04,1318324,16.59,1306758,9714000,122.25,0.14,3-00250-0030,"182 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D6-ELEVATOR,187,1999,182000,7877134,43.28,2312949,12.71,5564185,41924000,230.35,0.17,,, , , , , , , , , , , , , 
3-00238-0035,"10 CLINTON STREET
Brooklyn, NY
(40.69610047390438, -73.99158861159269)",BROOKLYN HEIGHTS,D4-ELEVATOR,121,1971,212656,3355712,15.78,1903271,8.95,1452441,9420000,44.3,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2896321,18.44,2093637,13.33,802684,5773000,36.76,0.13,3-02186-0001,"555 WYTHE AVENUE
Brooklyn, NY
(40.70503585779556, -73.96646089380278)",WILLIAMSBURG-CENTRAL,D3-ELEVATOR,647,1975,748308,10098934,13.5,5514178,7.37,4584756,30355000,40.56,1.64,,, , , , , , , , , , , , , 
3-00238-0065,"40 CLINTON STREET
Brooklyn, NY
(40.69537538413037, -73.99193192863936)",BROOKLYN HEIGHTS,D4-ELEVATOR,153,1964,116245,3091035,26.59,1174593,10.1,1916442,13858000,119.21,3-00236-0103,"52 CLARK STREET
Brooklyn, NY
(40.69772678072211, -73.99415621237242)",BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2625082,33.04,1318324,16.59,1306758,9714000,122.25,0.14,3-00221-0020,"80 CRANBERRY STREET
Brooklyn, NY
(40.69950947330707, -73.99261917815464)",BROOKLYN HEIGHTS,D6-ELEVATOR,137,1900,108780,2458853,22.6,985722,9.06,1473131,10766000,98.97,0.23,3-00237-0037,"115 HENRY STREET
Brooklyn, NY
(40.6972596752438, -73.99305494895084)",BROOKLYN HEIGHTS,D7-ELEVATOR,42,1921,"31,692","947,093",29.88,"376,744",11.89,"570,349","4,273,000",134.83,0.05
3-00241-0012,"57 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,128,1949,97938,1999894,20.42,974483,9.95,1025411,7323000,74.77,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,1261698,23.09,662715,12.13,598983,4356000,79.72,0.05,3-00242-0018,"191 HICKS STREET
Brooklyn, NY
(40.69586019482132, -73.99552357285327)",BROOKLYN HEIGHTS,D9-ELEVATOR,19,1920,"24,528","500,969",20.42,"230,440",9.39,"270,529","1,932,000",78.77,0.09
3-00242-0012,"103 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,26,1900,38760,924426,23.85,439151,11.33,485275,3534000,91.18,3-00242-0008,"111 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D7-ELEVATOR,33,1902,32000,793249,24.79,348516,10.89,444733,3232000,101,0,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,1261698,23.09,662715,12.13,598983,4356000,79.72,0.1,,, , , , , , , , , , , , , 
3-00247-0025,"62 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,43,1900,45000,1073250,23.85,509850,11.33,563400,3586000,79.69,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,1261698,23.09,662715,12.13,598983,4356000,79.72,0,3-00242-0008,"111 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D7-ELEVATOR,33,1902,32000,793249,24.79,348516,10.89,444733,3232000,101,0.1,,, , , , , , , , , , , , , 
3-00247-0027,"66 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C6-WALK-UP,11,1940,11750,265433,22.59,97878,8.33,167555,1033000,87.91,3-00243-0029,"90 PIERREPONT STREET
Brooklyn, NY
(40.695378933137825, -73.99381858206065)",BROOKLYN HEIGHTS,C1-WALK-UP,20,1900,11580,365810,31.59,115524,9.98,250286,1867000,161.23,0.19,3-00258-0048,"42 COLUMBIA PLACE
Brooklyn, NY
(40.69312873812375, -73.99863930586338)",BROOKLYN HEIGHTS,C1-WALK-UP,20,1900,11160,371988,33.33,122304,10.96,249684,1855000,166.22,0.22,3-00254-0073,"124 REMSEN STREET
Brooklyn, NY
(40.69384504967015, -73.99373002116667)",BROOKLYN HEIGHTS,C1-WALK-UP,17,1900,"14,608","445,398",30.49,"111,167",7.61,"334,231","4,601,000",314.96,0.16
3-00250-0014,"159 REMSEN STREET
Brooklyn, NY
(40.693471819540406, -73.99216535903378)",BROOKLYN HEIGHTS,D4-ELEVATOR,21,1930,20570,452951,22.02,146253,7.11,306698,2246000,109.19,3-00254-0081,"142 REMSEN STREET
Brooklyn, NY
(40.69367158124257, -73.99309397026552)",BROOKLYN HEIGHTS,D7-ELEVATOR,51,1936,41250,899903,21.82,437207,10.6,462696,3390000,82.18,0.15,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,1030973,22.21,391551,8.44,639422,4677000,100.78,0.15,,, , , , , , , , , , , , , 
3-00251-0055,"19 GRACE COURT
Brooklyn, NY
(40.69443172452173, -73.99807404603257)",BROOKLYN HEIGHTS,D4-ELEVATOR,33,1926,41028,701169,17.09,349148,8.51,352021,2453000,59.79,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.1,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,9972,185778,18.63,78480,7.87,107298,771000,77.32,0.1,,, , , , , , , , , , , , , 
3-00252-0008,"2 GRACE COURT
Brooklyn, NY
(40.69447915252656, -73.99845015025642)",BROOKLYN HEIGHTS,D4-ELEVATOR,144,1930,143418,1600233,11.16,412454,2.88,1187779,7659000,53.4,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.14,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,9972,185778,18.63,78480,7.87,107298,771000,77.32,0.14,,, , , , , , , , , , , , , 
3-00253-0057,"68 REMSEN STREET
Brooklyn, NY
(40.69443209486436, -73.99582927451584)",BROOKLYN HEIGHTS,D4-ELEVATOR,103,1928,66500,1535485,23.09,871815,13.11,663670,4845000,72.86,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,1030973,22.21,391551,8.44,639422,4677000,100.78,0.09,3-00254-0081,"142 REMSEN STREET
Brooklyn, NY
(40.69367158124257, -73.99309397026552)",BROOKLYN HEIGHTS,D7-ELEVATOR,51,1936,41250,899903,21.82,437207,10.6,462696,3390000,82.18,0.09,3-00275-0001,"200 CLINTON STREET
Brooklyn, NY
(40.69034763482251, -73.99434898464544)",BROOKLYN HEIGHTS,D7-ELEVATOR,94,1926,"73,032","1,704,846",23.34,"527,223",7.22,"1,177,623","8,592,000",117.65,0.21
3-00253-0061,"76 REMSEN STREET
Brooklyn, NY
(40.694344889027995, -73.99552316423308)",BROOKLYN HEIGHTS,D4-ELEVATOR,26,1923,29472,549063,18.63,231945,7.87,317118,2233000,75.77,3-00254-0081,"142 REMSEN STREET
Brooklyn, NY
(40.69367158124257, -73.99309397026552)",BROOKLYN HEIGHTS,D7-ELEVATOR,51,1936,41250,899903,21.82,437207,10.6,462696,3390000,82.18,0.09,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,9972,185778,18.63,78480,7.87,107298,771000,77.32,0.13,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,"40,178","748,577",18.63,"316,121",7.87,"432,456","3,109,000",77.38,0.13
3-00254-0001,"114 CLINTON STREET
Brooklyn, NY
(40.69311767301416, -73.99301044150174)",BROOKLYN HEIGHTS,D4-ELEVATOR,38,1924,48138,822678,17.09,409654,8.51,413024,2882000,59.87,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.19,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,9972,185778,18.63,78480,7.87,107298,771000,77.32,0.19,,, , , , , , , , , , , , , 
3-00254-0004,"151 JORALEMON STREET
Brooklyn, NY
(40.69292459192491, -73.9934433146168)",BROOKLYN HEIGHTS,C6-WALK-UP,20,1905,12450,333453,26.78,125927,10.11,207526,1500000,120.48,3-00254-0015,"129 JORALEMON STREET
Brooklyn, NY
(40.69308031492087, -73.9944522701856)",BROOKLYN HEIGHTS,C1-WALK-UP,15,1900,7917,265267,33.51,70084,8.85,195183,1450000,183.15,0,3-00249-0029,"136 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C7-WALK-UP,12,1900,7842,241223,30.76,32921,4.2,208302,1557000,198.55,0.07,3-00249-0026,"130 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C7-WALK-UP,11,1900,"7,569","420,079",55.50,"137,495",18.17,"282,584","2,107,000",278.37,0.07
3-00254-0019,"245 HENRY STREET
Brooklyn, NY
(40.69315247111073, -73.99503039651863)",BROOKLYN HEIGHTS,D4-ELEVATOR,56,1957,58803,995535,16.93,529815,9.01,465720,3300000,56.12,3-00265-0006,"59 LIVINGSTON STREET
Brooklyn, NY
(40.691765672845165, -73.99190984647106)",BROOKLYN HEIGHTS,D1-ELEVATOR,43,1917,63224,1158493,18.32,561427,8.88,597066,4296000,67.95,0.15,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,9972,185778,18.63,78480,7.87,107298,771000,77.32,0.19,,, , , , , , , , , , , , , 
3-00255-0025,"99 CLINTON STREET
Brooklyn, NY
(40.69318493027044, -73.99290087587642)",BROOKLYN HEIGHTS,C6-WALK-UP,11,1900,25900,436771,16.86,194860,7.52,241911,1750000,67.57,3-00249-0030,"138 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C7-WALK-UP,26,1960,16334,707275,43.3,192030,11.76,515245,3882000,237.66,0.11,3-00258-0017,"10 COLUMBIA PLACE
Brooklyn, NY
(40.69357635781805, -73.99842615362799)",BROOKLYN HEIGHTS,C7-WALK-UP,166,1900,104370,1951734,18.7,957290,9.17,994444,7148000,68.49,0.39,3-00226-0031,"71 PINEAPPLE STREET
Brooklyn, NY
(40.69833858136505, -73.99348562400004)",BROOKLYN HEIGHTS,C7-WALK-UP,18,1900,"11,110","285,749",25.72,"118,877",10.70,"166,872","1,209,000",108.82,0.39
3-00258-0106,"65 ATLANTIC AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C6-WALK-UP,16,1900,6920,161582,23.35,61519,8.89,100063,730000,105.49,3-00276-0029,"168 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C1-WALK-UP,14,1905,7185,187723,26.13,69417,9.66,118306,856000,119.14,0.36,3-00235-0061,"158 HICKS STREET
Brooklyn, NY
(40.69684367293235, -73.99513888236173)",BROOKLYN HEIGHTS,C1-WALK-UP,12,1855,6345,196697,31,65523,10.33,131174,980000,154.45,0.37,3-00230-0011,"104 HICKS STREET
Brooklyn, NY
(40.698523237732125, -73.99433285828702)",BROOKLYN HEIGHTS,C1-WALK-UP,14,1840,"6,750","220,851",32.72,"79,356",11.76,"141,495","1,052,000",155.85,0.47
3-00259-0047,"30 WILLOW PLACE
Brooklyn, NY
(40.693145764041404, -73.99786351412581)",BROOKLYN HEIGHTS,C6-WALK-UP,15,1900,13925,391929,28.15,148882,10.69,243047,1749000,125.6,3-00234-0050,"112 WILLOW STREET
Brooklyn, NY
(40.697807683421395, -73.99564663748255)",BROOKLYN HEIGHTS,C1-WALK-UP,12,1900,9450,258657,27.37,92490,9.79,166167,1155000,122.22,0.32,3-00274-0035,"88 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C1-WALK-UP,14,1910,9504,276265,29.07,91761,9.65,184504,1385000,145.73,0.13,,, , , , , , , , , , , , , 
3-00261-0018,"277 HICKS STREET
Brooklyn, NY
(40.693118169056, -73.99682619349038)",BROOKLYN HEIGHTS,C6-WALK-UP,18,1960,24925,631993,25.36,248639,9.98,383354,2780000,111.53,3-00261-0001,"315 HICKS STREET
Brooklyn, NY
(40.691889085184094, -73.99743375199523)",BROOKLYN HEIGHTS,C1-WALK-UP,7,1915,6655,195258,29.34, , ,195258,816000,122.61,0,3-00249-0030,"138 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C7-WALK-UP,26,1960,16334,707275,43.3,192030,11.76,515245,3882000,237.66,0.2,3-00262-0008,"75 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C1-WALK-UP,14,1900,"7,425","280,101",37.72,"83,728",11.28,"196,373","1,487,000",200.27,0.04
