DEVELOPMENT NAME,BUILDING NUMBER,STAIR HALL NUMBER,ADDRESS,BOROUGH_CODE,CITY,ZIP CODE,NEW TENANT DATA SYSTEM,FACILITY,COMMENTS,MONTH,YEAR
RED HOOK EAST,28,86,598 CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #9),FP,December,2012
RED HOOK EAST,28,86,588 CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #1),FP,December,2012
RED HOOK EAST,28,86,590 CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #3),FP,December,2012
RED HOOK EAST,28,86,596 CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #8),FP,December,2012
RED HOOK EAST,28,86,592 CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #4),FP,December,2012
RED HOOK EAST,28,86,594A CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #7),FP,December,2012
RED HOOK EAST,29,87,447 COLUMBIA STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #14),FP,December,2012
RED HOOK EAST,29,87,445 COLUMBIA STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #12),FP,December,2012
RED HOOK EAST,29,87,443 COLUMBIA STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #11),FP,December,2012
RED HOOK EAST,29,87,441 COLUMBIA STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #10),FP,December,2012
RED HOOK EAST,29,87,449 COLUMBIA STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #15),FP,December,2012
RED HOOK EAST,29,87,445A COLUMBIA STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #13),FP,December,2012
BUSHWICK II (GROUPS B & D),51,94,422 CENTRAL AVENUE,3,BROOKLYN,11221,303,COMMUNITY CENTER,CO,December,2012
RED HOOK WEST,3,95,6 WOLCOTT STREET,3,BROOKLYN,11231,79,SENIOR CENTER,CO,December,2012
BREUKELEN,31,95,715 EAST 105TH STREET,3,BROOKLYN,11236,56,COMMUNITY CENTER/ HEAD START CENTER,CO,December,2012
BREUKELEN,31,96,717 EAST 105TH STREET,3,BROOKLYN,11236,56,DAY CARE CENTER,CO,December,2012
RED HOOK EAST,26,100,110 WEST 9TH STREET,3,BROOKLYN,11231,4,COMMUNITY CENTER,CO,December,2012
RED HOOK EAST,27,101,120 WEST 9TH STREET,3,BROOKLYN,11231,4,HEAD START CENTER,CO,December,2012
WILLIAMSBURG,16,108,138 BUSHWICK AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #40 TO 42),FP,December,2012
WILLIAMSBURG,16,108,136 BUSHWICK AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #40 TO 42),FP,December,2012
WILLIAMSBURG,16,110,128 BUSHWICK AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #37 TO 39),FP,December,2012
WILLIAMSBURG,16,110,130 BUSHWICK AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #37 TO 39),FP,December,2012
WILLIAMSBURG,16,110,134 BUSHWICK AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #40 TO 42) IS USED AS A COMMUNITY OPERATIONS SPACE (VACANT),"CO, FP",December,2012
WILLIAMSBURG,16,110,132 BUSHWICK AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #37 TO 39),FP,December,2012
WILLIAMSBURG,16,111,122 BUSHWICK AVENUE,3,BROOKLYN,11206,2,"COMMERCIAL SPACE (STORES #35, 36)",FP,December,2012
WILLIAMSBURG,16,111,124 BUSHWICK AVENUE,3,BROOKLYN,11206,2,"COMMERCIAL SPACE (STORES #35, 36)",FP,December,2012
HOWARD AVENUE-PARK PLACE,1,112,1767B STERLING PLACE,3,BROOKLYN,11233,365,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
POMONOK,35,121,70-30 PARSONS BOULEVARD,4,FLUSHING,11365,53,QUEENS COMMUNITY OPERATIONS OFFICE,BO,December,2012
WILLIAMSBURG,20,133,178 BUSHWICK AVENUE,3,BROOKLYN,11206,2,"COMMERCIAL SPACE (STORES #32, 33)",FP,December,2012
WILLIAMSBURG,20,134,176 BUSHWICK AVENUE,3,BROOKLYN,11206,2,"COMMERCIAL SPACE (STORES #32, 33)",FP,December,2012
WILLIAMSBURG,20,134,172 BUSHWICK AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #34),FP,December,2012
WILLIAMSBURG,21,137,195 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMUNITY CENTER,CO,December,2012
PENNSYLVANIA AVENUE-WORTMAN AVENUE,4,,530 STANLEY AVENUE,3,BROOKLYN,11207,194,PUBLIC SCHOOL #4,CO,December,2012
NON DEVELOPMENT FACILITY,,,140 RICHMOND TERRACE,5,STATEN ISLAND,10301,,STATEN ISLAND COMMUNITY OPERATIONS OFFICE,BO,December,2012
572 WARREN STREET,,,590 WARREN STREET,3,BROOKLYN,11217,196,COMMERCIAL SPACE PARKING LOT,FP,December,2012
NON DEVELOPMENT FACILITY,,,1200 WATERS PLACE,2,BRONX,10461,,BRONX COMMUNITY OPERATIONS OFFICE/ NYCHA SOCIAL SERVICES OFFICE,BO,December,2012
INGERSOLL,,,BED OF FLEET STREET,3,BROOKLYN,11201,14,COMMERCIAL SPACE PARKING LOT,FP,December,2012
VLADECK II,,,NORTH BED OF MONROE STREET,1,NEW YORK,,7,COMMERCIAL SPACE PARKING LOT,FP,December,2012
