"Borough, Block and Lot #",Facility Address,Natural Gas Utility (Con Edison or National Grid,Building Manager,Owner,Owner Address,DEP Boiler Application #,Deadline for phasing out #6 oil (i.e. data of next DEP permit renewal after July 1 2012),Boiler Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Estimated retirement date of boiler (assuming 35 year average useful life),Is boiler dual fuel capable?,Age range of boiler,Burner Model,Primary Fuel,Total Estimated Cosumption - High Estimate (Gallons) ,Total Estimated Cosumption - Low Estimate (Gallons) ,Total Estimated Cosumption - High Estimate (MMBTUs) ,Total Estimated Cosumption - Low Estimate  (MMBTUs) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,City Council District,Total area of buildings on lot,Number of buildings on property (tax lot),Number of floors,Number of residential units,Number of total units,Year constructed,Condominium housing?,Cooperative housing?
4053740007,"41 69 PARSONS BOULEVARD
Queens, NY 11355
(40.7512997969481, -73.82147854789662)",Con Edison,"LYSBETH REALTY ASSOCIATES, LLC ",LYSBETH REALTY ASSOCI,"98 CUTTERMILL RD
BRONX, NY 11020
(40.77101195413843, -73.7127025768624)",CA194896R,7/7/05,ROCKMILLS MP-125,1,5.25,1996,2031,DUAL FUEL,11 to 15 years old,I.C. MMG-54 P,#4,28125,19688,4078,2855,Yes,2014,Elevator Apartments,20,53914,1,4,58,58,1929, , 
4006400004,"35 37 36 STREET
Queens, NY 11106
(40.761699790013324, -73.9316632529567)",Con Edison,"STLC 36TH STREET, LLC",STLC 36TH ST. LLC,"35 11 36 STREET
LONG ISL CITY, NY 11106
(40.761699790013324, -73.9316632529567)",CB410203P,7/6/05,FEDERAL FST-125 (NEW),1,4.18,2003,2038,DUAL FUEL,5 to 10 years old,INDUSTRIAL COMBUSTION MMG-54P (NEW),#4,28125,19688,4078,2855,Yes,2020,Elevator Apartments,26,65904,1,6,0,9,1930, , 
4014570018,"35 34 84 STREET
Queens, NY 11372
(40.75163073936716, -73.88361254528269)",National Grid,35-34 84TH ST.OWNERS INC.,35 34 84 ST OWNRS INC,"8 HAVEN AVENUE
PORT WASHINGTON, NY 11050-3636
(40.83002042742117, -73.6882308448194)",CA315383J,7/6/05,ROCKMILLS MP-125,1,5.3,1983,2018, ,26 to 30 years old,ICI DEG-54(P),#6,28125,19688,4219,2953,Yes,2017,Elevator Apartments,25,78378,1,6,70,70,1930, ,YES
4001600029,"43 06 46 STREET
Queens, NY 11104
(40.74489336663561, -73.92054134530679)",Con Edison,43-06 46 ASSOCIATES LLC,43-06 46TH STREET ASS,"445 PARK AVENUE
MANHATTAN, NY 10022
(40.76156537367167, -73.97059102179936)",CA213889J,7/6/05,FEDERAL FST100,1,4.2,1989,2024, ,21 to 26 years old,ICI ME 42 P,#6,28000,19600,4200,2940,Yes,2020,Elevator Apartments,26,53500,1,6,55,60,1930, , 
4033530059,"80 40 LEFFERTS BLVD
Queens, NY 11415
(40.708286075142325, -73.82855612156771)",National Grid,KEWCOURT CORP. % SIREN MGMT.,KEW COURT CORP,"40 EXCHANGE PLACE
NEW YORK, NY 10005
(40.70574493861897, -74.0098106474021)",CB144507Z,7/6/05,BEST 5B - 90 (NEW) ,1,3,2007,2042,DUAL FUEL,Fewer than 5 years old,ICI DEG - 42P (NEW),#6,27923,19546,4188,2932,Yes,2013,Walk-Up Apartments,29,67810,1,6,48,48,1930, , 
4050420057,"133 33 SANFORD AVENUE
Queens, NY 11355
(40.7512997969481, -73.82147854789662)",Con Edison,MPJ REALTY.,YISHI HUANG,"144 53 35 AVE
FLUSHING, NY 11354
(40.76862022064671, -73.82719028070687)",CA207098M,7/4/05,ROCKMILLS  MP-90,1,3.57,1998,2033,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB. DEG-42 P,#6,27923,19546,4188,2932,,,Elevator Apartments,20,49532,1,6,47,47,1935, , 
4001890014,"43 23 40 STREET
Queens, NY 11104
(40.74489336663561, -73.92054134530679)",Con Edison,"QPI-XXIII, LLC % VANTAGE MGMT",QPI-XXIII LLC,"31 10 37 AVENUE
L I C, NY 11101
(40.74570244980828, -73.93866902925225)",CB184907J,7/6/05,FEDERAL FST - 90 (NEW),1,3,2007,2042,DUAL FUEL,Fewer than 5 years old,ICI DEG - 42P (NEW),#6,27923,19546,4188,2932,Yes,2019,Elevator Apartments,26,52000,1,6,74,74,1930, , 
4001900025,"43 08 40 STREET
Queens, NY 11104
(40.74489336663561, -73.92054134530679)",Con Edison,QPI-XXIV LLC % VANTAGE MGMT,QPI-XXIV LLC,"60 69 WOODHAVEN BLVD
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)",CB184207M,7/6/05,FEDERAL FST - 90 (NEW),1,3,2007,2042,DUAL FUEL,Fewer than 5 years old,ICI DEG - 42P (NEW),#6,27923,19546,4188,2932,Yes,2020,Elevator Apartments,26,53000,1,6,71,71,1931, , 
4047460035,"17 08 160 STREET
Queens, NY 11357
(40.78628404147537, -73.81123206101074)",Con Edison,CLEARVIEW GARDENS OWNERS CORP.,CLEARVIEW GARDENS FIF,"160 70 WILLETS POINT BLVD
WHITESTONE, NY 11357
(40.78628404147537, -73.81123206101074)",CB078303Y,7/4/05,H. B. SMITH (EXTSG)  450-W-20,1,4.12,2003,2038,DUAL FUEL,5 to 10 years old,INDUSTRIAL COMBUSTION DEG-42 (P),#6,27612,19328,4142,2899,,,Walk-Up Apartments,19,32216,2,2,36,36,1951, , 
4047670001,"163 01 17 AVENUE
Queens, NY 11357
(40.78628404147537, -73.81123206101074)",Con Edison,CLEARVIEW GARDENS OWNRES CORP.,CLEARVIEW GARDENS FIF,"160 70 WILLETS POINT BLVD
WHITESTONE, NY 11357
(40.78628404147537, -73.81123206101074)",CB253102P,7/4/05,(EXISTING)HB SMITH-450-LS20,1,4.12,2002,2037,DUAL FUEL,5 to 10 years old,(NEW) IC - DEG-42(P),#6,27612,19328,4142,2899,,,Elevator Apartments,19,26272,2,2,32,32,1951, , 
4008900091,"23 06 21 STREET
Queens, NY 11105
(40.780092072491186, -73.90960650023976)",Con Edison,"QUINN,MATTHEW","QUINN, MATTHEW","416 FLORAL PARK
NY 11002
(40.72640100040587, -73.70838099988322)",CA356786P,7/6/05, EDERAL FST-90,1,3.8,1986,2021, ,21 to 26 years old,IND. COMB DEG-42 P,#6,27612,19328,4142,2899,Yes,2020,Loft Buildings,22,50100,1,6,59,59,1929, , 
4015070005,"81 14 BAXTER AVENUE
Queens, NY 11373
(40.73871040256307, -73.87835115518163)",National Grid,81-14 BAXTER AVE/NCR RL.EST IN,81 14 BAXTER AVE REAL,"39 18 63 STREET
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)",CA212771J,7/4/05,PACIFIC 47L1,1,2.1,1971,2010, ,36 - 40 year old,PETRO WD4AH,#4,27375,19162,3969,2779,,,Elevator Apartments,25,32947,1,6,51,51,1963, , 
4000550033,"11 24 46 AVENUE
Queens, NY 11101
(40.74570244980828, -73.93866902925225)",Con Edison,"11-24 REALTY, LLC",1124 REALTY LLC,"630434 LITTLE NECK
NY 11363
(40.772398418252465, -73.74679788741253)",CB185207L,7/7/05,FEDERAL FST - 60 (EXSTG),1,2,2007,2042,DUAL FUEL,Fewer than 5 years old,ICI MMG - 28 (NEW),#4,27010,18907,3916,2742,,,Walk-Up Apartments,26,28064,1,4,39,39,1923, , 
4000550017,"11 15 46 ROAD
Queens, NY 11101
(40.74570244980828, -73.93866902925225)",Con Edison,COOPER REALTY  LLC,COOPER REALTY LLC,"4716 44TH STREET
WOODSIDE, NY 11377-6346
(40.7410321595772, -73.92103626339984)",CA106485J,7/4/05,FEDERAL 7290-FM,1,2.5,1985,2020, ,21 to 26 years old,I.C.I. MMG-30,#4,27010,18907,3916,2742,,,Walk-Up Apartments,26,28064,1,4,39,39,1931, , 
4002840001,"48 34 VAN DAM STREET
Queens, NY 11101
(40.74570244980828, -73.93866902925225)",Con Edison,NATIONAL BRAID MFG,L.A.S. 48-18 REALTY L,"48 34 VAN DAM STREET
LONG ISLND CITY, NY 11101
(40.74570244980828, -73.93866902925225)",CA012880M,7/5/05,SPENCER 4F-227-45,1,2.6,1980,2015, ,26 to 30 years old,HEV-E-OIL AM 4 3/4CM,#4,27010,18907,3916,2742,Yes,2014,Elevator Apartments,26,53800,1,2,0,1,1928, , 
4064850003,"69 12 140 STREET
Queens, NY 11367
(40.730323085042414, -73.82610630716033)",National Grid,JOYCE EQUITIES,"NEUFELD, CAROL","138 39 JEWEL AVENUE
FLUSING, NY 11367
(40.730323085042414, -73.82610630716033)",CA027289R,7/5/05,FEDERAL FST-80,1,3.43,1989,2024, ,21 to 26 years old,ICI MMG-34P,#4,27000,18900,3915,2740,Yes,2015,Elevator Apartments,24,264380,12,3,312,312,1950, ,YES
4064850003,"69 09 138 STREET
Queens, NY 11367
(40.730323085042414, -73.82610630716033)",National Grid,JOYCE EQUITIES INC.,"NEUFELD, CAROL","138 39 JEWEL AVENUE
FLUSHING, NY 11367
(40.730323085042414, -73.82610630716033)",CA026989N,7/5/05,FEDERAL FST 80,1,3.43,1989,2024, ,21 to 26 years old,ICI MMG-34P,#4,27000,18900,3915,2740,Yes,2015,Office Buildings,24,264380,12,3,312,312,1950, ,YES
4006080029,"34 06 32 STREET
Queens, NY 11106-2759
(40.75907900009594, -73.92665200028944)",Con Edison,3406 32ND STREET LLC,3406 32 STREET,"37 08 28 AVENUE
N Y 11103-4248
(40.76615499995347, -73.9151860003335)",CB225401L,7/6/05,FEDERAL FST-80,1,3.36,2001,2036,DUAL FUEL,5 to 10 years old,ICI  MMG-34 P,#4,26828,18780,3890,2723,,,Educational Structures,26,36560,1,4,50,50,1926, , 
4031090037,"63 53 HARING STREET
Queens, NY 11374
(40.72646491702238, -73.86148084756303)",National Grid,CARLTON DEVELOPMENT CORP,CARLTON DEVELOPMENT C,"95 25 QUEENS BLVD SUITE 724T2
N Y 11374
(40.72646491702238, -73.86148084756303)",CB110202K,7/7/05,BEST 5B-80,1,3.36,2002,2037,DUAL FUEL,5 to 10 years old,ICI  MMG-34 P,#4,26828,18780,3890,2723,Yes,2019,Elevator Apartments,29,63000,1,6,58,58,1941, , 
4003680008,"37 27 CRESCENT STREET
Queens, NY 11101
(40.74570244980828, -73.93866902925225)",Con Edison,MANOR  MGMT LLC. SA,SHERMAN PARTNERS LLC,"5114 FT HAMILTON PARKWAY
BROOKLYN, NY 11219
(40.637343385949755, -73.99925479861427)",CA137399P,7/7/05,FEDERAL FST-80,1,3.43,1999,2034,DUAL FUEL,11 to 15 years old,I.C.I. MMG-34 P,#4,26828,18780,3890,2723,,,Elevator Apartments,26,16835,1,5,30,30,1917, , 
4050130031,"37 04 PARSONS BOULEVARD
Queens, NY 11354
(40.76862022064671, -73.82719028070687)",Con Edison,ORIN MANAGEMENT CORP.,37-04 ASSOCIATES LLC,"1168 FLUSHING
NY 11354
(40.76862022064671, -73.82719028070687)",CA116498H,7/5/05,FEDERAL FST-80,1,3.43,1998,2033,DUAL FUEL,11 to 15 years old,I.C. MMG-34 P,#4,26828,18780,3890,2723,,,Elevator Apartments,20,43000,1,6,42,42,1957, , 
4067930126,"71 22 PARSONS BOULEVARD
Queens, NY 11365
(40.73987184371066, -73.79462153515567)",Con Edison,POMONOK CREST APTS CO.,"POMONOK, L.L.C.,","95 25 QUEENS BOULEVARD
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)",CB182802J,7/5/05,BEST 4B80,1,3.43,2002,2037,DUAL FUEL,5 to 10 years old,ICI MMG-34P,#4,26828,18780,3890,2723,Yes,2013,Elevator Apartments,24,147558,95,2,180,180,1952, , 
4067930126,"154 36 71 AVENUE
Queens, NY 11367
(40.730323085042414, -73.82610630716033)",National Grid,POMONOK CREST APTS&PRINCETON MGMT,"POMONOK, L.L.C.,","95 25 QUEENS BOULEVARD
N Y 11379
(40.71679766547993, -73.87933421310339)",CB012001M,7/6/05,BEST 4B 80,1,3.36,2001,2036,DUAL FUEL,5 to 10 years old,ICI  MMG-34 P,#4,26828,18780,3890,2723,Yes,2013,Elevator Apartments,24,147558,95,2,180,180,1952, , 
4012210015,"37 06 69 STREET
Queens, NY 11377
(40.74519376448069, -73.9048471440804)",National Grid,"STRATHMORE GROUP,LLC",STRATHMORE GROUP LLC,"37 06 69 th STREET
N Y 11377
(40.74519376448069, -73.9048471440804)",CB101700K,7/5/05,FEDERAL FST 80,1,3.36,2000,2035,DUAL FUEL,5 to 10 years old,ICI   MMG-34 P,#4,26828,18780,3890,2723,,,Walk-Up Apartments,26,44382,1,6,54,54,1930, , 
4005870004,"32 79 30 STREET
Queens, NY 11106
(40.761699790013324, -73.9316632529567)",Con Edison,YANNI REALTY CORP.,YANNI REALTY CORP,"35 20 30 AVENUE
LONG ISL CITY, NY 11103
(40.76286893025696, -73.91327185810974)",CB704405K,7/7/05,FEDERAL   FST-80 (NEW),1,2.6,2005,2040,DUAL FUEL,5 to 10 years old,INDUSTRIAL COMBUSTION MMG-34P (NEW),#4,26828,18780,3890,2723,,,Elevator Apartments,22,43070,1,6,54,54,1930, , 
4088920071,"96 01 JAMAICA AVENUE
Queens, NY 11421
(40.69176458756573, -73.85702228584978)",National Grid,96-01 JAMAICA REALTY CORP.,970 MANAGEMENT LLC,"96 01 JAMAICA AVENUE
WOODHAVEN, NY 11421
(40.69176458756573, -73.85702228584978)",CA059387R,7/6/05,FEDERAL FMA 3036,1,10.36,1987,2022, ,21 to 26 years old,INDUSTRIAL COMBUSTION DEG 105 S,#4,26640,18648,3863,2704,,,Elevator Apartments,30,37750,1,2,0,0,1924, , 
4014760052,"37 43 88 STREET
Queens, NY 11372
(40.75163073936716, -73.88361254528269)",National Grid,RIKA MANAGEMENT CORP.,RIKA MGMT CORP,"31 15 90TH ST
E ELMHURST, NY 11369
(40.76341327370369, -73.8723788986672)",CA213385X,7/4/05,ROCKMILLS MP-100,1,4.1,1985,2020, ,21 to 26 years old,ICI DEG 42P,#6,26500,18550,3975,2782,,,Elevator Apartments,21,45532,1,6,53,53,1929, , 
4001860042,"41 48 40 STREET
Queens, NY 11104
(40.74489336663561, -73.92054134530679)",Con Edison,CONSCIOUS AFFLUENT REAL EST. LLC,CONSCIOUS AFFLUENT RE,"4372 SUNNYSIDE
NY 11104-0372
(40.74489336663561, -73.92054134530679)",CA527586Y,7/6/05,BEST 4B-80,1,3.1,1986,2021, ,21 to 26 years old,I.C.I. MMG-34 P,#4,26280,18396,3811,2667,,,Elevator Apartments,26,35000,1,5,50,55,1929, , 
4077480500,"75 34 BELL BOULEVARD
Queens, NY 11364
(40.745924680379744, -73.75790275560763)",National Grid,INSIGNIA RESIDENTIAL GRP.,SYLVIA Y. RODMAN,"675 3 AVENUE
NY, NY 10017
(40.75129610835038, -73.97404990585339)",CA142871X,7/6/05,PACIFIC 60L1,2,6.3,1971,2010, ,36 - 40 year old,ENTERPRISE ALPC SIZE H3,#6,26000,18200,3900,2730,Yes,2018,Walk-Up Apartments,23,644836,13,6,567,567,1965, ,YES
4050230045,"143 25 41 AVENUE
Queens, NY 11355
(40.7512997969481, -73.82147854789662)",Con Edison,PHYLLIS SIRULNICK REALTY,PHYLLIS SIRULNICK RLT,"505 CHESTNUT STREET
CEDARHURST, NY 11516
(40.62281026909443, -73.72490656996541)",CA231269H,7/5/05,FEDERAL FLW 2125,1,7,1969,2010, ,41 - 45 years old,SUPERIOR BRVH-5,#6,26000,18200,3900,2730,Yes,2013,Elevator Apartments,20,98564,1,6,110,113,1963, , 
4051860046,"42 60 BOWNE STREET
Queens, NY 11355
(40.7512997969481, -73.82147854789662)",Con Edison,BOWNE REALTY LLC,BOWNE REALTY LLC,"43 43 KISSENA BLVD
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)",CB015507R,7/5/05,FEDERAL FST - 80 (NEW),1,2.6,2007,2042,DUAL FUEL,Fewer than 5 years old,ICI MEG - 34P (NEW),#4,25828,18080,3745,2622,,,Walk-Up Apartments,20,44800,1,6,55,55,1916, , 
4015690037,"91 15 LAMONT AVENUE
Queens, NY 11373
(40.73871040256307, -73.87835115518163)",National Grid,91-15 LAMONT AVENUE APT. INC.,GUI MING LIN,"176 48 80 ROAD
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)",CB153408Z,7/7/05,BEST 4C - 125 (NEW),1,4.1,2008,2043,DUAL FUEL,Fewer than 5 years old,ICI DEG - 54P (NEW),#6,25800,18060,3870,2709,Yes,2019,Elevator Apartments,21,61896,1,6,80,80,1962, ,YES
4108140008,"224 10 JAMAICA AVENUE
Queens, NY 11428
(40.721396964798146, -73.74193729726841)",National Grid, WASSERMAN REAL ESTATE,224-10 JAMAICA REALTY,"145 HUGUENOT ST
NEW ROCHELLE, NY 10801
(40.91319235913511, -73.77945045104241)",CA289169M,7/5/05,PACIFIC 60L2,1,7.42,1969,2010, ,41 - 45 years old,PETRO WD6AH,#6,25550,17885,3832,2683,Yes,2014,Elevator Apartments,23,81900,1,6,94,94,1963, , 
4083050010,"245 05 62 AVENUE
Queens, NY 11362
(40.759074216601846, -73.73430017711144)",Con Edison,FIRST BEECH HILLS CORP.,SOL GOLDMAN INVESTME,"245 05 62TH AVE
DOUGLASTON, NY 11362
(40.759074216601846, -73.73430017711144)",CA099986P,7/5/05,FEDERAL FST-60 HW,2,4.6,1986,2021, ,21 to 26 years old,IND. COMB.  MMG-28,#4,25550,17885,3705,2593,Yes,2015,Walk-Up Apartments,23,90518,52,2,100,100,1953, ,YES
4082760010,"57 49 244 STREET
Queens, NY 11362
(40.759074216601846, -73.73430017711144)",Con Edison,SECOND  BEACH HILLS CORP.,PLAZA INVESTMENTS,"57 28 246TH CRESCENT
DOUGLASTON, NY 11362
(40.759074216601846, -73.73430017711144)",CA102886M,7/5/05,FEDERAL FST-60 HW,2,4.6,1986,2021, ,21 to 26 years old,ICI MMG 28,#4,25550,17885,3705,2593,Yes,2016,Walk-Up Apartments,23,109562,60,2,120,120,1953, ,YES
4082760010,"246 02 57 DRIVE
Queens, NY 11362
(40.759074216601846, -73.73430017711144)",Con Edison,SECOND BCH HILLS CORP.,PLAZA INVESTMENTS,"57 28 246TH CRESCENT
DOUGLASTON, NY 11362
(40.759074216601846, -73.73430017711144)",CA100386R,7/5/05,FEDERAL  FST-60,2,4.6,1986,2021, ,21 to 26 years old,IND. COMB. MMG-28,#4,25550,17885,3705,2593,Yes,2016,Walk-Up Apartments,23,109562,60,2,120,120,1953, ,YES
4082760002,"242 41 61 AVENUE
Queens, NY 11362
(40.759074216601846, -73.73430017711144)",Con Edison,SECOND BEECH HILLS CORP.,"MAGGIO, JO-ANN F","57 28 246TH CRESCENT
DOUGLASTON, NY 11362
(40.759074216601846, -73.73430017711144)",CA099886H,7/5/05,FEDERAL FST-60 HW,2,4.6,1986,2021, ,21 to 26 years old,IND.COMB.  MMG-28,#4,25550,17885,3705,2593,Yes,2016,Elevator Apartments,23,149406,88,2,168,168,1953, ,YES
4082760002,"242 50 HORACE HARDING EXPRESSWAY
Queens, NY 11362
(40.759074216601846, -73.73430017711144)",Con Edison,SECOND BEECH HILLS CORP.,"MAGGIO, JO-ANN F","57 28 246TH CRESCENT
DOUGLASTON, NY 11362
(40.759074216601846, -73.73430017711144)",CA103286N,7/5/05,FEDERAL FST-60 HW,2,4.6,1986,2021, ,21 to 26 years old,IND.COMB.  MMG-28,#4,25550,17885,3705,2593,Yes,2016,Cultural & Public Assembly,23,149406,88,2,168,168,1953, ,YES
4082760030,"58 54 246 CRESCENT
Queens, NY 11362
(40.759074216601846, -73.73430017711144)",Con Edison,THIRD BEECH HILLS CORP.,SOL GOLDMAN INVESTME,"57 24 246TH CRESCENT
DOUGLASTON, NY 11362
(40.759074216601846, -73.73430017711144)",CA103186X,7/5/05,FEDERAL  FST-60,2,4.6,1986,2021, ,21 to 26 years old,IND. COMB. MMG-28,#4,25550,17885,3705,2593,Yes,2016,Elevator Apartments,23,103032,58,2,116,116,1953, ,YES
4082760020,"57 43 246 CRESCENT
Queens, NY 11362
(40.759074216601846, -73.73430017711144)",Con Edison,THIRD BEECH HILLS CORP.,"REILLY, JASON V","57 28 246TH CRESCENT
DOUGLASTON, NY 11362
(40.759074216601846, -73.73430017711144)",CA102986J,7/5/05,FEDERAL  FST-60,2,4.6,1986,2021, ,21 to 26 years old,IND. COMB.MMG-28,#4,25550,17885,3705,2593,Yes,2016,Elevator Apartments,23,167032,96,2,188,188,1952, ,YES
4082760030,"246 27 57 DRIVE
Queens, NY 11362
(40.759074216601846, -73.73430017711144)",Con Edison,THIRD BEECH HILLS CORP.,SOL GOLDMAN INVESTME,"57 28 246TH CRESCENT
DOUGLASTON, NY 11362
(40.759074216601846, -73.73430017711144)",CA106486L,7/5/05,FEDERAL  FST-60,2,2.3,1986,2021, ,21 to 26 years old,IND.COMB  MMG-28,#4,25550,17885,3705,2593,Yes,2016,Elevator Apartments,23,103032,58,2,116,116,1953, ,YES
4076320002,"69 51 218 STREET
Queens, NY 11364
(40.745924680379744, -73.75790275560763)",National Grid,UNITED VETERANS HSG#2,BELL PARK GARDENS,"67 02 SPRINGFIELD BOULEVARD
BAYSIDE, NY 11364
(40.745924680379744, -73.75790275560763)",CA074079K,7/5/05,ROCKMILLS MP175,1,5.9,1979,2014,DUAL FUEL,31 to 35 years old,IRON FIREMAN A06-9.8,#4,25123,17586,3643,2550,Yes,2022,Elevator Apartments,23,554300,22,2,467,467,1949, ,YES
4032930045,"111 35 75 AVENUE
Queens, NY 11375
(40.720707263029794, -73.84628429608335)",National Grid,111-35  75TH  AVE OWNERS CORP.,111-35 75 AVE OWNRS C,"1651 CONEY ISLAND AVE
BROOKLYN, NY 11230
(40.617134059024586, -73.96362996399334)",CA142091P,7/4/05,ROCKMILLS  MP-90,1,3.72,1991,2026, ,16 to 20 years old,ICI  MMG   42-P,#4,25112,17578,3641,2549,,,Elevator Apartments,29,30580,2,6,36,36,1939, , 
4060770007,"34 06 JORDAN STREET
Queens, NY 11358
(40.760350968822195, -73.79632645819947)",Con Edison,BETH GAN CORPORATION,BETH GAN CORP,"42 BAYVIEW AVENUE
MANHASET, NY 11030
(40.799023427515465, -73.70257640397784)",CA014986J,7/5/05,ROCKMILLS MP-70,1,2.6,1986,2021, ,21 to 26 years old,ICI MMG-30P,#4,25000,17500,3625,2538,,,Elevator Apartments,19,40800,1,4,50,50,1931, , 
4000550029,"11 14 46 AVENUE
Queens, NY 11101
(40.74570244980828, -73.93866902925225)",Con Edison,DA11-14 LLC,DA11-14,"8475 MAIN ST
BRIARWOOD, NY 11435-1624
(40.71236429625685, -73.81740188940624)",CA162083N,7/5/05,FEDERAL FST 60,1,2.3,1983,2018, ,26 to 30 years old,ICI AM 4 1/2 DH,#4,25000,17500,3625,2538,,,Walk-Up Apartments,26,36000,1,4,38,38,1923, , 
4008020145,"18 18 41 STREET
Queens, NY 11105
(40.780092072491186, -73.90960650023976)",Con Edison,J.B.WASTE OIL CO.INC.,J B OIL REALTY INC,"18 18 41 STREET
L I CITY, NY 11105
(40.780092072491186, -73.90960650023976)",CA443086J,7/6/05,ROCKMILLS MP-100,1,4.06,1986,2021, ,21 to 26 years old,I.C.I. MMG-42 P,#4,25000,17500,3625,2538,,,Walk-Up Apartments,22,2400,2,1,0,1,1965, , 
4050120012,"36 19 BOWNE STREET
Queens, NY 11354
(40.76862022064671, -73.82719028070687)",Con Edison,ORIN MANAGEMENT,BOWNE OVERSEAS L L C,"1168 FLUSHING
NY 11354
(40.76862022064671, -73.82719028070687)",CA270273M,7/5/05,ROCKMILLS MP125,1,4.9,1973,2010, ,36 - 40 year old,IRON FIREMAN A06-6.3,#6,25000,17500,3750,2625,Yes,2022,Elevator Apartments,20,88000,1,6,71,71,1935, , 
4097160126,"142 10 HOOVER AVENUE
Queens, NY 11435
(40.70119264912154, -73.80979665579099)",National Grid,SCHLESINGER MANAGEMENT CO,QUEENS CHADWICK CO,"40 RANDALL AVENUE
FREEPORT, NY 11520
(40.65967934879125, -73.58680045679388)",CA257883N,7/5/05,ROCKMILLS MP 4-212,1,8.12,1983,2018, ,26 to 30 years old,IRON FIREMAN A06-9.8 RK,#6,25000,17500,3750,2625,Yes,2016,Loft Buildings,24,116841,1,6,121,121,1958, , 
4012820185,"37 06 72 STREET
Queens, NY 11372
(40.75163073936716, -73.88361254528269)",National Grid,SHAROS REALTY CORPORATION,SKAROS REALTY LLC,"44 12 43 AVENUE
SUNNYSIDE, NY 11104
(40.74489336663561, -73.92054134530679)",CA124486K,7/6/05,ROCKMILLS MP-4-78,1,3.08,1986,2021, ,21 to 26 years old,I.C.I MM 34 P,#4,25000,17500,3625,2538,,,Loft Buildings,25,46319,1,6,50,52,1927, , 
4016790001,"108 05 ASTORIA BOULEVARD
Queens, NY 11369
(40.76341327370369, -73.8723788986672)",National Grid,SYLDOR APARTMENT CORP. METROPOLITAN PROPERTY SVS.,SYLDOR APTS CORP,"141 59 85TH ROAD
JAMAICA, NY 11435
(40.70119264912154, -73.80979665579099)",CA293390N,7/6/05,FEDERAL # FST-80,1,3.43,1990,2025, ,16 to 20 years old,ICI MEG-34P,#4,25000,17500,3625,2538,,,Elevator Apartments,21,39267,1,6,42,42,1965, , 
4035620015,"17 18 WEIRFIELD STREET
Queens, NY 11385
(40.70122489161548, -73.88334858436963)",National Grid,"FRED TRANSFORMER CO., INC","DELCIA, ELENA","17 18 WEIRFIELD STREET
QUEENS, NY 11385
(40.70122489161548, -73.88334858436963)",CA137658K,7/5/05,YORK SPL-53-60-5,1,2.4,1958,2010, ,Over 50 years,YORK SPL-53-60-5,#4,24820,17374,3599,2519,,,Walk-Up Apartments,34,18200,1,1,0,1,1931, , 
4099780034,"90 25 138 PLACE
Queens, NY 11435
(40.70119264912154, -73.80979665579099)",National Grid,G & H BUILDING CO. INC./AARON DIAMOND,G - H BLDG CO,"1664 FLATBUSH AVENUE
BROOKLYN, NY 11210
(40.63004734926277, -73.94477042331191)",CA144371Z,7/6/05,PACIFIC 2402,1,2.4,1971,2010, ,36 - 40 year old,HEVEOIL AM 4 DH ( I.C.I. ),#4,24820,17374,3599,2519,,,Elevator Apartments,24,27200,1,4,32,32,1932, , 
4096000040,"120 11 109 AVENUE
Queens, NY 11420
(40.67334524268887, -73.81770717164864)",National Grid,120-11 REALTY CO,120-11 REALTY CO,"547 80TH STREET
BROOKLYN, NY 11209
(40.625437946920506, -74.02354546427934)",CA224186R,7/5/05,FEDERAL FST 60,1,2.52,1986,2021, ,21 to 26 years old,HEV-E MMG 28,#4,24638,17247,3573,2501,,,Walk-Up Apartments,28,29000,1,2,36,36,1942, , 
4005880018,"31 49 29 STREET
Queens, NY 11106
(40.761699790013324, -73.9316632529567)",Con Edison,ASTORIA 29 STREET CORP. ,ASTORIA TWENTY NINTH,"7 PENN PLAZA
NY, NY 10001
(40.74956954963903, -73.99160848411982)",CB039103Z,7/5/05,FEDERAL/EASTMOND FST-60 (NEW),1,2.01,2003,2038,DUAL FUEL,5 to 10 years old,HEVE (I.C.) MMG-28    (NEW),#4,24638,17247,3573,2501,,,Walk-Up Apartments,22,30440,1,4,49,49,1926, , 
4073420028,"46 17 215 PLACE
Queens, NY 11361
(40.76418884813688, -73.77232552860022)",Con Edison,JEFFREY GARDENS,JEFFREY GARDENS APART,"46 40 216TH STREET
QUEENS, NY 11361
(40.76418884813688, -73.77232552860022)",CB250100M,7/5/05,BEST  5B-60,1,2.8,2000,2035,DUAL FUEL,5 to 10 years old,HEVE (ICI) MMG-28,#4,24638,17247,3573,2501,Yes,2022,Walk-Up Apartments,19,51264,9,3,69,69,1950, ,YES
